_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
34,2012Q1,S08000016,S08000024,"",Colorectal,"",2,"",2,""
35,2012Q1,S08000016,S08000024,"",Head & Neck,"",2,"",2,""
36,2012Q1,S08000016,S08000024,"",Lung,"",6,"",6,""
37,2012Q1,S08000016,S08000024,"",Melanoma,"",1,"",1,""
38,2012Q1,S08000016,S08000024,"",Ovarian,"",1,"",1,""
39,2012Q1,S08000016,S08000024,"",Upper GI,"",2,"",2,""
40,2012Q1,S08000016,S08000024,"",Urological,"",3,"",3,""
41,2012Q1,S08000017,S08000017,"",Breast,"",20,"",20,""
42,2012Q1,S08000017,S08000017,"",Colorectal,"",33,"",31,""
43,2012Q1,S08000017,S08000017,"",Head & Neck,"",3,"",3,""
44,2012Q1,S08000017,S08000017,"",Lung,"",17,"",17,""
45,2012Q1,S08000017,S08000017,"",Lymphoma,"",10,"",10,""
46,2012Q1,S08000017,S08000017,"",Melanoma,"",4,"",4,""
47,2012Q1,S08000017,S08000017,"",Ovarian,"",4,"",4,""
48,2012Q1,S08000017,S08000017,"",Upper GI,"",18,"",18,""
49,2012Q1,S08000017,S08000017,"",Urological,"",29,"",29,""
50,2012Q1,S08000017,S08000024,"",Breast,"",3,"",3,""
51,2012Q1,S08000017,S08000024,"",Cervical,"",1,"",1,""
52,2012Q1,S08000017,S08000024,"",Head & Neck,"",3,"",3,""
53,2012Q1,S08000017,S08000024,"",Lung,"",3,"",3,""
54,2012Q1,S08000017,S08000024,"",Melanoma,"",1,"",1,""
55,2012Q1,S08000017,S08000024,"",Ovarian,"",1,"",1,""
56,2012Q1,S08000017,S08000024,"",Upper GI,"",5,"",5,""
57,2012Q1,S08000017,S08000024,"",Urological,"",14,"",13,""
58,2012Q1,S08000017,S08000031,"",Colorectal,"",1,"",1,""
59,2012Q1,S08000017,S08000031,"",Head & Neck,"",2,"",2,""
60,2012Q1,S08000017,SB0801,"",Lung,"",2,"",2,""
61,2012Q1,S08000019,S08000019,"",Breast,"",41,"",40,""
62,2012Q1,S08000019,S08000019,"",Cervical,"",1,"",1,""
63,2012Q1,S08000019,S08000019,"",Colorectal,"",43,"",42,""
64,2012Q1,S08000019,S08000019,"",Head & Neck,"",3,"",3,""
65,2012Q1,S08000019,S08000019,"",Lung,"",27,"",27,""
66,2012Q1,S08000019,S08000019,"",Lymphoma,"",12,"",12,""
67,2012Q1,S08000019,S08000019,"",Melanoma,"",9,"",9,""
68,2012Q1,S08000019,S08000019,"",Ovarian,"",6,"",6,""
69,2012Q1,S08000019,S08000019,"",Upper GI,"",20,"",20,""
70,2012Q1,S08000019,S08000019,"",Urological,"",64,"",56,""
71,2012Q1,S08000019,S08000024,"",Lung,"",1,"",1,""
72,2012Q1,S08000019,S08000031,"",Breast,"",2,"",1,""
73,2012Q1,S08000019,S08000031,"",Cervical,"",1,"",0,""
74,2012Q1,S08000019,S08000031,"",Colorectal,"",3,"",3,""
75,2012Q1,S08000019,S08000031,"",Head & Neck,"",7,"",7,""
76,2012Q1,S08000019,S08000031,"",Lung,"",22,"",21,""
77,2012Q1,S08000019,S08000031,"",Ovarian,"",3,"",3,""
78,2012Q1,S08000019,S08000031,"",Upper GI,"",8,"",8,""
79,2012Q1,S08000019,S08000031,"",Urological,"",1,"",1,""
80,2012Q1,S08000019,SB0801,"",Lung,"",6,"",6,""
81,2012Q1,S08000020,S08000020,"",Breast,"",122,"",118,""
82,2012Q1,S08000020,S08000020,"",Cervical,"",4,"",4,""
83,2012Q1,S08000020,S08000020,"",Colorectal,"",74,"",73,""
84,2012Q1,S08000020,S08000020,"",Head & Neck,"",23,"",23,""
85,2012Q1,S08000020,S08000020,"",Lung,"",68,"",68,""
86,2012Q1,S08000020,S08000020,"",Lymphoma,"",6,"",6,""
87,2012Q1,S08000020,S08000020,"",Melanoma,"",26,"",26,""
88,2012Q1,S08000020,S08000020,"",Ovarian,"",9,"",9,""
89,2012Q1,S08000020,S08000020,"",Upper GI,"",55,"",54,""
90,2012Q1,S08000020,S08000020,"",Urological,"",115,"",105,""
91,2012Q1,S08000020,S08000024,"",Urological,"",2,"",2,""
92,2012Q1,S08000022,S08000020,"",Head & Neck,"",1,"",1,""
93,2012Q1,S08000022,S08000020,"",Ovarian,"",1,"",1,""
94,2012Q1,S08000022,S08000022,"",Breast,"",58,"",58,""
95,2012Q1,S08000022,S08000022,"",Cervical,"",3,"",3,""
96,2012Q1,S08000022,S08000022,"",Colorectal,"",38,"",36,""
97,2012Q1,S08000022,S08000022,"",Head & Neck,"",13,"",12,""
98,2012Q1,S08000022,S08000022,"",Lung,"",43,"",43,""
99,2012Q1,S08000022,S08000022,"",Lymphoma,"",15,"",15,""
100,2012Q1,S08000022,S08000022,"",Melanoma,"",14,"",14,""
101,2012Q1,S08000022,S08000022,"",Ovarian,"",4,"",4,""
102,2012Q1,S08000022,S08000022,"",Upper GI,"",34,"",34,""
103,2012Q1,S08000022,S08000022,"",Urological,"",46,"",43,""
104,2012Q1,S08000022,S08000024,"",Breast,"",1,"",1,""
105,2012Q1,S08000022,S08000024,"",Melanoma,"",1,"",1,""
106,2012Q1,S08000022,S08000024,"",Urological,"",1,"",1,""
107,2012Q1,S08000022,S08000031,"",Lung,"",4,"",4,""
108,2012Q1,S08000022,S08000031,"",Upper GI,"",3,"",3,""
109,2012Q1,S08000022,S08000031,"",Urological,"",8,"",8,""
110,2012Q1,S08000022,SB0801,"",Lung,"",1,"",1,""
111,2012Q1,S08000024,S08000016,"",Breast,"",4,"",4,""
112,2012Q1,S08000024,S08000019,"",Breast,"",1,"",1,""
113,2012Q1,S08000024,S08000024,"",Breast,"",210,"",210,""
114,2012Q1,S08000024,S08000024,"",Cervical,"",6,"",6,""
115,2012Q1,S08000024,S08000024,"",Colorectal,"",139,"",134,""
116,2012Q1,S08000024,S08000024,"",Head & Neck,"",41,"",41,""
117,2012Q1,S08000024,S08000024,"",Lung,"",175,"",175,""
118,2012Q1,S08000024,S08000024,"",Lymphoma,"",34,"",34,""
119,2012Q1,S08000024,S08000024,"",Melanoma,"",50,"",50,""
120,2012Q1,S08000024,S08000024,"",Ovarian,"",21,"",19,""
121,2012Q1,S08000024,S08000024,"",Upper GI,"",51,"",51,""
122,2012Q1,S08000024,S08000024,"",Urological,"",197,"",193,""
123,2012Q1,S08000024,S08000029,"",Breast,"",3,"",3,""
124,2012Q1,S08000024,S08000030,"",Urological,"",1,"",1,""
125,2012Q1,S08000025,S08000020,"",Breast,"",1,"",1,""
126,2012Q1,S08000025,S08000020,"",Colorectal,"",2,"",2,""
127,2012Q1,S08000025,S08000020,"",Head & Neck,"",1,"",1,""
128,2012Q1,S08000025,S08000020,"",Upper GI,"",2,"",2,""
129,2012Q1,S08000025,S08000020,"",Urological,"",1,"",1,""
130,2012Q1,S08000025,S08000025,"",Colorectal,"",2,"",2,""
131,2012Q1,S08000025,S08000025,"",Urological,"",1,"",1,""
132,2012Q1,S08000026,S08000020,"",Breast,"",1,"",1,""
133,2012Q1,S08000026,S08000020,"",Colorectal,"",2,"",2,""
134,2012Q1,S08000026,S08000020,"",Head & Neck,"",1,"",1,""
135,2012Q1,S08000026,S08000020,"",Lung,"",2,"",2,""
136,2012Q1,S08000026,S08000020,"",Lymphoma,"",2,"",2,""
137,2012Q1,S08000026,S08000020,"",Upper GI,"",1,"",1,""
138,2012Q1,S08000026,S08000020,"",Urological,"",2,"",2,""
139,2012Q1,S08000026,S08000026,"",Breast,"",1,"",1,""
140,2012Q1,S08000026,S08000026,"",Colorectal,"",5,"",5,""
141,2012Q1,S08000026,S08000026,"",Lung,"",3,"",3,""
142,2012Q1,S08000026,S08000026,"",Lymphoma,"",1,"",1,""
143,2012Q1,S08000026,S08000026,"",Melanoma,"",1,"",1,""
144,2012Q1,S08000026,S08000026,"",Upper GI,"",1,"",1,""
145,2012Q1,S08000026,S08000026,"",Urological,"",7,"",7,""
146,2012Q1,S08000028,S08000022,"",Colorectal,"",2,"",2,""
147,2012Q1,S08000028,S08000022,"",Head & Neck,"",1,"",1,""
148,2012Q1,S08000028,S08000022,"",Upper GI,"",1,"",1,""
149,2012Q1,S08000028,S08000022,"",Urological,"",1,"",1,""
150,2012Q1,S08000028,S08000028,"",Colorectal,"",5,"",5,""
151,2012Q1,S08000028,S08000028,"",Head & Neck,"",3,"",3,""
152,2012Q1,S08000028,S08000028,"",Lung,"",5,"",5,""
153,2012Q1,S08000028,S08000028,"",Melanoma,"",1,"",1,""
154,2012Q1,S08000028,S08000028,"",Upper GI,"",2,"",2,""
155,2012Q1,S08000028,S08000028,"",Urological,"",2,"",2,""
156,2012Q1,S08000028,SB0801,"",Lung,"",2,"",2,""
157,2012Q1,S08000028,SB0801,"",Upper GI,"",1,"",1,""
158,2012Q1,S08000029,S08000024,"",Breast,"",2,"",2,""
159,2012Q1,S08000029,S08000024,"",Cervical,"",2,"",2,""
160,2012Q1,S08000029,S08000024,"",Colorectal,"",4,"",4,""
161,2012Q1,S08000029,S08000024,"",Head & Neck,"",20,"",19,""
162,2012Q1,S08000029,S08000024,"",Lung,"",23,"",22,""
163,2012Q1,S08000029,S08000024,"",Lymphoma,"",3,"",3,""
164,2012Q1,S08000029,S08000024,"",Ovarian,"",2,"",2,""
165,2012Q1,S08000029,S08000024,"",Upper GI,"",7,"",7,""
166,2012Q1,S08000029,S08000024,"",Urological,"",7,"",6,""
167,2012Q1,S08000029,S08000029,"",Breast,"",43,"",43,""
168,2012Q1,S08000029,S08000029,"",Cervical,"",1,"",1,""
169,2012Q1,S08000029,S08000029,"",Colorectal,"",42,"",42,""
170,2012Q1,S08000029,S08000029,"",Head & Neck,"",4,"",4,""
171,2012Q1,S08000029,S08000029,"",Lung,"",52,"",52,""
172,2012Q1,S08000029,S08000029,"",Lymphoma,"",10,"",10,""
173,2012Q1,S08000029,S08000029,"",Melanoma,"",9,"",9,""
174,2012Q1,S08000029,S08000029,"",Ovarian,"",4,"",3,""
175,2012Q1,S08000029,S08000029,"",Upper GI,"",23,"",23,""
176,2012Q1,S08000029,S08000029,"",Urological,"",95,"",91,""
177,2012Q1,S08000029,S08000030,"",Lung,"",4,"",3,""
178,2012Q1,S08000029,S08000030,"",Upper GI,"",1,"",1,""
179,2012Q1,S08000029,S08000030,"",Urological,"",2,"",2,""
180,2012Q1,S08000030,S08000020,"",Lung,"",1,"",1,""
181,2012Q1,S08000030,S08000024,"",Lung,"",6,"",6,""
182,2012Q1,S08000030,S08000030,"",Breast,"",106,"",106,""
183,2012Q1,S08000030,S08000030,"",Cervical,"",4,"",4,""
184,2012Q1,S08000030,S08000030,"",Colorectal,"",77,"",75,""
185,2012Q1,S08000030,S08000030,"",Head & Neck,"",21,"",21,""
186,2012Q1,S08000030,S08000030,"",Lung,"",51,"",51,""
187,2012Q1,S08000030,S08000030,"",Lymphoma,"",26,"",26,""
188,2012Q1,S08000030,S08000030,"",Melanoma,"",31,"",30,""
189,2012Q1,S08000030,S08000030,"",Ovarian,"",12,"",12,""
190,2012Q1,S08000030,S08000030,"",Upper GI,"",42,"",42,""
191,2012Q1,S08000030,S08000030,"",Urological,"",95,"",89,""
192,2012Q1,S08000031,S08000022,"",Colorectal,"",2,"",2,""
193,2012Q1,S08000031,S08000024,"",Upper GI,"",1,"",1,""
194,2012Q1,S08000031,S08000024,"",Urological,"",1,"",1,""
195,2012Q1,S08000031,S08000031,"",Breast,"",281,"",280,""
196,2012Q1,S08000031,S08000031,"",Cervical,"",11,"",11,""
197,2012Q1,S08000031,S08000031,"",Colorectal,"",182,"",172,""
198,2012Q1,S08000031,S08000031,"",Head & Neck,"",73,"",69,""
199,2012Q1,S08000031,S08000031,"",Lung,"",220,"",215,""
200,2012Q1,S08000031,S08000031,"",Lymphoma,"",43,"",43,""
201,2012Q1,S08000031,S08000031,"",Melanoma,"",75,"",75,""
202,2012Q1,S08000031,S08000031,"",Ovarian,"",16,"",16,""
203,2012Q1,S08000031,S08000031,"",Upper GI,"",168,"",165,""
204,2012Q1,S08000031,S08000031,"",Urological,"",261,"",252,""
205,2012Q1,S08000031,S08000032,"",Breast,"",4,"",4,""
206,2012Q1,S08000031,SB0801,"",Lung,"",45,"",45,""
207,2012Q1,S08000032,S08000031,"",Breast,"",2,"",2,""
208,2012Q1,S08000032,S08000031,"",Cervical,"",6,"",6,""
209,2012Q1,S08000032,S08000031,"",Colorectal,"",11,"",10,""
210,2012Q1,S08000032,S08000031,"",Head & Neck,"",6,"",6,""
211,2012Q1,S08000032,S08000031,"",Lung,"",38,"",36,""
212,2012Q1,S08000032,S08000031,"",Lymphoma,"",1,"",0,""
213,2012Q1,S08000032,S08000031,"",Melanoma,"",5,"",5,""
214,2012Q1,S08000032,S08000031,"",Ovarian,"",6,"",6,""
215,2012Q1,S08000032,S08000031,"",Upper GI,"",15,"",15,""
216,2012Q1,S08000032,S08000031,"",Urological,"",4,"",4,""
217,2012Q1,S08000032,S08000032,"",Breast,"",69,"",69,""
218,2012Q1,S08000032,S08000032,"",Cervical,"",5,"",5,""
219,2012Q1,S08000032,S08000032,"",Colorectal,"",68,"",68,""
220,2012Q1,S08000032,S08000032,"",Head & Neck,"",13,"",13,""
221,2012Q1,S08000032,S08000032,"",Lung,"",61,"",61,""
222,2012Q1,S08000032,S08000032,"",Lymphoma,"",26,"",26,""
223,2012Q1,S08000032,S08000032,"",Melanoma,"",25,"",25,""
224,2012Q1,S08000032,S08000032,"",Ovarian,"",5,"",5,""
225,2012Q1,S08000032,S08000032,"",Upper GI,"",36,"",36,""
226,2012Q1,S08000032,S08000032,"",Urological,"",84,"",81,""
227,2012Q1,S08000032,SB0801,"",Lung,"",16,"",16,""
228,2012Q2,S08000015,S08000015,"",Breast,"",97,"",97,""
229,2012Q2,S08000015,S08000015,"",Cervical,"",4,"",4,""
230,2012Q2,S08000015,S08000015,"",Colorectal,"",48,"",46,""
231,2012Q2,S08000015,S08000015,"",Head & Neck,"",16,"",15,""
232,2012Q2,S08000015,S08000015,"",Lung,"",49,"",49,""
233,2012Q2,S08000015,S08000015,"",Lymphoma,"",20,"",20,""
234,2012Q2,S08000015,S08000015,"",Melanoma,"",9,"",9,""
235,2012Q2,S08000015,S08000015,"",Ovarian,"",11,"",11,""
236,2012Q2,S08000015,S08000015,"",Upper GI,"",30,"",30,""
237,2012Q2,S08000015,S08000015,"",Urological,"",62,"",62,""
238,2012Q2,S08000015,S08000024,"",Upper GI,"",2,"",2,""
239,2012Q2,S08000015,S08000031,"",Breast,"",1,"",0,""
240,2012Q2,S08000015,S08000031,"",Cervical,"",3,"",3,""
241,2012Q2,S08000015,S08000031,"",Colorectal,"",7,"",6,""
242,2012Q2,S08000015,S08000031,"",Head & Neck,"",10,"",10,""
243,2012Q2,S08000015,S08000031,"",Lung,"",15,"",15,""
244,2012Q2,S08000015,S08000031,"",Lymphoma,"",1,"",1,""
245,2012Q2,S08000015,S08000031,"",Melanoma,"",3,"",3,""
246,2012Q2,S08000015,S08000031,"",Ovarian,"",1,"",1,""
247,2012Q2,S08000015,S08000031,"",Upper GI,"",17,"",17,""
248,2012Q2,S08000015,S08000031,"",Urological,"",1,"",1,""
249,2012Q2,S08000015,SB0801,"",Lung,"",5,"",5,""
250,2012Q2,S08000016,S08000016,"",Breast,"",12,"",12,""
251,2012Q2,S08000016,S08000016,"",Cervical,"",1,"",1,""
252,2012Q2,S08000016,S08000016,"",Colorectal,"",22,"",22,""
253,2012Q2,S08000016,S08000016,"",Head & Neck,"",1,"",1,""
254,2012Q2,S08000016,S08000016,"",Lung,"",14,"",14,""
255,2012Q2,S08000016,S08000016,"",Lymphoma,"",6,"",6,""
256,2012Q2,S08000016,S08000016,"",Melanoma,"",14,"",14,""
257,2012Q2,S08000016,S08000016,"",Ovarian,"",5,"",5,""
258,2012Q2,S08000016,S08000016,"",Upper GI,"",19,"",19,""
259,2012Q2,S08000016,S08000016,"",Urological,"",28,"",28,""
260,2012Q2,S08000016,S08000024,"",Head & Neck,"",3,"",2,""
261,2012Q2,S08000016,S08000024,"",Lung,"",1,"",1,""
262,2012Q2,S08000016,S08000024,"",Ovarian,"",1,"",1,""
263,2012Q2,S08000016,S08000024,"",Upper GI,"",2,"",2,""
264,2012Q2,S08000016,S08000024,"",Urological,"",6,"",5,""
265,2012Q2,S08000017,S08000017,"",Breast,"",20,"",20,""
266,2012Q2,S08000017,S08000017,"",Colorectal,"",35,"",34,""
267,2012Q2,S08000017,S08000017,"",Head & Neck,"",3,"",3,""
268,2012Q2,S08000017,S08000017,"",Lung,"",31,"",31,""
269,2012Q2,S08000017,S08000017,"",Lymphoma,"",9,"",9,""
270,2012Q2,S08000017,S08000017,"",Melanoma,"",4,"",4,""
271,2012Q2,S08000017,S08000017,"",Ovarian,"",2,"",2,""
272,2012Q2,S08000017,S08000017,"",Upper GI,"",15,"",15,""
273,2012Q2,S08000017,S08000017,"",Urological,"",26,"",26,""
274,2012Q2,S08000017,S08000024,"",Cervical,"",1,"",0,""
275,2012Q2,S08000017,S08000024,"",Colorectal,"",1,"",1,""
276,2012Q2,S08000017,S08000024,"",Head & Neck,"",4,"",4,""
277,2012Q2,S08000017,S08000024,"",Lung,"",10,"",10,""
278,2012Q2,S08000017,S08000024,"",Lymphoma,"",1,"",1,""
279,2012Q2,S08000017,S08000024,"",Upper GI,"",1,"",1,""
280,2012Q2,S08000017,S08000024,"",Urological,"",12,"",11,""
281,2012Q2,S08000017,S08000031,"",Head & Neck,"",1,"",1,""
282,2012Q2,S08000017,SB0801,"",Lung,"",2,"",2,""
283,2012Q2,S08000019,S08000019,"",Breast,"",54,"",54,""
284,2012Q2,S08000019,S08000019,"",Cervical,"",1,"",1,""
285,2012Q2,S08000019,S08000019,"",Colorectal,"",49,"",47,""
286,2012Q2,S08000019,S08000019,"",Head & Neck,"",7,"",7,""
287,2012Q2,S08000019,S08000019,"",Lung,"",23,"",23,""
288,2012Q2,S08000019,S08000019,"",Lymphoma,"",12,"",12,""
289,2012Q2,S08000019,S08000019,"",Melanoma,"",7,"",7,""
290,2012Q2,S08000019,S08000019,"",Ovarian,"",1,"",1,""
291,2012Q2,S08000019,S08000019,"",Upper GI,"",21,"",21,""
292,2012Q2,S08000019,S08000019,"",Urological,"",56,"",43,""
293,2012Q2,S08000019,S08000024,"",Upper GI,"",1,"",1,""
294,2012Q2,S08000019,S08000031,"",Breast,"",3,"",3,""
295,2012Q2,S08000019,S08000031,"",Cervical,"",1,"",1,""
296,2012Q2,S08000019,S08000031,"",Colorectal,"",6,"",6,""
297,2012Q2,S08000019,S08000031,"",Head & Neck,"",9,"",9,""
298,2012Q2,S08000019,S08000031,"",Lung,"",14,"",14,""
299,2012Q2,S08000019,S08000031,"",Ovarian,"",3,"",3,""
300,2012Q2,S08000019,S08000031,"",Upper GI,"",7,"",7,""
301,2012Q2,S08000019,S08000031,"",Urological,"",4,"",4,""
302,2012Q2,S08000019,SB0801,"",Lung,"",13,"",13,""
303,2012Q2,S08000020,S08000020,"",Breast,"",99,"",99,""
304,2012Q2,S08000020,S08000020,"",Cervical,"",7,"",7,""
305,2012Q2,S08000020,S08000020,"",Colorectal,"",96,"",96,""
306,2012Q2,S08000020,S08000020,"",Head & Neck,"",22,"",21,""
307,2012Q2,S08000020,S08000020,"",Lung,"",68,"",68,""
308,2012Q2,S08000020,S08000020,"",Lymphoma,"",38,"",37,""
309,2012Q2,S08000020,S08000020,"",Melanoma,"",24,"",24,""
310,2012Q2,S08000020,S08000020,"",Ovarian,"",9,"",9,""
311,2012Q2,S08000020,S08000020,"",Upper GI,"",52,"",52,""
312,2012Q2,S08000020,S08000020,"",Urological,"",126,"",122,""
313,2012Q2,S08000020,S08000022,"",Upper GI,"",1,"",1,""
314,2012Q2,S08000020,S08000024,"",Urological,"",1,"",1,""
315,2012Q2,S08000020,S08000025,"",Breast,"",1,"",1,""
316,2012Q2,S08000022,S08000020,"",Lung,"",2,"",2,""
317,2012Q2,S08000022,S08000020,"",Ovarian,"",1,"",1,""
318,2012Q2,S08000022,S08000022,"",Breast,"",60,"",60,""
319,2012Q2,S08000022,S08000022,"",Cervical,"",4,"",4,""
320,2012Q2,S08000022,S08000022,"",Colorectal,"",45,"",45,""
321,2012Q2,S08000022,S08000022,"",Head & Neck,"",12,"",11,""
322,2012Q2,S08000022,S08000022,"",Lung,"",54,"",54,""
323,2012Q2,S08000022,S08000022,"",Lymphoma,"",17,"",17,""
324,2012Q2,S08000022,S08000022,"",Melanoma,"",10,"",10,""
325,2012Q2,S08000022,S08000022,"",Ovarian,"",5,"",5,""
326,2012Q2,S08000022,S08000022,"",Upper GI,"",29,"",29,""
327,2012Q2,S08000022,S08000022,"",Urological,"",60,"",53,""
328,2012Q2,S08000022,S08000024,"",Lung,"",1,"",1,""
329,2012Q2,S08000022,S08000031,"",Colorectal,"",1,"",1,""
330,2012Q2,S08000022,S08000031,"",Head & Neck,"",1,"",1,""
331,2012Q2,S08000022,S08000031,"",Lung,"",1,"",1,""
332,2012Q2,S08000022,S08000031,"",Ovarian,"",1,"",0,""
333,2012Q2,S08000022,S08000031,"",Upper GI,"",2,"",2,""
334,2012Q2,S08000022,SB0801,"",Lung,"",1,"",1,""
335,2012Q2,S08000024,S08000016,"",Breast,"",1,"",1,""
336,2012Q2,S08000024,S08000019,"",Breast,"",4,"",4,""
337,2012Q2,S08000024,S08000024,"",Breast,"",201,"",201,""
338,2012Q2,S08000024,S08000024,"",Cervical,"",5,"",3,""
339,2012Q2,S08000024,S08000024,"",Colorectal,"",119,"",108,""
340,2012Q2,S08000024,S08000024,"",Head & Neck,"",55,"",54,""
341,2012Q2,S08000024,S08000024,"",Lung,"",162,"",162,""
342,2012Q2,S08000024,S08000024,"",Lymphoma,"",37,"",37,""
343,2012Q2,S08000024,S08000024,"",Melanoma,"",49,"",49,""
344,2012Q2,S08000024,S08000024,"",Ovarian,"",27,"",24,""
345,2012Q2,S08000024,S08000024,"",Upper GI,"",80,"",80,""
346,2012Q2,S08000024,S08000024,"",Urological,"",145,"",134,""
347,2012Q2,S08000024,S08000029,"",Breast,"",1,"",1,""
348,2012Q2,S08000025,S08000020,"",Breast,"",2,"",2,""
349,2012Q2,S08000025,S08000020,"",Colorectal,"",1,"",1,""
350,2012Q2,S08000025,S08000020,"",Lymphoma,"",2,"",2,""
351,2012Q2,S08000025,S08000020,"",Urological,"",2,"",2,""
352,2012Q2,S08000025,S08000025,"",Upper GI,"",2,"",2,""
353,2012Q2,S08000026,S08000020,"",Head & Neck,"",1,"",1,""
354,2012Q2,S08000026,S08000020,"",Ovarian,"",1,"",1,""
355,2012Q2,S08000026,S08000020,"",Urological,"",3,"",3,""
356,2012Q2,S08000026,S08000026,"",Breast,"",1,"",1,""
357,2012Q2,S08000026,S08000026,"",Colorectal,"",2,"",2,""
358,2012Q2,S08000026,S08000026,"",Lymphoma,"",1,"",1,""
359,2012Q2,S08000026,S08000026,"",Melanoma,"",1,"",1,""
360,2012Q2,S08000026,S08000026,"",Upper GI,"",1,"",1,""
361,2012Q2,S08000026,S08000026,"",Urological,"",6,"",6,""
362,2012Q2,S08000026,S08000031,"",Upper GI,"",1,"",1,""
363,2012Q2,S08000028,S08000022,"",Colorectal,"",3,"",3,""
364,2012Q2,S08000028,S08000022,"",Lung,"",1,"",1,""
365,2012Q2,S08000028,S08000022,"",Upper GI,"",3,"",3,""
366,2012Q2,S08000028,S08000022,"",Urological,"",4,"",4,""
367,2012Q2,S08000028,S08000028,"",Colorectal,"",4,"",4,""
368,2012Q2,S08000028,S08000028,"",Head & Neck,"",1,"",1,""
369,2012Q2,S08000028,S08000028,"",Lung,"",1,"",1,""
370,2012Q2,S08000028,S08000028,"",Ovarian,"",1,"",1,""
371,2012Q2,S08000028,S08000031,"",Colorectal,"",1,"",1,""
372,2012Q2,S08000028,S08000031,"",Lung,"",1,"",1,""
373,2012Q2,S08000028,S08000031,"",Ovarian,"",1,"",1,""
374,2012Q2,S08000029,S08000019,"",Urological,"",1,"",1,""
375,2012Q2,S08000029,S08000024,"",Cervical,"",3,"",3,""
376,2012Q2,S08000029,S08000024,"",Colorectal,"",3,"",3,""
377,2012Q2,S08000029,S08000024,"",Head & Neck,"",22,"",22,""
378,2012Q2,S08000029,S08000024,"",Lung,"",23,"",23,""
379,2012Q2,S08000029,S08000024,"",Melanoma,"",1,"",1,""
380,2012Q2,S08000029,S08000024,"",Ovarian,"",2,"",2,""
381,2012Q2,S08000029,S08000024,"",Upper GI,"",14,"",14,""
382,2012Q2,S08000029,S08000024,"",Urological,"",4,"",4,""
383,2012Q2,S08000029,S08000029,"",Breast,"",36,"",36,""
384,2012Q2,S08000029,S08000029,"",Colorectal,"",48,"",48,""
385,2012Q2,S08000029,S08000029,"",Head & Neck,"",7,"",7,""
386,2012Q2,S08000029,S08000029,"",Lung,"",37,"",37,""
387,2012Q2,S08000029,S08000029,"",Lymphoma,"",16,"",16,""
388,2012Q2,S08000029,S08000029,"",Melanoma,"",15,"",15,""
