_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
81,2021Q3,"",S08000015,"",S12000028,"",Elective Inpatients,"",405,1341,3.31111111111111,"",415,2541,6.12289156626506,""
82,2021Q4,"",S08000015,"",S12000028,"",Elective Inpatients,"",442,1231,2.78506787330317,"",450,1910,4.24444444444444,""
83,2022Q1,"",S08000015,"",S12000028,"",Elective Inpatients,"",381,1332,3.49606299212598,"",385,1570,4.07792207792208,""
84,2022Q2,p,S08000015,"",S12000028,"",Elective Inpatients,"",427,1238,2.89929742388759,"",425,1961,4.61411764705882,""
85,2017Q2,"",S08000016,"",S08000016,d,Elective Inpatients,"",730,2007,2.74931506849315,"",740,2778,3.75405405405405,""
86,2017Q3,"",S08000016,"",S08000016,d,Elective Inpatients,"",674,1734,2.5727002967359,"",672,2575,3.83184523809524,""
87,2017Q4,"",S08000016,"",S08000016,d,Elective Inpatients,"",685,1586,2.31532846715328,"",685,2833,4.13576642335766,""
88,2018Q1,"",S08000016,"",S08000016,d,Elective Inpatients,"",604,1482,2.45364238410596,"",595,2300,3.8655462184874,""
89,2018Q2,"",S08000016,"",S08000016,d,Elective Inpatients,"",657,1527,2.32420091324201,"",649,2351,3.62249614791988,""
90,2018Q3,"",S08000016,"",S08000016,d,Elective Inpatients,"",705,1676,2.37730496453901,"",707,2381,3.36775106082037,""
91,2018Q4,"",S08000016,"",S08000016,d,Elective Inpatients,"",724,1819,2.51243093922652,"",721,2676,3.71151178918169,""
92,2019Q1,"",S08000016,"",S08000016,d,Elective Inpatients,"",663,1330,2.00603318250377,"",665,2145,3.22556390977444,""
93,2019Q2,"",S08000016,"",S08000016,d,Elective Inpatients,"",687,2042,2.97234352256186,"",687,2890,4.20669577874818,""
94,2019Q3,"",S08000016,"",S08000016,d,Elective Inpatients,"",700,1535,2.19285714285714,"",700,2154,3.07714285714286,""
95,2019Q4,"",S08000016,"",S08000016,d,Elective Inpatients,"",669,1334,1.99402092675635,"",655,2288,3.49312977099237,""
96,2020Q1,"",S08000016,"",S08000016,d,Elective Inpatients,"",578,1089,1.8840830449827,"",580,1739,2.99827586206897,""
97,2020Q2,"",S08000016,"",S08000016,d,Elective Inpatients,"",206,597,2.89805825242718,"",200,818,4.09,""
98,2020Q3,"",S08000016,"",S08000016,d,Elective Inpatients,"",316,689,2.18037974683544,"",310,1216,3.92258064516129,""
99,2020Q4,"",S08000016,"",S08000016,d,Elective Inpatients,"",411,949,2.30900243309002,"",405,1360,3.35802469135802,""
100,2021Q1,"",S08000016,"",S08000016,d,Elective Inpatients,"",300,800,2.66666666666667,"",290,1274,4.39310344827586,""
101,2021Q2,"",S08000016,"",S08000016,d,Elective Inpatients,"",447,939,2.1006711409396,"",450,1833,4.07333333333333,""
102,2021Q3,"",S08000016,"",S08000016,d,Elective Inpatients,"",401,957,2.38653366583541,"",393,1503,3.82442748091603,""
103,2021Q4,"",S08000016,"",S08000016,d,Elective Inpatients,"",444,1076,2.42342342342342,"",446,1836,4.11659192825112,""
104,2022Q1,"",S08000016,"",S08000016,d,Elective Inpatients,"",396,1005,2.53787878787879,"",392,1480,3.77551020408163,""
105,2022Q2,p,S08000016,"",S08000016,d,Elective Inpatients,"",410,991,2.41707317073171,"",403,1434,3.55831265508685,""
106,2017Q2,"",S08000016,"",S12000026,"",Elective Inpatients,"",730,2007,2.74931506849315,"",740,2778,3.75405405405405,""
107,2017Q3,"",S08000016,"",S12000026,"",Elective Inpatients,"",674,1734,2.5727002967359,"",672,2575,3.83184523809524,""
108,2017Q4,"",S08000016,"",S12000026,"",Elective Inpatients,"",685,1586,2.31532846715328,"",685,2833,4.13576642335766,""
109,2018Q1,"",S08000016,"",S12000026,"",Elective Inpatients,"",604,1482,2.45364238410596,"",595,2300,3.8655462184874,""
110,2018Q2,"",S08000016,"",S12000026,"",Elective Inpatients,"",657,1527,2.32420091324201,"",649,2351,3.62249614791988,""
111,2018Q3,"",S08000016,"",S12000026,"",Elective Inpatients,"",705,1676,2.37730496453901,"",707,2381,3.36775106082037,""
112,2018Q4,"",S08000016,"",S12000026,"",Elective Inpatients,"",724,1819,2.51243093922652,"",721,2676,3.71151178918169,""
113,2019Q1,"",S08000016,"",S12000026,"",Elective Inpatients,"",663,1330,2.00603318250377,"",665,2145,3.22556390977444,""
114,2019Q2,"",S08000016,"",S12000026,"",Elective Inpatients,"",687,2042,2.97234352256186,"",687,2890,4.20669577874818,""
115,2019Q3,"",S08000016,"",S12000026,"",Elective Inpatients,"",700,1535,2.19285714285714,"",700,2154,3.07714285714286,""
116,2019Q4,"",S08000016,"",S12000026,"",Elective Inpatients,"",669,1334,1.99402092675635,"",655,2288,3.49312977099237,""
117,2020Q1,"",S08000016,"",S12000026,"",Elective Inpatients,"",578,1089,1.8840830449827,"",580,1739,2.99827586206897,""
118,2020Q2,"",S08000016,"",S12000026,"",Elective Inpatients,"",206,597,2.89805825242718,"",200,818,4.09,""
119,2020Q3,"",S08000016,"",S12000026,"",Elective Inpatients,"",316,689,2.18037974683544,"",310,1216,3.92258064516129,""
120,2020Q4,"",S08000016,"",S12000026,"",Elective Inpatients,"",411,949,2.30900243309002,"",405,1360,3.35802469135802,""
121,2021Q1,"",S08000016,"",S12000026,"",Elective Inpatients,"",300,800,2.66666666666667,"",290,1274,4.39310344827586,""
122,2021Q2,"",S08000016,"",S12000026,"",Elective Inpatients,"",447,939,2.1006711409396,"",450,1833,4.07333333333333,""
123,2021Q3,"",S08000016,"",S12000026,"",Elective Inpatients,"",401,957,2.38653366583541,"",393,1503,3.82442748091603,""
124,2021Q4,"",S08000016,"",S12000026,"",Elective Inpatients,"",444,1076,2.42342342342342,"",446,1836,4.11659192825112,""
125,2022Q1,"",S08000016,"",S12000026,"",Elective Inpatients,"",396,1005,2.53787878787879,"",392,1480,3.77551020408163,""
126,2022Q2,p,S08000016,"",S12000026,"",Elective Inpatients,"",410,991,2.41707317073171,"",403,1434,3.55831265508685,""
127,2017Q2,"",S08000017,"",S12000006,"",Elective Inpatients,"",1110,2983,2.68738738738739,"",1120,4100,3.66071428571429,""
128,2017Q3,"",S08000017,"",S12000006,"",Elective Inpatients,"",1049,3123,2.97712106768351,"",1087,4051,3.72677092916283,""
129,2017Q4,"",S08000017,"",S12000006,"",Elective Inpatients,"",960,2545,2.65104166666667,"",1003,4007,3.9950149551346,""
130,2018Q1,"",S08000017,"",S12000006,"",Elective Inpatients,"",961,2576,2.68054110301769,"",948,3901,4.11497890295359,""
131,2018Q2,"",S08000017,"",S12000006,"",Elective Inpatients,"",978,2835,2.89877300613497,"",1046,4386,4.19311663479924,""
132,2018Q3,"",S08000017,"",S12000006,"",Elective Inpatients,"",954,2535,2.65723270440252,"",1102,4120,3.73865698729583,""
133,2018Q4,"",S08000017,"",S12000006,"",Elective Inpatients,"",934,2725,2.91755888650964,"",1071,3931,3.67040149393091,""
134,2019Q1,"",S08000017,"",S12000006,"",Elective Inpatients,"",841,2542,3.02259215219976,"",1033,4047,3.91771539206196,""
135,2019Q2,"",S08000017,"",S12000006,"",Elective Inpatients,"",854,2210,2.58782201405152,"",1039,3706,3.56689124157844,""
136,2019Q3,"",S08000017,"",S12000006,"",Elective Inpatients,"",774,2400,3.10077519379845,"",1004,4038,4.02191235059761,""
137,2019Q4,"",S08000017,"",S12000006,"",Elective Inpatients,"",807,2359,2.92317224287485,"",996,4077,4.0933734939759,""
138,2020Q1,"",S08000017,"",S12000006,"",Elective Inpatients,"",743,1915,2.57738896366083,"",887,3265,3.68094701240135,""
139,2020Q2,"",S08000017,"",S12000006,"",Elective Inpatients,"",290,831,2.86551724137931,"",327,1565,4.78593272171254,""
140,2020Q3,"",S08000017,"",S12000006,"",Elective Inpatients,"",545,1414,2.59449541284404,"",693,2546,3.67388167388167,""
141,2020Q4,"",S08000017,"",S12000006,"",Elective Inpatients,"",634,1678,2.64668769716088,"",837,3235,3.86499402628435,""
142,2021Q1,"",S08000017,"",S12000006,"",Elective Inpatients,"",563,1584,2.81349911190053,"",637,2741,4.30298273155416,""
143,2021Q2,"",S08000017,"",S12000006,"",Elective Inpatients,"",679,2294,3.37849779086892,"",873,3907,4.47537227949599,""
144,2021Q3,"",S08000017,"",S12000006,"",Elective Inpatients,"",533,1975,3.70544090056285,"",652,2928,4.49079754601227,""
145,2021Q4,"",S08000017,"",S12000006,"",Elective Inpatients,"",480,1279,2.66458333333333,"",637,2904,4.55886970172684,""
146,2022Q1,"",S08000017,"",S12000006,"",Elective Inpatients,"",530,1285,2.42452830188679,"",637,2702,4.24175824175824,""
147,2022Q2,p,S08000017,"",S12000006,"",Elective Inpatients,"",632,1572,2.4873417721519,"",750,2797,3.72933333333333,""
148,2017Q2,"",S08000017,"",S08000017,d,Elective Inpatients,"",1110,2983,2.68738738738739,"",1120,4100,3.66071428571429,""
149,2017Q3,"",S08000017,"",S08000017,d,Elective Inpatients,"",1049,3123,2.97712106768351,"",1087,4051,3.72677092916283,""
150,2017Q4,"",S08000017,"",S08000017,d,Elective Inpatients,"",960,2545,2.65104166666667,"",1003,4007,3.9950149551346,""
151,2018Q1,"",S08000017,"",S08000017,d,Elective Inpatients,"",961,2576,2.68054110301769,"",948,3901,4.11497890295359,""
152,2018Q2,"",S08000017,"",S08000017,d,Elective Inpatients,"",978,2835,2.89877300613497,"",1046,4386,4.19311663479924,""
153,2018Q3,"",S08000017,"",S08000017,d,Elective Inpatients,"",954,2535,2.65723270440252,"",1102,4120,3.73865698729583,""
154,2018Q4,"",S08000017,"",S08000017,d,Elective Inpatients,"",934,2725,2.91755888650964,"",1071,3931,3.67040149393091,""
155,2019Q1,"",S08000017,"",S08000017,d,Elective Inpatients,"",841,2542,3.02259215219976,"",1033,4047,3.91771539206196,""
156,2019Q2,"",S08000017,"",S08000017,d,Elective Inpatients,"",854,2210,2.58782201405152,"",1039,3706,3.56689124157844,""
157,2019Q3,"",S08000017,"",S08000017,d,Elective Inpatients,"",774,2400,3.10077519379845,"",1004,4038,4.02191235059761,""
158,2019Q4,"",S08000017,"",S08000017,d,Elective Inpatients,"",807,2359,2.92317224287485,"",996,4077,4.0933734939759,""
159,2020Q1,"",S08000017,"",S08000017,d,Elective Inpatients,"",743,1915,2.57738896366083,"",887,3265,3.68094701240135,""
160,2020Q2,"",S08000017,"",S08000017,d,Elective Inpatients,"",290,831,2.86551724137931,"",327,1565,4.78593272171254,""
161,2020Q3,"",S08000017,"",S08000017,d,Elective Inpatients,"",545,1414,2.59449541284404,"",693,2546,3.67388167388167,""
162,2020Q4,"",S08000017,"",S08000017,d,Elective Inpatients,"",634,1678,2.64668769716088,"",837,3235,3.86499402628435,""
163,2021Q1,"",S08000017,"",S08000017,d,Elective Inpatients,"",563,1584,2.81349911190053,"",637,2741,4.30298273155416,""
164,2021Q2,"",S08000017,"",S08000017,d,Elective Inpatients,"",679,2294,3.37849779086892,"",873,3907,4.47537227949599,""
165,2021Q3,"",S08000017,"",S08000017,d,Elective Inpatients,"",533,1975,3.70544090056285,"",652,2928,4.49079754601227,""
166,2021Q4,"",S08000017,"",S08000017,d,Elective Inpatients,"",480,1279,2.66458333333333,"",637,2904,4.55886970172684,""
167,2022Q1,"",S08000017,"",S08000017,d,Elective Inpatients,"",530,1285,2.42452830188679,"",637,2702,4.24175824175824,""
168,2022Q2,p,S08000017,"",S08000017,d,Elective Inpatients,"",632,1572,2.4873417721519,"",750,2797,3.72933333333333,""
169,2017Q2,"",S08000029,"",S12000047,"",Elective Inpatients,"",2271,4921,2.16688683399384,"",2273,7230,3.18081830180378,""
170,2017Q3,"",S08000029,"",S12000047,"",Elective Inpatients,"",2259,4995,2.21115537848606,"",2245,7238,3.22405345211581,""
171,2017Q4,"",S08000029,"",S12000047,"",Elective Inpatients,"",2207,4996,2.26370638876303,"",2220,7135,3.21396396396396,""
172,2018Q1,"",S08000029,"",S12000047,"",Elective Inpatients,"",2137,4497,2.10435189518016,"",2134,6567,3.07731958762887,""
173,2018Q2,"",S08000029,"",S12000047,"",Elective Inpatients,"",2417,5287,2.18742242449317,"",2406,8023,3.33458021612635,""
174,2018Q3,"",S08000029,"",S12000047,"",Elective Inpatients,"",2095,4243,2.02529832935561,"",2108,6831,3.24051233396584,""
175,2018Q4,"",S08000029,"",S12000047,"",Elective Inpatients,"",2286,4803,2.1010498687664,"",2297,7516,3.27209403569874,""
176,2019Q1,"",S08000029,"",S12000047,"",Elective Inpatients,"",2238,4403,1.96738159070599,"",2222,6462,2.90819081908191,""
177,2019Q2,"",S08000029,"",S12000047,"",Elective Inpatients,"",2191,4366,1.9926973984482,"",2198,6844,3.11373976342129,""
178,2019Q3,"",S08000029,"",S12000047,"",Elective Inpatients,"",2120,4114,1.94056603773585,"",2122,6859,3.23232799245994,""
179,2019Q4,"",S08000029,"",S12000047,"",Elective Inpatients,"",2142,4237,1.9780578898226,"",2164,7048,3.25693160813309,""
180,2020Q1,"",S08000029,"",S12000047,"",Elective Inpatients,"",1910,3836,2.00837696335079,"",1957,6665,3.40572304547777,""
181,2020Q2,"",S08000029,"",S12000047,"",Elective Inpatients,"",654,1145,1.75076452599388,"",656,2010,3.0640243902439,""
182,2020Q3,"",S08000029,"",S12000047,"",Elective Inpatients,"",1390,2612,1.87913669064748,"",1399,4503,3.21872766261615,""
183,2020Q4,"",S08000029,"",S12000047,"",Elective Inpatients,"",1435,3224,2.24668989547038,"",1464,4554,3.11065573770492,""
184,2021Q1,"",S08000029,"",S12000047,"",Elective Inpatients,"",1073,2348,2.18825722273998,"",1062,3162,2.9774011299435,""
185,2021Q2,"",S08000029,"",S12000047,"",Elective Inpatients,"",1709,3296,1.92861322410767,"",1705,4941,2.89794721407625,""
186,2021Q3,"",S08000029,"",S12000047,"",Elective Inpatients,"",1568,3273,2.08737244897959,"",1581,4757,3.00885515496521,""
187,2021Q4,"",S08000029,"",S12000047,"",Elective Inpatients,"",1426,2628,1.84291725105189,"",1449,4523,3.12146307798482,""
188,2022Q1,"",S08000029,"",S12000047,"",Elective Inpatients,"",1348,2243,1.66394658753709,"",1350,4205,3.11481481481481,""
189,2022Q2,p,S08000029,"",S12000047,"",Elective Inpatients,"",1462,2780,1.9015047879617,"",1468,4193,2.85626702997275,""
190,2017Q2,"",S08000029,"",S08000029,d,Elective Inpatients,"",2271,4921,2.16688683399384,"",2273,7230,3.18081830180378,""
191,2017Q3,"",S08000029,"",S08000029,d,Elective Inpatients,"",2259,4995,2.21115537848606,"",2245,7238,3.22405345211581,""
192,2017Q4,"",S08000029,"",S08000029,d,Elective Inpatients,"",2207,4996,2.26370638876303,"",2220,7135,3.21396396396396,""
193,2018Q1,"",S08000029,"",S08000029,d,Elective Inpatients,"",2137,4497,2.10435189518016,"",2134,6567,3.07731958762887,""
194,2018Q2,"",S08000029,"",S08000029,d,Elective Inpatients,"",2417,5287,2.18742242449317,"",2406,8023,3.33458021612635,""
195,2018Q3,"",S08000029,"",S08000029,d,Elective Inpatients,"",2095,4243,2.02529832935561,"",2108,6831,3.24051233396584,""
196,2018Q4,"",S08000029,"",S08000029,d,Elective Inpatients,"",2286,4803,2.1010498687664,"",2297,7516,3.27209403569874,""
197,2019Q1,"",S08000029,"",S08000029,d,Elective Inpatients,"",2238,4403,1.96738159070599,"",2222,6462,2.90819081908191,""
198,2019Q2,"",S08000029,"",S08000029,d,Elective Inpatients,"",2191,4366,1.9926973984482,"",2198,6844,3.11373976342129,""
199,2019Q3,"",S08000029,"",S08000029,d,Elective Inpatients,"",2120,4114,1.94056603773585,"",2122,6859,3.23232799245994,""
200,2019Q4,"",S08000029,"",S08000029,d,Elective Inpatients,"",2142,4237,1.9780578898226,"",2164,7048,3.25693160813309,""
201,2020Q1,"",S08000029,"",S08000029,d,Elective Inpatients,"",1910,3836,2.00837696335079,"",1957,6665,3.40572304547777,""
202,2020Q2,"",S08000029,"",S08000029,d,Elective Inpatients,"",654,1145,1.75076452599388,"",656,2010,3.0640243902439,""
203,2020Q3,"",S08000029,"",S08000029,d,Elective Inpatients,"",1390,2612,1.87913669064748,"",1399,4503,3.21872766261615,""
204,2020Q4,"",S08000029,"",S08000029,d,Elective Inpatients,"",1435,3224,2.24668989547038,"",1464,4554,3.11065573770492,""
205,2021Q1,"",S08000029,"",S08000029,d,Elective Inpatients,"",1073,2348,2.18825722273998,"",1062,3162,2.9774011299435,""
206,2021Q2,"",S08000029,"",S08000029,d,Elective Inpatients,"",1709,3296,1.92861322410767,"",1705,4941,2.89794721407625,""
207,2021Q3,"",S08000029,"",S08000029,d,Elective Inpatients,"",1568,3273,2.08737244897959,"",1581,4757,3.00885515496521,""
208,2021Q4,"",S08000029,"",S08000029,d,Elective Inpatients,"",1426,2628,1.84291725105189,"",1449,4523,3.12146307798482,""
209,2022Q1,"",S08000029,"",S08000029,d,Elective Inpatients,"",1348,2243,1.66394658753709,"",1350,4205,3.11481481481481,""
210,2022Q2,p,S08000029,"",S08000029,d,Elective Inpatients,"",1462,2780,1.9015047879617,"",1468,4193,2.85626702997275,""
