_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
13,2018Q4,"",SB0801,"",D102H,"","",z,All Acute,d,14852,"",11765,"",161.4347826,"",127.8804348,"",79.21492055,""
14,2018Q4,"",SB0801,"",SB0801,d,"",z,All Acute,d,14852,"",11765,"",161.4347826,"",127.8804348,"",79.21492055,""
15,2019Q1,"",SB0801,"",D102H,"","",z,All Acute,d,14783,"",11654,"",164.2555556,"",129.4888889,"",78.83379558,""
16,2019Q1,"",SB0801,"",SB0801,d,"",z,All Acute,d,14783,"",11654,"",164.2555556,"",129.4888889,"",78.83379558,""
17,2019Q2,"",SB0801,"",D102H,"","",z,All Acute,d,14929,"",11897,"",164.0549451,"",130.7362637,"",79.6905352,""
18,2019Q2,"",SB0801,"",SB0801,d,"",z,All Acute,d,14929,"",11897,"",164.0549451,"",130.7362637,"",79.6905352,""
19,2019Q3,"",SB0801,"",D102H,"","",z,All Acute,d,15392,"",12067,"",167.3043478,"",131.1630435,"",78.39786902,""
20,2019Q3,"",SB0801,"",SB0801,d,"",z,All Acute,d,15392,"",12067,"",167.3043478,"",131.1630435,"",78.39786902,""
21,2019Q4,"",SB0801,"",D102H,"","",z,All Acute,d,15603,"",11659,"",169.5978261,"",126.7282609,"",74.72280972,""
22,2019Q4,"",SB0801,"",SB0801,d,"",z,All Acute,d,15603,"",11659,"",169.5978261,"",126.7282609,"",74.72280972,""
23,2020Q1,"",SB0801,"",D102H,"","",z,All Acute,d,14896,"",10915,"",163.6923077,"",119.9450549,"",73.27470462,""
24,2020Q1,"",SB0801,"",SB0801,d,"",z,All Acute,d,14896,"",10915,"",163.6923077,"",119.9450549,"",73.27470462,""
25,2020Q2,"",SB0801,"",D102H,"","",z,All Acute,d,14366,"",8101,"",157.8681319,"",89.02197802,"",56.39008771,""
26,2020Q2,"",SB0801,"",SB0801,d,"",z,All Acute,d,14366,"",8101,"",157.8681319,"",89.02197802,"",56.39008771,""
27,2020Q3,"",SB0801,"",D102H,"","",z,All Acute,d,15442,"",9934,"",167.8478261,"",107.9782609,"",64.3310452,""
28,2020Q3,"",SB0801,"",SB0801,d,"",z,All Acute,d,15442,"",9934,"",167.8478261,"",107.9782609,"",64.3310452,""
29,2020Q4,"",SB0801,"",D102H,"","",z,All Acute,d,15665,"",11164,"",170.2717391,"",121.3478261,"",71.26715608,""
30,2020Q4,"",SB0801,"",SB0801,d,"",z,All Acute,d,15665,"",11164,"",170.2717391,"",121.3478261,"",71.26715608,""
31,2021Q1,"",SB0801,"",D102H,"","",z,All Acute,d,16547,"",12060,"",183.8555556,"",134,"",72.88330211,""
32,2021Q1,"",SB0801,"",SB0801,d,"",z,All Acute,d,16547,"",12060,"",183.8555556,"",134,"",72.88330211,""
33,2021Q2,"",SB0801,"",D102H,"","",z,All Acute,d,16159,"",12269,"",177.5714286,"",134.8241758,"",75.92672814,""
34,2021Q2,"",SB0801,"",SB0801,d,"",z,All Acute,d,16159,"",12269,"",177.5714286,"",134.8241758,"",75.92672814,""
35,2021Q3,"",SB0801,"",D102H,"","",z,All Acute,d,16897,"",12029,"",183.6630435,"",130.75,"",71.1901521,""
36,2021Q3,"",SB0801,"",SB0801,d,"",z,All Acute,d,16897,"",12029,"",183.6630435,"",130.75,"",71.1901521,""
37,2021Q4,"",SB0801,"",D102H,"","",z,All Acute,d,17794,"",12613,"",193.4130435,"",137.0978261,"",70.88344386,""
38,2021Q4,"",SB0801,"",SB0801,d,"",z,All Acute,d,17794,"",12613,"",193.4130435,"",137.0978261,"",70.88344386,""
39,2022Q1,"",SB0801,"",D102H,"","",z,All Acute,d,17342,"",12101,"",192.6888889,"",134.4555556,"",69.77857225,""
40,2022Q1,"",SB0801,"",SB0801,d,"",z,All Acute,d,17342,"",12101,"",192.6888889,"",134.4555556,"",69.77857225,""
41,2022Q2,p,SB0801,"",D102H,"","",z,All Acute,d,16909,"",12412,"",185.8131868,"",136.3956044,"",73.40469572,""
42,2022Q2,p,SB0801,"",SB0801,d,"",z,All Acute,d,16909,"",12412,"",185.8131868,"",136.3956044,"",73.40469572,""
43,2017Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15604,"",11614,"",171.4725275,"",127.6263736,"",74.42963343,""
44,2017Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15604,"",11614,"",171.4725275,"",127.6263736,"",74.42963343,""
45,2017Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15426,"",11658,"",167.673913,"",126.7173913,"",75.57370673,""
46,2017Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15426,"",11658,"",167.673913,"",126.7173913,"",75.57370673,""
47,2017Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16159,"",12434,"",175.6413043,"",135.1521739,"",76.94783093,""
48,2017Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16159,"",12434,"",175.6413043,"",135.1521739,"",76.94783093,""
49,2018Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15681,"",11871,"",174.2333333,"",131.9,"",75.70308016,""
50,2018Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15681,"",11871,"",174.2333333,"",131.9,"",75.70308016,""
51,2018Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15817,"",12349,"",173.8131868,"",135.7032967,"",78.07422394,""
52,2018Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15817,"",12349,"",173.8131868,"",135.7032967,"",78.07422394,""
53,2018Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15806,"",12390,"",171.8043478,"",134.673913,"",78.38795394,""
54,2018Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15806,"",12390,"",171.8043478,"",134.673913,"",78.38795394,""
55,2018Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14852,"",11765,"",161.4347826,"",127.8804348,"",79.21492055,""
56,2018Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14852,"",11765,"",161.4347826,"",127.8804348,"",79.21492055,""
57,2019Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14783,"",11654,"",164.2555556,"",129.4888889,"",78.83379558,""
58,2019Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14783,"",11654,"",164.2555556,"",129.4888889,"",78.83379558,""
59,2019Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14929,"",11897,"",164.0549451,"",130.7362637,"",79.6905352,""
60,2019Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14929,"",11897,"",164.0549451,"",130.7362637,"",79.6905352,""
61,2019Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15392,"",12067,"",167.3043478,"",131.1630435,"",78.39786902,""
62,2019Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15392,"",12067,"",167.3043478,"",131.1630435,"",78.39786902,""
63,2019Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15603,"",11659,"",169.5978261,"",126.7282609,"",74.72280972,""
64,2019Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15603,"",11659,"",169.5978261,"",126.7282609,"",74.72280972,""
65,2020Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14896,"",10915,"",163.6923077,"",119.9450549,"",73.27470462,""
66,2020Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14896,"",10915,"",163.6923077,"",119.9450549,"",73.27470462,""
67,2020Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14417,"",8152,"",158.4285714,"",89.58241758,"",56.54435736,""
68,2020Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14417,"",8152,"",158.4285714,"",89.58241758,"",56.54435736,""
69,2020Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15524,"",10016,"",168.7391304,"",108.8695652,"",64.51945375,""
70,2020Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15524,"",10016,"",168.7391304,"",108.8695652,"",64.51945375,""
71,2020Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15756,"",11255,"",171.2608696,"",122.3369565,"",71.43310485,""
72,2020Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15756,"",11255,"",171.2608696,"",122.3369565,"",71.43310485,""
73,2021Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16637,"",12150,"",184.8555556,"",135,"",73.02999339,""
74,2021Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16637,"",12150,"",184.8555556,"",135,"",73.02999339,""
75,2021Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16240,"",12350,"",178.4615385,"",135.7142857,"",76.04679803,""
76,2021Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16240,"",12350,"",178.4615385,"",135.7142857,"",76.04679803,""
77,2021Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16931,"",12063,"",184.0326087,"",131.1195652,"",71.24800662,""
78,2021Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16931,"",12063,"",184.0326087,"",131.1195652,"",71.24800662,""
79,2021Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,17796,"",12615,"",193.4347826,"",137.1195652,"",70.88671612,""
80,2021Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,17796,"",12615,"",193.4347826,"",137.1195652,"",70.88671612,""
81,2022Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,17342,"",12101,"",192.6888889,"",134.4555556,"",69.77857225,""
82,2022Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,17342,"",12101,"",192.6888889,"",134.4555556,"",69.77857225,""
83,2022Q2,p,SB0801,"",D102H,"",Z9,d,All Specialties,d,16909,"",12412,"",185.8131868,"",136.3956044,"",73.40469572,""
84,2022Q2,p,SB0801,"",SB0801,d,Z9,d,All Specialties,d,16909,"",12412,"",185.8131868,"",136.3956044,"",73.40469572,""
85,2017Q2,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",8,"",8,"",0.087912088,"",0.087912088,"",100,""
86,2017Q2,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",8,"",8,"",0.087912088,"",0.087912088,"",100,""
87,2017Q4,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",7,"",7,"",0.076086957,"",0.076086957,"",100,""
88,2017Q4,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",7,"",7,"",0.076086957,"",0.076086957,"",100,""
89,2020Q2,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",56,"",56,"",0.615384615,"",0.615384615,"",100,""
90,2020Q2,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",56,"",56,"",0.615384615,"",0.615384615,"",100,""
91,2020Q4,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",17,"",17,"",0.184782609,"",0.184782609,"",100,""
92,2020Q4,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",17,"",17,"",0.184782609,"",0.184782609,"",100,""
93,2021Q1,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",36,"",36,"",0.4,"",0.4,"",100,""
94,2021Q1,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",36,"",36,"",0.4,"",0.4,"",100,""
95,2021Q3,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",1,"",1,"",0.010869565,"",0.010869565,"",100,""
96,2021Q3,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",1,"",1,"",0.010869565,"",0.010869565,"",100,""
97,2021Q4,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",24,"",24,"",0.260869565,"",0.260869565,"",100,""
98,2021Q4,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",24,"",24,"",0.260869565,"",0.260869565,"",100,""
99,2017Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2561,"",2268,"",28.14285714,"",24.92307692,"",88.55915658,""
100,2017Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2561,"",2268,"",28.14285714,"",24.92307692,"",88.55915658,""
101,2017Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2492,"",2148,"",27.08695652,"",23.34782609,"",86.19582665,""
102,2017Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2492,"",2148,"",27.08695652,"",23.34782609,"",86.19582665,""
103,2017Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2635,"",2312,"",28.64130435,"",25.13043478,"",87.74193548,""
104,2017Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2635,"",2312,"",28.64130435,"",25.13043478,"",87.74193548,""
105,2018Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2395,"",2050,"",26.61111111,"",22.77777778,"",85.59498956,""
106,2018Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2395,"",2050,"",26.61111111,"",22.77777778,"",85.59498956,""
107,2018Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2574,"",2294,"",28.28571429,"",25.20879121,"",89.12198912,""
108,2018Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2574,"",2294,"",28.28571429,"",25.20879121,"",89.12198912,""
109,2018Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2728,"",2396,"",29.65217391,"",26.04347826,"",87.82991202,""
110,2018Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2728,"",2396,"",29.65217391,"",26.04347826,"",87.82991202,""
111,2018Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2920,"",2574,"",31.73913043,"",27.97826087,"",88.15068493,""
112,2018Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2920,"",2574,"",31.73913043,"",27.97826087,"",88.15068493,""
113,2019Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2757,"",2483,"",30.63333333,"",27.58888889,"",90.06166123,""
114,2019Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2757,"",2483,"",30.63333333,"",27.58888889,"",90.06166123,""
115,2019Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2637,"",2363,"",28.97802198,"",25.967032970000002,"",89.60940463,""
116,2019Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2637,"",2363,"",28.97802198,"",25.967032970000002,"",89.60940463,""
117,2019Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2740,"",2352,"",29.7826087,"",25.56521739,"",85.83941606,""
118,2019Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2740,"",2352,"",29.7826087,"",25.56521739,"",85.83941606,""
119,2019Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2591,"",2276,"",28.16304348,"",24.73913043,"",87.84253184,""
120,2019Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2591,"",2276,"",28.16304348,"",24.73913043,"",87.84253184,""
121,2020Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2692,"",2248,"",29.58241758,"",24.7032967,"",83.50668648,""
122,2020Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2692,"",2248,"",29.58241758,"",24.7032967,"",83.50668648,""
123,2020Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",4515,"",3294,"",49.61538462,"",36.1978022,"",72.95681063,""
124,2020Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",4515,"",3294,"",49.61538462,"",36.1978022,"",72.95681063,""
125,2020Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",4112,"",3011,"",44.69565217,"",32.72826087,"",73.22470817,""
126,2020Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",4112,"",3011,"",44.69565217,"",32.72826087,"",73.22470817,""
127,2020Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",3667,"",2548,"",39.85869565,"",27.69565217,"",69.48459231,""
128,2020Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",3667,"",2548,"",39.85869565,"",27.69565217,"",69.48459231,""
129,2021Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",4251,"",3061,"",47.23333333,"",34.01111111,"",72.00658669,""
130,2021Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",4251,"",3061,"",47.23333333,"",34.01111111,"",72.00658669,""
131,2021Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",3400,"",3118,"",37.36263736,"",34.26373626,"",91.70588235,""
132,2021Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",3400,"",3118,"",37.36263736,"",34.26373626,"",91.70588235,""
133,2021Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",3682,"",3196,"",40.02173913,"",34.73913043,"",86.80065182,""
134,2021Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",3682,"",3196,"",40.02173913,"",34.73913043,"",86.80065182,""
135,2021Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",4530,"",3746,"",49.23913043,"",40.7173913,"",82.69315673,""
136,2021Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",4530,"",3746,"",49.23913043,"",40.7173913,"",82.69315673,""
137,2022Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",4614,"",3770,"",51.26666667,"",41.88888889,"",81.70784569,""
138,2022Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",4614,"",3770,"",51.26666667,"",41.88888889,"",81.70784569,""
139,2022Q2,p,SB0801,"",D102H,"",A2,"",Cardiology,"",3807,"",3294,"",41.83516484,"",36.1978022,"",86.5248227,""
140,2022Q2,p,SB0801,"",SB0801,d,A2,"",Cardiology,"",3807,"",3294,"",41.83516484,"",36.1978022,"",86.5248227,""
141,2017Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7581,"",5418,"",83.30769231,"",59.53846154,"",71.46814404,""
142,2017Q2,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7581,"",5418,"",83.30769231,"",59.53846154,"",71.46814404,""
143,2017Q3,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7675,"",5552,"",83.42391304,"",60.34782609,"",72.33876221,""
144,2017Q3,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7675,"",5552,"",83.42391304,"",60.34782609,"",72.33876221,""
145,2017Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7791,"",5661,"",84.68478261,"",61.5326087,"",72.66076242,""
146,2017Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7791,"",5661,"",84.68478261,"",61.5326087,"",72.66076242,""
147,2018Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7781,"",5858,"",86.45555556,"",65.08888889,"",75.28595296,""
148,2018Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7781,"",5858,"",86.45555556,"",65.08888889,"",75.28595296,""
149,2018Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7818,"",6052,"",85.91208791,"",66.50549451,"",77.41110258,""
150,2018Q2,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7818,"",6052,"",85.91208791,"",66.50549451,"",77.41110258,""
151,2018Q3,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7681,"",5916,"",83.48913043,"",64.30434783,"",77.0212212,""
152,2018Q3,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7681,"",5916,"",83.48913043,"",64.30434783,"",77.0212212,""
153,2018Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7176,"",5497,"",78,"",59.75,"",76.6025641,""
154,2018Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7176,"",5497,"",78,"",59.75,"",76.6025641,""
155,2019Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7230,"",5644,"",80.33333333,"",62.71111111,"",78.06362379,""
156,2019Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7230,"",5644,"",80.33333333,"",62.71111111,"",78.06362379,""
157,2019Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7428,"",6188,"",81.62637363,"",68,"",83.30640819,""
158,2019Q2,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7428,"",6188,"",81.62637363,"",68,"",83.30640819,""
159,2019Q3,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7644,"",6197,"",83.08695652,"",67.35869565,"",81.07012036,""
160,2019Q3,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7644,"",6197,"",83.08695652,"",67.35869565,"",81.07012036,""
161,2019Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7877,"",6165,"",85.61956522,"",67.01086957,"",78.26583725,""
162,2019Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7877,"",6165,"",85.61956522,"",67.01086957,"",78.26583725,""
163,2020Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7486,"",5828,"",82.26373626,"",64.04395604,"",77.85199038,""
164,2020Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7486,"",5828,"",82.26373626,"",64.04395604,"",77.85199038,""
165,2020Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",6612,"",3707,"",72.65934066,"",40.73626374,"",56.06473079,""
166,2020Q2,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",6612,"",3707,"",72.65934066,"",40.73626374,"",56.06473079,""
167,2020Q3,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7074,"",5123,"",76.89130435,"",55.68478261,"",72.42013005,""
168,2020Q3,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7074,"",5123,"",76.89130435,"",55.68478261,"",72.42013005,""
169,2020Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",6981,"",5396,"",75.88043478,"",58.65217391,"",77.2955164,""
170,2020Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",6981,"",5396,"",75.88043478,"",58.65217391,"",77.2955164,""
171,2021Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7232,"",5083,"",80.35555556,"",56.47777778,"",70.28484513,""
172,2021Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7232,"",5083,"",80.35555556,"",56.47777778,"",70.28484513,""
173,2021Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7502,"",5413,"",82.43956044,"",59.48351648,"",72.15409224,""
174,2021Q2,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7502,"",5413,"",82.43956044,"",59.48351648,"",72.15409224,""
175,2021Q3,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7688,"",5321,"",83.56521739,"",57.83695652,"",69.21175858,""
176,2021Q3,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7688,"",5321,"",83.56521739,"",57.83695652,"",69.21175858,""
177,2021Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7994,"",5441,"",86.89130435,"",59.14130435,"",68.06354766,""
178,2021Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7994,"",5441,"",86.89130435,"",59.14130435,"",68.06354766,""
179,2022Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7635,"",4825,"",84.83333333,"",53.61111111,"",63.19580878,""
180,2022Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7635,"",4825,"",84.83333333,"",53.61111111,"",63.19580878,""
181,2022Q2,p,SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7897,"",5597,"",86.78021978,"",61.50549451,"",70.87501583,""
182,2022Q2,p,SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7897,"",5597,"",86.78021978,"",61.50549451,"",70.87501583,""
183,2021Q1,"",SB0801,"",D102H,"",H1,"",Clinical Radiology,"",27,"",27,"",0.3,"",0.3,"",100,""
184,2021Q1,"",SB0801,"",SB0801,d,H1,"",Clinical Radiology,"",27,"",27,"",0.3,"",0.3,"",100,""
185,2021Q2,"",SB0801,"",D102H,"",H1,"",Clinical Radiology,"",48,"",48,"",0.527472527,"",0.527472527,"",100,""
186,2021Q2,"",SB0801,"",SB0801,d,H1,"",Clinical Radiology,"",48,"",48,"",0.527472527,"",0.527472527,"",100,""
187,2021Q4,"",SB0801,"",D102H,"",H1,"",Clinical Radiology,"",3,"",3,"",0.032608696,"",0.032608696,"",100,""
188,2021Q4,"",SB0801,"",SB0801,d,H1,"",Clinical Radiology,"",3,"",3,"",0.032608696,"",0.032608696,"",100,""
189,2021Q1,"",SB0801,"",D102H,"","",z,Dental Grouping,d,7,"",7,"",0.077777778,"",0.077777778,"",100,""
190,2021Q1,"",SB0801,"",SB0801,d,"",z,Dental Grouping,d,7,"",7,"",0.077777778,"",0.077777778,"",100,""
191,2021Q2,"",SB0801,"",D102H,"","",z,Dental Grouping,d,2,"",2,"",0.021978022,"",0.021978022,"",100,""
