Time_period,Geography_Level,Area_name,Specialty,Quarterly_available_staffed_bed_days,Quarterly_occupied_bed_days,Daily_average_available_staffed_beds,Daily_average_occupied_beds,Percentage_occupancy
Apr - Jun-22,National Waiting Times Centre,National Waiting Times Centre,All Acute,16909,12412,185.8,136.4,73.4
Apr - Jun-17,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,15604,11614,171.5,127.6,74.4
Apr - Jun-17,National Waiting Times Centre,National Waiting Times Centre,All Specialties,15604,11614,171.5,127.6,74.4
Jul - Sep-17,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,15426,11658,167.7,126.7,75.6
Jul - Sep-17,National Waiting Times Centre,National Waiting Times Centre,All Specialties,15426,11658,167.7,126.7,75.6
Oct - Dec-17,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,16159,12434,175.6,135.2,76.9
Oct - Dec-17,National Waiting Times Centre,National Waiting Times Centre,All Specialties,16159,12434,175.6,135.2,76.9
Jan - Mar-18,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,15681,11871,174.2,131.9,75.7
Jan - Mar-18,National Waiting Times Centre,National Waiting Times Centre,All Specialties,15681,11871,174.2,131.9,75.7
Apr - Jun-18,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,15817,12349,173.8,135.7,78.1
Apr - Jun-18,National Waiting Times Centre,National Waiting Times Centre,All Specialties,15817,12349,173.8,135.7,78.1
Jul - Sep-18,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,15806,12390,171.8,134.7,78.4
Jul - Sep-18,National Waiting Times Centre,National Waiting Times Centre,All Specialties,15806,12390,171.8,134.7,78.4
Oct - Dec-18,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,14852,11765,161.4,127.9,79.2
Oct - Dec-18,National Waiting Times Centre,National Waiting Times Centre,All Specialties,14852,11765,161.4,127.9,79.2
Jan - Mar-19,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,14783,11654,164.3,129.5,78.8
Jan - Mar-19,National Waiting Times Centre,National Waiting Times Centre,All Specialties,14783,11654,164.3,129.5,78.8
Apr - Jun-19,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,14929,11897,164.1,130.7,79.7
Apr - Jun-19,National Waiting Times Centre,National Waiting Times Centre,All Specialties,14929,11897,164.1,130.7,79.7
Jul - Sep-19,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,15392,12067,167.3,131.2,78.4
Jul - Sep-19,National Waiting Times Centre,National Waiting Times Centre,All Specialties,15392,12067,167.3,131.2,78.4
Oct - Dec-19,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,15603,11659,169.6,126.7,74.7
Oct - Dec-19,National Waiting Times Centre,National Waiting Times Centre,All Specialties,15603,11659,169.6,126.7,74.7
Jan - Mar-20,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,14896,10915,163.7,119.9,73.3
Jan - Mar-20,National Waiting Times Centre,National Waiting Times Centre,All Specialties,14896,10915,163.7,119.9,73.3
Apr - Jun-20,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,14417,8152,158.4,89.6,56.5
Apr - Jun-20,National Waiting Times Centre,National Waiting Times Centre,All Specialties,14417,8152,158.4,89.6,56.5
Jul - Sep-20,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,15524,10016,168.7,108.9,64.5
Jul - Sep-20,National Waiting Times Centre,National Waiting Times Centre,All Specialties,15524,10016,168.7,108.9,64.5
Oct - Dec-20,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,15756,11255,171.3,122.3,71.4
Oct - Dec-20,National Waiting Times Centre,National Waiting Times Centre,All Specialties,15756,11255,171.3,122.3,71.4
Jan - Mar-21,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,16637,12150,184.9,135,73
Jan - Mar-21,National Waiting Times Centre,National Waiting Times Centre,All Specialties,16637,12150,184.9,135,73
Apr - Jun-21,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,16240,12350,178.5,135.7,76
Apr - Jun-21,National Waiting Times Centre,National Waiting Times Centre,All Specialties,16240,12350,178.5,135.7,76
Jul - Sep-21,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,16931,12063,184,131.1,71.2
Jul - Sep-21,National Waiting Times Centre,National Waiting Times Centre,All Specialties,16931,12063,184,131.1,71.2
Oct - Dec-21,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,17796,12615,193.4,137.1,70.9
Oct - Dec-21,National Waiting Times Centre,National Waiting Times Centre,All Specialties,17796,12615,193.4,137.1,70.9
Jan - Mar-22,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,17342,12101,192.7,134.5,69.8
Jan - Mar-22,National Waiting Times Centre,National Waiting Times Centre,All Specialties,17342,12101,192.7,134.5,69.8
Apr - Jun-22,National Waiting Times Centre,Golden Jubilee National Hospital,All Specialties,16909,12412,185.8,136.4,73.4
Apr - Jun-22,National Waiting Times Centre,National Waiting Times Centre,All Specialties,16909,12412,185.8,136.4,73.4
Apr - Jun-17,National Waiting Times Centre,Golden Jubilee National Hospital,Anaesthetics,8,8,0.1,0.1,100
Apr - Jun-17,National Waiting Times Centre,National Waiting Times Centre,Anaesthetics,8,8,0.1,0.1,100
Oct - Dec-17,National Waiting Times Centre,Golden Jubilee National Hospital,Anaesthetics,7,7,0.1,0.1,100
Oct - Dec-17,National Waiting Times Centre,National Waiting Times Centre,Anaesthetics,7,7,0.1,0.1,100
Apr - Jun-20,National Waiting Times Centre,Golden Jubilee National Hospital,Anaesthetics,56,56,0.6,0.6,100
Apr - Jun-20,National Waiting Times Centre,National Waiting Times Centre,Anaesthetics,56,56,0.6,0.6,100
Oct - Dec-20,National Waiting Times Centre,Golden Jubilee National Hospital,Anaesthetics,17,17,0.2,0.2,100
Oct - Dec-20,National Waiting Times Centre,National Waiting Times Centre,Anaesthetics,17,17,0.2,0.2,100
Jan - Mar-21,National Waiting Times Centre,Golden Jubilee National Hospital,Anaesthetics,36,36,0.4,0.4,100
Jan - Mar-21,National Waiting Times Centre,National Waiting Times Centre,Anaesthetics,36,36,0.4,0.4,100
Jul - Sep-21,National Waiting Times Centre,Golden Jubilee National Hospital,Anaesthetics,1,1,0,0,100
Jul - Sep-21,National Waiting Times Centre,National Waiting Times Centre,Anaesthetics,1,1,0,0,100
Oct - Dec-21,National Waiting Times Centre,Golden Jubilee National Hospital,Anaesthetics,24,24,0.3,0.3,100
Oct - Dec-21,National Waiting Times Centre,National Waiting Times Centre,Anaesthetics,24,24,0.3,0.3,100
Apr - Jun-17,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2561,2268,28.1,24.9,88.6
Apr - Jun-17,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2561,2268,28.1,24.9,88.6
Jul - Sep-17,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2492,2148,27.1,23.3,86.2
Jul - Sep-17,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2492,2148,27.1,23.3,86.2
Oct - Dec-17,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2635,2312,28.6,25.1,87.7
Oct - Dec-17,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2635,2312,28.6,25.1,87.7
Jan - Mar-18,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2395,2050,26.6,22.8,85.6
Jan - Mar-18,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2395,2050,26.6,22.8,85.6
Apr - Jun-18,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2574,2294,28.3,25.2,89.1
Apr - Jun-18,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2574,2294,28.3,25.2,89.1
Jul - Sep-18,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2728,2396,29.7,26,87.8
Jul - Sep-18,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2728,2396,29.7,26,87.8
Oct - Dec-18,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2920,2574,31.7,28,88.2
Oct - Dec-18,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2920,2574,31.7,28,88.2
Jan - Mar-19,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2757,2483,30.6,27.6,90.1
Jan - Mar-19,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2757,2483,30.6,27.6,90.1
Apr - Jun-19,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2637,2363,29,26,89.6
Apr - Jun-19,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2637,2363,29,26,89.6
Jul - Sep-19,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2740,2352,29.8,25.6,85.8
Jul - Sep-19,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2740,2352,29.8,25.6,85.8
Oct - Dec-19,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2591,2276,28.2,24.7,87.8
Oct - Dec-19,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2591,2276,28.2,24.7,87.8
Jan - Mar-20,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,2692,2248,29.6,24.7,83.5
Jan - Mar-20,National Waiting Times Centre,National Waiting Times Centre,Cardiology,2692,2248,29.6,24.7,83.5
Apr - Jun-20,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,4515,3294,49.6,36.2,73
Apr - Jun-20,National Waiting Times Centre,National Waiting Times Centre,Cardiology,4515,3294,49.6,36.2,73
Jul - Sep-20,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,4112,3011,44.7,32.7,73.2
Jul - Sep-20,National Waiting Times Centre,National Waiting Times Centre,Cardiology,4112,3011,44.7,32.7,73.2
Oct - Dec-20,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,3667,2548,39.9,27.7,69.5
Oct - Dec-20,National Waiting Times Centre,National Waiting Times Centre,Cardiology,3667,2548,39.9,27.7,69.5
Jan - Mar-21,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,4251,3061,47.2,34,72
Jan - Mar-21,National Waiting Times Centre,National Waiting Times Centre,Cardiology,4251,3061,47.2,34,72
Apr - Jun-21,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,3400,3118,37.4,34.3,91.7
Apr - Jun-21,National Waiting Times Centre,National Waiting Times Centre,Cardiology,3400,3118,37.4,34.3,91.7
Jul - Sep-21,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,3682,3196,40,34.7,86.8
Jul - Sep-21,National Waiting Times Centre,National Waiting Times Centre,Cardiology,3682,3196,40,34.7,86.8
Oct - Dec-21,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,4530,3746,49.2,40.7,82.7
Oct - Dec-21,National Waiting Times Centre,National Waiting Times Centre,Cardiology,4530,3746,49.2,40.7,82.7
Jan - Mar-22,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,4614,3770,51.3,41.9,81.7
Jan - Mar-22,National Waiting Times Centre,National Waiting Times Centre,Cardiology,4614,3770,51.3,41.9,81.7
Apr - Jun-22,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiology,3807,3294,41.8,36.2,86.5
Apr - Jun-22,National Waiting Times Centre,National Waiting Times Centre,Cardiology,3807,3294,41.8,36.2,86.5
Apr - Jun-17,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7581,5418,83.3,59.5,71.5
Apr - Jun-17,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7581,5418,83.3,59.5,71.5
Jul - Sep-17,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7675,5552,83.4,60.3,72.3
Jul - Sep-17,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7675,5552,83.4,60.3,72.3
Oct - Dec-17,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7791,5661,84.7,61.5,72.7
Oct - Dec-17,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7791,5661,84.7,61.5,72.7
Jan - Mar-18,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7781,5858,86.5,65.1,75.3
Jan - Mar-18,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7781,5858,86.5,65.1,75.3
Apr - Jun-18,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7818,6052,85.9,66.5,77.4
Apr - Jun-18,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7818,6052,85.9,66.5,77.4
Jul - Sep-18,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7681,5916,83.5,64.3,77
Jul - Sep-18,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7681,5916,83.5,64.3,77
Oct - Dec-18,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7176,5497,78,59.8,76.6
Oct - Dec-18,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7176,5497,78,59.8,76.6
Jan - Mar-19,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7230,5644,80.3,62.7,78.1
Jan - Mar-19,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7230,5644,80.3,62.7,78.1
Apr - Jun-19,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7428,6188,81.6,68,83.3
Apr - Jun-19,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7428,6188,81.6,68,83.3
Jul - Sep-19,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7644,6197,83.1,67.4,81.1
Jul - Sep-19,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7644,6197,83.1,67.4,81.1
Oct - Dec-19,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7877,6165,85.6,67,78.3
Oct - Dec-19,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7877,6165,85.6,67,78.3
Jan - Mar-20,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7486,5828,82.3,64,77.9
Jan - Mar-20,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7486,5828,82.3,64,77.9
Apr - Jun-20,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,6612,3707,72.7,40.7,56.1
Apr - Jun-20,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,6612,3707,72.7,40.7,56.1
Jul - Sep-20,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7074,5123,76.9,55.7,72.4
Jul - Sep-20,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7074,5123,76.9,55.7,72.4
Oct - Dec-20,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,6981,5396,75.9,58.7,77.3
Oct - Dec-20,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,6981,5396,75.9,58.7,77.3
Jan - Mar-21,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7232,5083,80.4,56.5,70.3
Jan - Mar-21,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7232,5083,80.4,56.5,70.3
Apr - Jun-21,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7502,5413,82.4,59.5,72.2
Apr - Jun-21,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7502,5413,82.4,59.5,72.2
Jul - Sep-21,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7688,5321,83.6,57.8,69.2
Jul - Sep-21,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7688,5321,83.6,57.8,69.2
Oct - Dec-21,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7994,5441,86.9,59.1,68.1
Oct - Dec-21,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7994,5441,86.9,59.1,68.1
Jan - Mar-22,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7635,4825,84.8,53.6,63.2
Jan - Mar-22,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7635,4825,84.8,53.6,63.2
Apr - Jun-22,National Waiting Times Centre,Golden Jubilee National Hospital,Cardiothoracic Surgery,7897,5597,86.8,61.5,70.9
Apr - Jun-22,National Waiting Times Centre,National Waiting Times Centre,Cardiothoracic Surgery,7897,5597,86.8,61.5,70.9
Jan - Mar-21,National Waiting Times Centre,Golden Jubilee National Hospital,Clinical Radiology,27,27,0.3,0.3,100
Jan - Mar-21,National Waiting Times Centre,National Waiting Times Centre,Clinical Radiology,27,27,0.3,0.3,100
Apr - Jun-21,National Waiting Times Centre,Golden Jubilee National Hospital,Clinical Radiology,48,48,0.5,0.5,100
Apr - Jun-21,National Waiting Times Centre,National Waiting Times Centre,Clinical Radiology,48,48,0.5,0.5,100
Oct - Dec-21,National Waiting Times Centre,Golden Jubilee National Hospital,Clinical Radiology,3,3,0,0,100
Oct - Dec-21,National Waiting Times Centre,National Waiting Times Centre,Clinical Radiology,3,3,0,0,100
Jan - Mar-21,National Waiting Times Centre,Golden Jubilee National Hospital,Dental Grouping,7,7,0.1,0.1,100
Jan - Mar-21,National Waiting Times Centre,National Waiting Times Centre,Dental Grouping,7,7,0.1,0.1,100
Apr - Jun-21,National Waiting Times Centre,Golden Jubilee National Hospital,Dental Grouping,2,2,0,0,100
Apr - Jun-21,National Waiting Times Centre,National Waiting Times Centre,Dental Grouping,2,2,0,0,100
Jul - Sep-21,National Waiting Times Centre,Golden Jubilee National Hospital,Dental Grouping,2,2,0,0,100
Jul - Sep-21,National Waiting Times Centre,National Waiting Times Centre,Dental Grouping,2,2,0,0,100
Oct - Dec-21,National Waiting Times Centre,Golden Jubilee National Hospital,Dental Grouping,2,2,0,0,100
Oct - Dec-21,National Waiting Times Centre,National Waiting Times Centre,Dental Grouping,2,2,0,0,100
Apr - Jun-20,National Waiting Times Centre,Golden Jubilee National Hospital,"Ear, Nose & Throat (ENT)",260,260,2.9,2.9,100
Apr - Jun-20,National Waiting Times Centre,National Waiting Times Centre,"Ear, Nose & Throat (ENT)",260,260,2.9,2.9,100
Jul - Sep-20,National Waiting Times Centre,Golden Jubilee National Hospital,"Ear, Nose & Throat (ENT)",184,184,2,2,100
Jul - Sep-20,National Waiting Times Centre,National Waiting Times Centre,"Ear, Nose & Throat (ENT)",184,184,2,2,100
Oct - Dec-20,National Waiting Times Centre,Golden Jubilee National Hospital,"Ear, Nose & Throat (ENT)",122,122,1.3,1.3,100
Oct - Dec-20,National Waiting Times Centre,National Waiting Times Centre,"Ear, Nose & Throat (ENT)",122,122,1.3,1.3,100
Jan - Mar-21,National Waiting Times Centre,Golden Jubilee National Hospital,"Ear, Nose & Throat (ENT)",157,157,1.7,1.7,100
Jan - Mar-21,National Waiting Times Centre,National Waiting Times Centre,"Ear, Nose & Throat (ENT)",157,157,1.7,1.7,100
Apr - Jun-21,National Waiting Times Centre,Golden Jubilee National Hospital,"Ear, Nose & Throat (ENT)",113,113,1.2,1.2,100
Apr - Jun-21,National Waiting Times Centre,National Waiting Times Centre,"Ear, Nose & Throat (ENT)",113,113,1.2,1.2,100
Jul - Sep-21,National Waiting Times Centre,Golden Jubilee National Hospital,"Ear, Nose & Throat (ENT)",28,28,0.3,0.3,100
Jul - Sep-21,National Waiting Times Centre,National Waiting Times Centre,"Ear, Nose & Throat (ENT)",28,28,0.3,0.3,100
Oct - Dec-21,National Waiting Times Centre,Golden Jubilee National Hospital,"Ear, Nose & Throat (ENT)",57,57,0.6,0.6,100
Oct - Dec-21,National Waiting Times Centre,National Waiting Times Centre,"Ear, Nose & Throat (ENT)",57,57,0.6,0.6,100
Jan - Mar-22,National Waiting Times Centre,Golden Jubilee National Hospital,"Ear, Nose & Throat (ENT)",69,69,0.8,0.8,100
Jan - Mar-22,National Waiting Times Centre,National Waiting Times Centre,"Ear, Nose & Throat (ENT)",69,69,0.8,0.8,100
Apr - Jun-22,National Waiting Times Centre,Golden Jubilee National Hospital,"Ear, Nose & Throat (ENT)",6,6,0.1,0.1,100
Apr - Jun-22,National Waiting Times Centre,National Waiting Times Centre,"Ear, Nose & Throat (ENT)",6,6,0.1,0.1,100
Apr - Jun-22,National Waiting Times Centre,Golden Jubilee National Hospital,Gastroenterology,1,1,0,0,100
Apr - Jun-22,National Waiting Times Centre,National Waiting Times Centre,Gastroenterology,1,1,0,0,100
Apr - Jun-17,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,57,57,0.6,0.6,100
Apr - Jun-17,National Waiting Times Centre,National Waiting Times Centre,General Surgery,57,57,0.6,0.6,100
Jul - Sep-17,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,65,65,0.7,0.7,100
Jul - Sep-17,National Waiting Times Centre,National Waiting Times Centre,General Surgery,65,65,0.7,0.7,100
Oct - Dec-17,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,47,47,0.5,0.5,100
Oct - Dec-17,National Waiting Times Centre,National Waiting Times Centre,General Surgery,47,47,0.5,0.5,100
Jan - Mar-18,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,72,72,0.8,0.8,100
Jan - Mar-18,National Waiting Times Centre,National Waiting Times Centre,General Surgery,72,72,0.8,0.8,100
Apr - Jun-18,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,49,49,0.5,0.5,100
Apr - Jun-18,National Waiting Times Centre,National Waiting Times Centre,General Surgery,49,49,0.5,0.5,100
Jul - Sep-18,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,61,61,0.7,0.7,100
Jul - Sep-18,National Waiting Times Centre,National Waiting Times Centre,General Surgery,61,61,0.7,0.7,100
Oct - Dec-18,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,94,94,1,1,100
Oct - Dec-18,National Waiting Times Centre,National Waiting Times Centre,General Surgery,94,94,1,1,100
Jan - Mar-19,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,39,39,0.4,0.4,100
Jan - Mar-19,National Waiting Times Centre,National Waiting Times Centre,General Surgery,39,39,0.4,0.4,100
Apr - Jun-19,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,43,43,0.5,0.5,100
Apr - Jun-19,National Waiting Times Centre,National Waiting Times Centre,General Surgery,43,43,0.5,0.5,100
Jul - Sep-19,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,34,34,0.4,0.4,100
Jul - Sep-19,National Waiting Times Centre,National Waiting Times Centre,General Surgery,34,34,0.4,0.4,100
Oct - Dec-19,National Waiting Times Centre,Golden Jubilee National Hospital,General Surgery,47,47,0.5,0.5,100
Oct - Dec-19,National Waiting Times Centre,National Waiting Times Centre,General Surgery,47,47,0.5,0.5,100
