"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","NumberSeen","NumberSeenQF","WaitedOver12Weeks","WaitedOver12WeeksQF","Median","MedianQF","90thPercentile","90thPercentileQF"
"20190930","S08000015",,"New Outpatient","Z9","d",27662,,8304,,58,,128,
"20200930","S08000015",,"New Outpatient","Z9","d",13252,,3795,,30,,208,
"20210930","S08000015",,"New Outpatient","Z9","d",21144,,7324,,44,,310,
"20220930","S08000015",,"New Outpatient","Z9","d",22554,,7880,,45,,358,
"20130331","S08000015",,"New Outpatient","Z9","d",26015,,1724,,46,,84,
"20140331","S08000015",,"New Outpatient","Z9","d",27546,,2343,,47,,84,
"20150331","S08000015",,"New Outpatient","Z9","d",28189,,7346,,60,,135,
"20160331","S08000015",,"New Outpatient","Z9","d",26157,,6790,,48,,145,
"20170331","S08000015",,"New Outpatient","Z9","d",29708,,9079,,52,,153,
"20180331","S08000015",,"New Outpatient","Z9","d",27140,,6929,,48,,133,
"20190331","S08000015",,"New Outpatient","Z9","d",27992,,8727,,60,,141,
"20200331","S08000015",,"New Outpatient","Z9","d",24634,,6250,,47,,124,
"20210331","S08000015",,"New Outpatient","Z9","d",17114,,5274,,37,,251,
"20220331","S08000015",,"New Outpatient","Z9","d",21402,,6755,,35,,258,
"20121231","S08000015",,"New Outpatient","Z9","d",26278,,1139,,46,,83,
"20131231","S08000015",,"New Outpatient","Z9","d",27637,,2727,,49,,84,
"20141231","S08000015",,"New Outpatient","Z9","d",25752,,5087,,50,,115,
"20151231","S08000015",,"New Outpatient","Z9","d",29008,,7973,,59,,140,
"20161231","S08000015",,"New Outpatient","Z9","d",26829,,8444,,52,,146,
"20171231","S08000015",,"New Outpatient","Z9","d",27710,,7183,,51,,137,
"20181231","S08000015",,"New Outpatient","Z9","d",27476,,8263,,57,,138,
"20191231","S08000015",,"New Outpatient","Z9","d",28992,,7866,,55,,123,
"20201231","S08000015",,"New Outpatient","Z9","d",16204,,4541,,35,,258,
"20211231","S08000015",,"New Outpatient","Z9","d",23220,,8606,,43,,305,
"20130630","S08000016",,"New Outpatient","Z9","d",6850,,569,,40,,83,
"20140630","S08000016",,"New Outpatient","Z9","d",7375,,478,,35,,80,
"20150630","S08000016",,"New Outpatient","Z9","d",7407,,749,,36,,85,
"20160630","S08000016",,"New Outpatient","Z9","d",7671,,565,,31,,78,
"20170630","S08000016",,"New Outpatient","Z9","d",7417,,1541,,41,,100,
"20180630","S08000016",,"New Outpatient","Z9","d",8430,,930,,32,,87,
"20190630","S08000016",,"New Outpatient","Z9","d",7153,,942,,37,,90,
"20200630","S08000016",,"New Outpatient","Z9","d",2323,,476,,18,,119,
"20210630","S08000016",,"New Outpatient","Z9","d",4874,,1092,,27,,210.7,
"20220630","S08000016",,"New Outpatient","Z9","d",5829,,1499,,28,,237,
"20130930","S08000016",,"New Outpatient","Z9","d",7627,,1280,,46,,92,
"20140930","S08000016",,"New Outpatient","Z9","d",6954,,507,,35,,80,
"20150930","S08000016",,"New Outpatient","Z9","d",7902,,875,,40,,87,
"20160930","S08000016",,"New Outpatient","Z9","d",7641,,899,,38,,88,
"20170930","S08000016",,"New Outpatient","Z9","d",7255,,1532,,37,,125,
"20180930","S08000016",,"New Outpatient","Z9","d",7082,,1089,,34,,101,
"20190930","S08000016",,"New Outpatient","Z9","d",8619,,2575,,50,,119,
"20200930","S08000016",,"New Outpatient","Z9","d",3803,,751,,21,,161,
"20210930","S08000016",,"New Outpatient","Z9","d",5207,,1330,,31,,196.400000000001,
"20220930","S08000016",,"New Outpatient","Z9","d",5704,,1715,,32,,365,
"20130331","S08000016",,"New Outpatient","Z9","d",6406,,443,,40,,81,
"20140331","S08000016",,"New Outpatient","Z9","d",7162,,773,,37,,86,
"20150331","S08000016",,"New Outpatient","Z9","d",7662,,1250,,39,,100,
"20160331","S08000016",,"New Outpatient","Z9","d",7994,,1264,,38,,106,
"20170331","S08000016",,"New Outpatient","Z9","d",7156,,1761,,40,,111,
"20180331","S08000016",,"New Outpatient","Z9","d",7996,,2197,,41,,129,
"20190331","S08000016",,"New Outpatient","Z9","d",8726,,1823,,43,,109,
"20200331","S08000016",,"New Outpatient","Z9","d",6537,,587,,39,,83,
"20210331","S08000016",,"New Outpatient","Z9","d",4412,,1123,,28,,206,
"20220331","S08000016",,"New Outpatient","Z9","d",6781,,2791,,50,,359,
"20121231","S08000016",,"New Outpatient","Z9","d",6667,,233,,38,,75,
"20131231","S08000016",,"New Outpatient","Z9","d",7418,,1120,,41,,94,
"20141231","S08000016",,"New Outpatient","Z9","d",7311,,946,,39,,96,
"20151231","S08000016",,"New Outpatient","Z9","d",7374,,805,,38,,87,
"20161231","S08000016",,"New Outpatient","Z9","d",7079,,855,,37,,89,
"20171231","S08000016",,"New Outpatient","Z9","d",7770,,1581,,39,,146,
"20181231","S08000016",,"New Outpatient","Z9","d",7902,,1304,,38,,99,
"20191231","S08000016",,"New Outpatient","Z9","d",8076,,1210,,46,,91,
"20201231","S08000016",,"New Outpatient","Z9","d",4318,,791,,28,,225,
"20211231","S08000016",,"New Outpatient","Z9","d",5725,,1632,,33,,221.6,
"20130630","S08000017",,"New Outpatient","Z9","d",8773,,794,,32,,83,
"20140630","S08000017",,"New Outpatient","Z9","d",9074,,932,,32,,85,
"20150630","S08000017",,"New Outpatient","Z9","d",9150,,1507,,39,,95,
"20160630","S08000017",,"New Outpatient","Z9","d",9878,,1566,,40,,95,
"20170630","S08000017",,"New Outpatient","Z9","d",8342,,1201,,37.5,,98,
"20180630","S08000017",,"New Outpatient","Z9","d",9357,,1473,,40,,94,
"20190630","S08000017",,"New Outpatient","Z9","d",8849,,579,,37,,83,
"20200630","S08000017",,"New Outpatient","Z9","d",2679,,313,,13,,92,
"20210630","S08000017",,"New Outpatient","Z9","d",8272,,3450,,48,,227.900000000001,
"20220630","S08000017",,"New Outpatient","Z9","d",7826,,2732,,45,,194,
"20130930","S08000017",,"New Outpatient","Z9","d",9089,,1190,,38,,88,
"20140930","S08000017",,"New Outpatient","Z9","d",9596,,1398,,40,,91,
"20150930","S08000017",,"New Outpatient","Z9","d",10084,,2224,,44,,106,
"20160930","S08000017",,"New Outpatient","Z9","d",9462,,1693,,43,,99,
"20170930","S08000017",,"New Outpatient","Z9","d",9164,,1969,,42,,111,
"20180930","S08000017",,"New Outpatient","Z9","d",8825,,1542,,41,,93,
"20190930","S08000017",,"New Outpatient","Z9","d",9046,,952,,42,,85,
"20200930","S08000017",,"New Outpatient","Z9","d",5129,,1573,,23,,214,
"20210930","S08000017",,"New Outpatient","Z9","d",8420,,3081,,48,,187.1,
"20220930","S08000017",,"New Outpatient","Z9","d",7215,,2324,,44,,208,
"20130331","S08000017",,"New Outpatient","Z9","d",8728,,702,,32,,83,
"20140331","S08000017",,"New Outpatient","Z9","d",9526,,1157,,33,,88,
"20150331","S08000017",,"New Outpatient","Z9","d",8860,,1529,,36,,97,
"20160331","S08000017",,"New Outpatient","Z9","d",9201,,1538,,38,,95,
"20170331","S08000017",,"New Outpatient","Z9","d",8930,,1169,,31,,92,
"20180331","S08000017",,"New Outpatient","Z9","d",8925,,2325,,41,,119,
"20190331","S08000017",,"New Outpatient","Z9","d",9058,,977,,40,,87,
"20200331","S08000017",,"New Outpatient","Z9","d",8539,,822,,44,,84,
"20210331","S08000017",,"New Outpatient","Z9","d",5555,,1656,,28,,208,
"20220331","S08000017",,"New Outpatient","Z9","d",7640,,2781,,45,,192,
"20121231","S08000017",,"New Outpatient","Z9","d",8615,,504,,31,,78,
"20131231","S08000017",,"New Outpatient","Z9","d",8633,,959,,34,,86,
"20141231","S08000017",,"New Outpatient","Z9","d",9203,,1500,,37,,95,
"20151231","S08000017",,"New Outpatient","Z9","d",9563,,1852,,38,,99,
"20161231","S08000017",,"New Outpatient","Z9","d",9312,,1502,,34,,97,
"20171231","S08000017",,"New Outpatient","Z9","d",8467,,1839,,42,,115,
"20181231","S08000017",,"New Outpatient","Z9","d",8909,,628,,40,,83,
"20191231","S08000017",,"New Outpatient","Z9","d",9203,,782,,42,,84,
"20201231","S08000017",,"New Outpatient","Z9","d",6507,,2141,,36,,245,
"20211231","S08000017",,"New Outpatient","Z9","d",7273,,2420,,39,,167,
"20130630","S08000019",,"New Outpatient","Z9","d",16962,,3936,,40,,122,
"20140630","S08000019",,"New Outpatient","Z9","d",17884,,2254,,35,,90,
"20150630","S08000019",,"New Outpatient","Z9","d",17886,,1660,,34,,84,
"20160630","S08000019",,"New Outpatient","Z9","d",16380,,3352,,35,,119,
"20170630","S08000019",,"New Outpatient","Z9","d",17982,,3560,,36,,117,
"20180630","S08000019",,"New Outpatient","Z9","d",17912,,3727,,38,,118,
"20190630","S08000019",,"New Outpatient","Z9","d",17432,,3284,,36,,105,
"20200630","S08000019",,"New Outpatient","Z9","d",6521,,1796,,18,,138,
"20210630","S08000019",,"New Outpatient","Z9","d",14990,,3793,,26,,249,
"20220630","S08000019",,"New Outpatient","Z9","d",17617,,5373,,36,,232,
"20130930","S08000019",,"New Outpatient","Z9","d",16897,,4493,,41,,122,
"20140930","S08000019",,"New Outpatient","Z9","d",18070,,1850,,34,,85,
"20150930","S08000019",,"New Outpatient","Z9","d",18305,,2668,,36,,95,
"20160930","S08000019",,"New Outpatient","Z9","d",17141,,5303,,41,,146,
"20170930","S08000019",,"New Outpatient","Z9","d",18013,,3647,,38,,131,
"20180930","S08000019",,"New Outpatient","Z9","d",16489,,3454,,36,,127,
"20190930","S08000019",,"New Outpatient","Z9","d",17895,,4036,,42,,114,
"20200930","S08000019",,"New Outpatient","Z9","d",10215,,2735,,19,,196,
"20210930","S08000019",,"New Outpatient","Z9","d",16286,,4564,,33,,226,
"20220930","S08000019",,"New Outpatient","Z9","d",17170,,4642,,35,,169,
"20130331","S08000019",,"New Outpatient","Z9","d",15732,,3526,,41,,110,
"20140331","S08000019",,"New Outpatient","Z9","d",18441,,4264,,42,,125,
"20150331","S08000019",,"New Outpatient","Z9","d",17599,,2577,,39,,96,
"20160331","S08000019",,"New Outpatient","Z9","d",16942,,4710,,40,,128,
"20170331","S08000019",,"New Outpatient","Z9","d",18824,,5698,,42,,153,
"20180331","S08000019",,"New Outpatient","Z9","d",17402,,4617,,42,,126,
"20190331","S08000019",,"New Outpatient","Z9","d",20216,,5665,,41,,134,
"20200331","S08000019",,"New Outpatient","Z9","d",16970,,4340,,41,,132,
"20210331","S08000019",,"New Outpatient","Z9","d",13402,,3869,,27,,239,
"20220331","S08000019",,"New Outpatient","Z9","d",17673,,5318,,35,,232,
"20121231","S08000019",,"New Outpatient","Z9","d",16354,,2471,,41,,96,
"20131231","S08000019",,"New Outpatient","Z9","d",17848,,4598,,42,,132,
"20141231","S08000019",,"New Outpatient","Z9","d",16701,,1789,,34,,87,
"20151231","S08000019",,"New Outpatient","Z9","d",16844,,3045,,37,,104,
"20161231","S08000019",,"New Outpatient","Z9","d",16499,,4970,,41,,155,
"20171231","S08000019",,"New Outpatient","Z9","d",17604,,4456,,42,,147,
"20181231","S08000019",,"New Outpatient","Z9","d",19030,,5586,,37,,146,
"20191231","S08000019",,"New Outpatient","Z9","d",18928,,5239,,44,,126,
"20201231","S08000019",,"New Outpatient","Z9","d",12659,,3331,,22,,241,
"20211231","S08000019",,"New Outpatient","Z9","d",17129,,4816,,35,,207,
"20130630","S08000020",,"New Outpatient","Z9","d",29854,,95,,45,,83,
"20140630","S08000020",,"New Outpatient","Z9","d",29373,,1177,,46,,83,
"20150630","S08000020",,"New Outpatient","Z9","d",30585,,6096,,48,,130.600000000002,
"20160630","S08000020",,"New Outpatient","Z9","d",30090,,6484,,49,,127,
"20170630","S08000020",,"New Outpatient","Z9","d",27071,,7535,,48,,160,
"20180630","S08000020",,"New Outpatient","Z9","d",30006,,10521,,52,,206,
"20190630","S08000020",,"New Outpatient","Z9","d",31134,,9845,,49,,201,
"20200630","S08000020",,"New Outpatient","Z9","d",14278,,3224,,19,,162,
"20210630","S08000020",,"New Outpatient","Z9","d",26065,,7235,,37,,268,
"20220630","S08000020",,"New Outpatient","Z9","d",28172,,8409,,43,,223,
"20130930","S08000020",,"New Outpatient","Z9","d",28207,,204,,48,,83,
"20140930","S08000020",,"New Outpatient","Z9","d",26320,,1986,,47,,83,
"20150930","S08000020",,"New Outpatient","Z9","d",29315,,6923,,51,,160,
"20160930","S08000020",,"New Outpatient","Z9","d",28446,,9012,,56,,142,
"20170930","S08000020",,"New Outpatient","Z9","d",26468,,8641,,50,,181,
"20180930","S08000020",,"New Outpatient","Z9","d",28193,,9501,,54,,200,
"20190930","S08000020",,"New Outpatient","Z9","d",32945,,11555,,52,,195,
"20200930","S08000020",,"New Outpatient","Z9","d",17543,,5256,,28,,215,
"20210930","S08000020",,"New Outpatient","Z9","d",25694,,7070,,38,,241,
"20220930","S08000020",,"New Outpatient","Z9","d",27779,,8448,,45,,213,
"20130331","S08000020",,"New Outpatient","Z9","d",28454,,103,,48,,83,
"20140331","S08000020",,"New Outpatient","Z9","d",29067,,1032,,46,,83,
"20150331","S08000020",,"New Outpatient","Z9","d",30075,,5732,,49,,120,
"20160331","S08000020",,"New Outpatient","Z9","d",30819,,7066,,49,,134,
"20170331","S08000020",,"New Outpatient","Z9","d",30942,,9941,,52,,174,
"20180331","S08000020",,"New Outpatient","Z9","d",30582,,11631,,56,,217,
"20190331","S08000020",,"New Outpatient","Z9","d",31159,,11175,,52,,218,
"20200331","S08000020",,"New Outpatient","Z9","d",30703,,8295,,45,,165,
"20210331","S08000020",,"New Outpatient","Z9","d",21883,,5527,,35,,202,
"20220331","S08000020",,"New Outpatient","Z9","d",26677,,8529,,43,,256,
"20121231","S08000020",,"New Outpatient","Z9","d",29031,,48,,46,,83,
"20131231","S08000020",,"New Outpatient","Z9","d",29558,,561,,47,,83,
"20141231","S08000020",,"New Outpatient","Z9","d",30280,,4048,,48,,104.100000000002,
"20151231","S08000020",,"New Outpatient","Z9","d",32918,,9552,,55,,164,
"20161231","S08000020",,"New Outpatient","Z9","d",31193,,10682,,56,,166,
"20171231","S08000020",,"New Outpatient","Z9","d",30394,,12110,,58,,225,
"20181231","S08000020",,"New Outpatient","Z9","d",30453,,10608,,53,,209,
"20191231","S08000020",,"New Outpatient","Z9","d",32737,,11010,,49,,186,
"20201231","S08000020",,"New Outpatient","Z9","d",21936,,6130,,33,,245,
"20211231","S08000020",,"New Outpatient","Z9","d",26899,,8004,,40,,275,
"20130630","S08000022",,"New Outpatient","Z9","d",16670,,1368,,35,,84,
"20140630","S08000022",,"New Outpatient","Z9","d",13054,,2315,,43,,100,
"20150630","S08000022",,"New Outpatient","Z9","d",15581,,3404,,41,,159,
"20160630","S08000022",,"New Outpatient","Z9","d",16281,,3632,,39,,215,
"20170630","S08000022",,"New Outpatient","Z9","d",17084,,5036,,43,,209,
"20180630","S08000022",,"New Outpatient","Z9","d",17319,,3823,,42,,123,
"20190630","S08000022",,"New Outpatient","Z9","d",15550,,3318,,41,,112,
"20200630","S08000022",,"New Outpatient","Z9","d",5938,,2141,,49,,140,
"20210630","S08000022",,"New Outpatient","Z9","d",11940,,3567,,41,,244.1,
"20220630","S08000022",,"New Outpatient","Z9","d",11500,,3731,,43,,236,
"20130930","S08000022",,"New Outpatient","Z9","d",16570,,2108,,40,,90,
"20140930","S08000022",,"New Outpatient","Z9","d",12745,,2825,,44,,118,
"20150930","S08000022",,"New Outpatient","Z9","d",16052,,3483,,41,,149,
"20160930","S08000022",,"New Outpatient","Z9","d",14952,,3755,,40,,224,
"20170930","S08000022",,"New Outpatient","Z9","d",16574,,4968,,43,,198,
"20180930","S08000022",,"New Outpatient","Z9","d",15932,,3147,,43,,116,
"20190930","S08000022",,"New Outpatient","Z9","d",16850,,4716,,49,,126,
"20200930","S08000022",,"New Outpatient","Z9","d",8577,,3181,,41,,215,
"20210930","S08000022",,"New Outpatient","Z9","d",10915,,3224,,41,,193,
"20220930","S08000022",,"New Outpatient","Z9","d",13167,,5196,,58,,310,
"20130331","S08000022",,"New Outpatient","Z9","d",15514,,1291,,33,,84,
"20140331","S08000022",,"New Outpatient","Z9","d",15842,,2676,,40,,104,
"20150331","S08000022",,"New Outpatient","Z9","d",14953,,4134,,45,,147,
"20160331","S08000022",,"New Outpatient","Z9","d",15370,,3500,,41,,174,
"20170331","S08000022",,"New Outpatient","Z9","d",17444,,5930,,45,,225,
"20180331","S08000022",,"New Outpatient","Z9","d",16503,,4128,,41,,143,
"20190331","S08000022",,"New Outpatient","Z9","d",17184,,4371,,44,,123,
"20200331","S08000022",,"New Outpatient","Z9","d",14007,,3266,,45,,123,
"20210331","S08000022",,"New Outpatient","Z9","d",10171,,2961,,40,,194,
"20220331","S08000022",,"New Outpatient","Z9","d",12701,,4819,,49,,283,
"20121231","S08000022",,"New Outpatient","Z9","d",15523,,939,,33,,81,
"20131231","S08000022",,"New Outpatient","Z9","d",15843,,1959,,39,,91,
"20141231","S08000022",,"New Outpatient","Z9","d",14258,,3727,,43,,139,
"20151231","S08000022",,"New Outpatient","Z9","d",15905,,3719,,42,,168,
"20161231","S08000022",,"New Outpatient","Z9","d",15952,,4484,,40,,230,
"20171231","S08000022",,"New Outpatient","Z9","d",16383,,4690,,42,,173,
"20181231","S08000022",,"New Outpatient","Z9","d",16929,,3971,,42,,123,
"20191231","S08000022",,"New Outpatient","Z9","d",16339,,4183,,49,,129,
"20201231","S08000022",,"New Outpatient","Z9","d",10347,,3280,,45,,227,
"20211231","S08000022",,"New Outpatient","Z9","d",12310,,4412,,46,,280,
"20130630","S08000024",,"New Outpatient","Z9","d",61233,,6916,,35,,87,
"20140630","S08000024",,"New Outpatient","Z9","d",62811,,6827,,35,,86,
"20150630","S08000024",,"New Outpatient","Z9","d",59870,,9037,,36,,96,
"20160630","S08000024",,"New Outpatient","Z9","d",61340,,8937,,35,,96,
"20170630","S08000024",,"New Outpatient","Z9","d",59115,,10649,,33,,125,
"20180630","S08000024",,"New Outpatient","Z9","d",61297,,14589,,36,,173.400000000001,
"20190630","S08000024",,"New Outpatient","Z9","d",63601,,18380,,42,,181,
"20200630","S08000024",,"New Outpatient","Z9","d",27147,,6535,,15,,170,
"20210630","S08000024",,"New Outpatient","Z9","d",51482,,13426,,32,,283,
"20220630","S08000024",,"New Outpatient","Z9","d",54113,,15237,,34,,261,
"20130930","S08000024",,"New Outpatient","Z9","d",61042,,7230,,35,,88,
"20140930","S08000024",,"New Outpatient","Z9","d",62738,,9016,,37,,91,
"20150930","S08000024",,"New Outpatient","Z9","d",61433,,11757,,39,,105,
"20160930","S08000024",,"New Outpatient","Z9","d",58078,,10728,,38,,112,
"20170930","S08000024",,"New Outpatient","Z9","d",56659,,12146,,36,,148,
"20180930","S08000024",,"New Outpatient","Z9","d",59722,,16317,,40,,182,
"20190930","S08000024",,"New Outpatient","Z9","d",62832,,15324,,38,,168,
"20200930","S08000024",,"New Outpatient","Z9","d",37552,,10602,,21,,231,
"20210930","S08000024",,"New Outpatient","Z9","d",52681,,14147,,33,,292,
"20220930","S08000024",,"New Outpatient","Z9","d",53100,,14790,,34,,259,
"20130331","S08000024",,"New Outpatient","Z9","d",58056,,7259,,36,,89,
"20140331","S08000024",,"New Outpatient","Z9","d",62947,,8774,,36,,93,
"20150331","S08000024",,"New Outpatient","Z9","d",60768,,9154,,40,,97,
"20160331","S08000024",,"New Outpatient","Z9","d",61970,,9034,,36,,100,
"20170331","S08000024",,"New Outpatient","Z9","d",64527,,15567,,37,,153,
"20180331","S08000024",,"New Outpatient","Z9","d",60354,,15926,,37,,180,
"20190331","S08000024",,"New Outpatient","Z9","d",63179,,20046,,42,,191,
"20200331","S08000024",,"New Outpatient","Z9","d",55641,,16695,,39,,202,
"20210331","S08000024",,"New Outpatient","Z9","d",46012,,12973,,30,,321,
"20220331","S08000024",,"New Outpatient","Z9","d",55232,,16648,,37,,251,
"20121231","S08000024",,"New Outpatient","Z9","d",59466,,6589,,34,,87,
"20131231","S08000024",,"New Outpatient","Z9","d",61642,,8123,,35,,91,
"20141231","S08000024",,"New Outpatient","Z9","d",62991,,7601,,36,,88,
"20151231","S08000024",,"New Outpatient","Z9","d",64967,,11115,,40,,108,
"20161231","S08000024",,"New Outpatient","Z9","d",60079,,13439,,38,,138,
"20171231","S08000024",,"New Outpatient","Z9","d",61448,,15984,,39,,181,
"20181231","S08000024",,"New Outpatient","Z9","d",60816,,17623,,42,,185,
"20191231","S08000024",,"New Outpatient","Z9","d",58914,,16565,,39,,195,
"20201231","S08000024",,"New Outpatient","Z9","d",44604,,12387,,28,,284,
"20211231","S08000024",,"New Outpatient","Z9","d",55529,,17748,,39,,273,
"20130630","S08000025",,"New Outpatient","Z9","d",906,,15,,27,,69,
"20140630","S08000025",,"New Outpatient","Z9","d",979,,91,,34,,83,
"20150630","S08000025",,"New Outpatient","Z9","d",987,,119,,30,,94,
"20160630","S08000025",,"New Outpatient","Z9","d",1043,,226,,37,,187,
"20170630","S08000025",,"New Outpatient","Z9","d",864,,124,,29,,187.4,
"20180630","S08000025",,"New Outpatient","Z9","d",983,,182,,28,,172,
"20190630","S08000025",,"New Outpatient","Z9","d",902,,206,,38.5,,146,
"20200630","S08000025",,"New Outpatient","Z9","d",359,,97,,16,,244.2,
"20210630","S08000025",,"New Outpatient","Z9","d",1121,,145,,26,,109,
"20220630","S08000025",,"New Outpatient","Z9","d",984,,264,,26,,198.7,
"20130930","S08000025",,"New Outpatient","Z9","d",997,,46,,29,,77,
"20140930","S08000025",,"New Outpatient","Z9","d",1017,,203,,37,,99.4,
"20150930","S08000025",,"New Outpatient","Z9","d",926,,148,,36.5,,97,
"20160930","S08000025",,"New Outpatient","Z9","d",1060,,216,,29,,147,
"20170930","S08000025",,"New Outpatient","Z9","d",817,,112,,26,,147.4,
"20180930","S08000025",,"New Outpatient","Z9","d",979,,234,,34,,278.2,
"20190930","S08000025",,"New Outpatient","Z9","d",1256,,396,,46,,176,
"20200930","S08000025",,"New Outpatient","Z9","d",560,,170,,22.5,,204.2,
"20210930","S08000025",,"New Outpatient","Z9","d",1048,,208,,25,,316,
"20220930","S08000025",,"New Outpatient","Z9","d",1160,,407,,50,,237,
"20130331","S08000025",,"New Outpatient","Z9","d",946,,14,,31,,70,
"20140331","S08000025",,"New Outpatient","Z9","d",1083,,79,,34,,78,
"20150331","S08000025",,"New Outpatient","Z9","d",1007,,215,,41,,111.4,
"20160331","S08000025",,"New Outpatient","Z9","d",1009,,163,,36,,126,
"20170331","S08000025",,"New Outpatient","Z9","d",1032,,202,,28,,178.9,
"20180331","S08000025",,"New Outpatient","Z9","d",1021,,178,,34,,193,
"20190331","S08000025",,"New Outpatient","Z9","d",1127,,341,,33,,197,
"20200331","S08000025",,"New Outpatient","Z9","d",1078,,184,,28,,106,
"20210331","S08000025",,"New Outpatient","Z9","d",1048,,353,,43,,183.3,
"20220331","S08000025",,"New Outpatient","Z9","d",1234,,402,,42,,220.7,
"20121231","S08000025",,"New Outpatient","Z9","d",935,,15,,29,,66,
"20131231","S08000025",,"New Outpatient","Z9","d",940,,5,,31,,74,
"20141231","S08000025",,"New Outpatient","Z9","d",935,,154,,31,,98,
"20151231","S08000025",,"New Outpatient","Z9","d",874,,151,,32,,119,
