_id,MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
53,201607,S12000010,"",18-74,"",Patient and Family Related Reasons,"",0,0
54,201607,S12000010,"",18-74,"",Code 9 AWI,"",37,1
55,201607,S12000010,"",18-74,"",Code 9 Non-AWI,"",31,1
56,201607,S12000010,"",75plus,"",All Delay Reasons,d,989,32
57,201607,S12000010,"",75plus,"",Health and Social Care Reasons,"",983,32
58,201607,S12000010,"",75plus,"",Patient and Family Related Reasons,"",0,0
59,201607,S12000010,"",75plus,"",Code 9 AWI,"",6,0
60,201607,S12000010,"",75plus,"",Code 9 Non-AWI,"",0,0
61,201607,S12000011,"",18plus,d,All Delay Reasons,d,105,3
62,201607,S12000011,"",18plus,d,Health and Social Care Reasons,"",73,2
63,201607,S12000011,"",18plus,d,Patient and Family Related Reasons,"",1,0
64,201607,S12000011,"",18plus,d,Code 9 AWI,"",31,1
65,201607,S12000011,"",18plus,d,Code 9 Non-AWI,"",0,0
66,201607,S12000011,"",18-74,"",All Delay Reasons,d,15,0
67,201607,S12000011,"",18-74,"",Health and Social Care Reasons,"",14,0
68,201607,S12000011,"",18-74,"",Patient and Family Related Reasons,"",1,0
69,201607,S12000011,"",18-74,"",Code 9 AWI,"",0,0
70,201607,S12000011,"",18-74,"",Code 9 Non-AWI,"",0,0
71,201607,S12000011,"",75plus,"",All Delay Reasons,d,90,3
72,201607,S12000011,"",75plus,"",Health and Social Care Reasons,"",59,2
73,201607,S12000011,"",75plus,"",Patient and Family Related Reasons,"",0,0
74,201607,S12000011,"",75plus,"",Code 9 AWI,"",31,1
75,201607,S12000011,"",75plus,"",Code 9 Non-AWI,"",0,0
76,201607,S12000013,"",18plus,d,All Delay Reasons,d,721,23
77,201607,S12000013,"",18plus,d,Health and Social Care Reasons,"",167,5
78,201607,S12000013,"",18plus,d,Patient and Family Related Reasons,"",24,1
79,201607,S12000013,"",18plus,d,Code 9 AWI,"",62,2
80,201607,S12000013,"",18plus,d,Code 9 Non-AWI,"",468,15
81,201607,S12000013,"",18-74,"",All Delay Reasons,d,93,3
82,201607,S12000013,"",18-74,"",Health and Social Care Reasons,"",62,2
83,201607,S12000013,"",18-74,"",Patient and Family Related Reasons,"",0,0
84,201607,S12000013,"",18-74,"",Code 9 AWI,"",0,0
85,201607,S12000013,"",18-74,"",Code 9 Non-AWI,"",31,1
86,201607,S12000013,"",75plus,"",All Delay Reasons,d,628,20
87,201607,S12000013,"",75plus,"",Health and Social Care Reasons,"",105,3
88,201607,S12000013,"",75plus,"",Patient and Family Related Reasons,"",24,1
89,201607,S12000013,"",75plus,"",Code 9 AWI,"",62,2
90,201607,S12000013,"",75plus,"",Code 9 Non-AWI,"",437,14
91,201607,S12000014,"",18plus,d,All Delay Reasons,d,1525,49
92,201607,S12000014,"",18plus,d,Health and Social Care Reasons,"",1090,35
93,201607,S12000014,"",18plus,d,Patient and Family Related Reasons,"",179,6
94,201607,S12000014,"",18plus,d,Code 9 AWI,"",194,6
95,201607,S12000014,"",18plus,d,Code 9 Non-AWI,"",62,2
96,201607,S12000014,"",18-74,"",All Delay Reasons,d,495,16
97,201607,S12000014,"",18-74,"",Health and Social Care Reasons,"",402,13
98,201607,S12000014,"",18-74,"",Patient and Family Related Reasons,"",31,1
99,201607,S12000014,"",18-74,"",Code 9 AWI,"",31,1
100,201607,S12000014,"",18-74,"",Code 9 Non-AWI,"",31,1
101,201607,S12000014,"",75plus,"",All Delay Reasons,d,1030,33
102,201607,S12000014,"",75plus,"",Health and Social Care Reasons,"",688,22
103,201607,S12000014,"",75plus,"",Patient and Family Related Reasons,"",148,5
104,201607,S12000014,"",75plus,"",Code 9 AWI,"",163,5
105,201607,S12000014,"",75plus,"",Code 9 Non-AWI,"",31,1
106,201607,S12000017,"",18plus,d,All Delay Reasons,d,3812,123
107,201607,S12000017,"",18plus,d,Health and Social Care Reasons,"",2165,70
108,201607,S12000017,"",18plus,d,Patient and Family Related Reasons,"",477,15
109,201607,S12000017,"",18plus,d,Code 9 AWI,"",444,14
110,201607,S12000017,"",18plus,d,Code 9 Non-AWI,"",726,23
111,201607,S12000017,"",18-74,"",All Delay Reasons,d,869,28
112,201607,S12000017,"",18-74,"",Health and Social Care Reasons,"",507,16
113,201607,S12000017,"",18-74,"",Patient and Family Related Reasons,"",12,0
114,201607,S12000017,"",18-74,"",Code 9 AWI,"",31,1
115,201607,S12000017,"",18-74,"",Code 9 Non-AWI,"",319,10
116,201607,S12000017,"",75plus,"",All Delay Reasons,d,2943,95
117,201607,S12000017,"",75plus,"",Health and Social Care Reasons,"",1658,53
118,201607,S12000017,"",75plus,"",Patient and Family Related Reasons,"",465,15
119,201607,S12000017,"",75plus,"",Code 9 AWI,"",413,13
120,201607,S12000017,"",75plus,"",Code 9 Non-AWI,"",407,13
121,201607,S12000018,"",18plus,d,All Delay Reasons,d,304,10
122,201607,S12000018,"",18plus,d,Health and Social Care Reasons,"",242,8
123,201607,S12000018,"",18plus,d,Patient and Family Related Reasons,"",0,0
124,201607,S12000018,"",18plus,d,Code 9 AWI,"",0,0
125,201607,S12000018,"",18plus,d,Code 9 Non-AWI,"",62,2
126,201607,S12000018,"",18-74,"",All Delay Reasons,d,95,3
127,201607,S12000018,"",18-74,"",Health and Social Care Reasons,"",33,1
128,201607,S12000018,"",18-74,"",Patient and Family Related Reasons,"",0,0
129,201607,S12000018,"",18-74,"",Code 9 AWI,"",0,0
130,201607,S12000018,"",18-74,"",Code 9 Non-AWI,"",62,2
131,201607,S12000018,"",75plus,"",All Delay Reasons,d,209,7
132,201607,S12000018,"",75plus,"",Health and Social Care Reasons,"",209,7
133,201607,S12000018,"",75plus,"",Patient and Family Related Reasons,"",0,0
134,201607,S12000018,"",75plus,"",Code 9 AWI,"",0,0
135,201607,S12000018,"",75plus,"",Code 9 Non-AWI,"",0,0
136,201607,S12000019,"",18plus,d,All Delay Reasons,d,957,31
137,201607,S12000019,"",18plus,d,Health and Social Care Reasons,"",740,24
138,201607,S12000019,"",18plus,d,Patient and Family Related Reasons,"",0,0
139,201607,S12000019,"",18plus,d,Code 9 AWI,"",124,4
140,201607,S12000019,"",18plus,d,Code 9 Non-AWI,"",93,3
141,201607,S12000019,"",18-74,"",All Delay Reasons,d,317,10
142,201607,S12000019,"",18-74,"",Health and Social Care Reasons,"",224,7
143,201607,S12000019,"",18-74,"",Patient and Family Related Reasons,"",0,0
144,201607,S12000019,"",18-74,"",Code 9 AWI,"",62,2
145,201607,S12000019,"",18-74,"",Code 9 Non-AWI,"",31,1
146,201607,S12000019,"",75plus,"",All Delay Reasons,d,640,21
147,201607,S12000019,"",75plus,"",Health and Social Care Reasons,"",516,17
148,201607,S12000019,"",75plus,"",Patient and Family Related Reasons,"",0,0
149,201607,S12000019,"",75plus,"",Code 9 AWI,"",62,2
150,201607,S12000019,"",75plus,"",Code 9 Non-AWI,"",62,2
151,201607,S12000020,"",18plus,d,All Delay Reasons,d,1056,34
152,201607,S12000020,"",18plus,d,Health and Social Care Reasons,"",777,25
153,201607,S12000020,"",18plus,d,Patient and Family Related Reasons,"",11,0
154,201607,S12000020,"",18plus,d,Code 9 AWI,"",262,8
155,201607,S12000020,"",18plus,d,Code 9 Non-AWI,"",6,0
156,201607,S12000020,"",18-74,"",All Delay Reasons,d,292,9
157,201607,S12000020,"",18-74,"",Health and Social Care Reasons,"",272,9
158,201607,S12000020,"",18-74,"",Patient and Family Related Reasons,"",0,0
159,201607,S12000020,"",18-74,"",Code 9 AWI,"",14,0
160,201607,S12000020,"",18-74,"",Code 9 Non-AWI,"",6,0
161,201607,S12000020,"",75plus,"",All Delay Reasons,d,764,25
162,201607,S12000020,"",75plus,"",Health and Social Care Reasons,"",505,16
163,201607,S12000020,"",75plus,"",Patient and Family Related Reasons,"",11,0
164,201607,S12000020,"",75plus,"",Code 9 AWI,"",248,8
165,201607,S12000020,"",75plus,"",Code 9 Non-AWI,"",0,0
166,201607,S12000021,"",18plus,d,All Delay Reasons,d,531,17
167,201607,S12000021,"",18plus,d,Health and Social Care Reasons,"",411,13
168,201607,S12000021,"",18plus,d,Patient and Family Related Reasons,"",0,0
169,201607,S12000021,"",18plus,d,Code 9 AWI,"",120,4
170,201607,S12000021,"",18plus,d,Code 9 Non-AWI,"",0,0
171,201607,S12000021,"",18-74,"",All Delay Reasons,d,69,2
172,201607,S12000021,"",18-74,"",Health and Social Care Reasons,"",69,2
173,201607,S12000021,"",18-74,"",Patient and Family Related Reasons,"",0,0
174,201607,S12000021,"",18-74,"",Code 9 AWI,"",0,0
175,201607,S12000021,"",18-74,"",Code 9 Non-AWI,"",0,0
176,201607,S12000021,"",75plus,"",All Delay Reasons,d,462,15
177,201607,S12000021,"",75plus,"",Health and Social Care Reasons,"",342,11
178,201607,S12000021,"",75plus,"",Patient and Family Related Reasons,"",0,0
179,201607,S12000021,"",75plus,"",Code 9 AWI,"",120,4
180,201607,S12000021,"",75plus,"",Code 9 Non-AWI,"",0,0
181,201607,S12000023,"",18plus,d,All Delay Reasons,d,209,7
182,201607,S12000023,"",18plus,d,Health and Social Care Reasons,"",113,4
183,201607,S12000023,"",18plus,d,Patient and Family Related Reasons,"",0,0
184,201607,S12000023,"",18plus,d,Code 9 AWI,"",96,3
185,201607,S12000023,"",18plus,d,Code 9 Non-AWI,"",0,0
186,201607,S12000023,"",18-74,"",All Delay Reasons,d,82,3
187,201607,S12000023,"",18-74,"",Health and Social Care Reasons,"",51,2
188,201607,S12000023,"",18-74,"",Patient and Family Related Reasons,"",0,0
189,201607,S12000023,"",18-74,"",Code 9 AWI,"",31,1
190,201607,S12000023,"",18-74,"",Code 9 Non-AWI,"",0,0
191,201607,S12000023,"",75plus,"",All Delay Reasons,d,127,4
192,201607,S12000023,"",75plus,"",Health and Social Care Reasons,"",62,2
193,201607,S12000023,"",75plus,"",Patient and Family Related Reasons,"",0,0
194,201607,S12000023,"",75plus,"",Code 9 AWI,"",65,2
195,201607,S12000023,"",75plus,"",Code 9 Non-AWI,"",0,0
196,201607,S12000026,"",18plus,d,All Delay Reasons,d,862,28
197,201607,S12000026,"",18plus,d,Health and Social Care Reasons,"",620,20
198,201607,S12000026,"",18plus,d,Patient and Family Related Reasons,"",90,3
199,201607,S12000026,"",18plus,d,Code 9 AWI,"",75,2
200,201607,S12000026,"",18plus,d,Code 9 Non-AWI,"",77,2
201,201607,S12000026,"",18-74,"",All Delay Reasons,d,227,7
202,201607,S12000026,"",18-74,"",Health and Social Care Reasons,"",139,4
203,201607,S12000026,"",18-74,"",Patient and Family Related Reasons,"",25,1
204,201607,S12000026,"",18-74,"",Code 9 AWI,"",0,0
205,201607,S12000026,"",18-74,"",Code 9 Non-AWI,"",63,2
206,201607,S12000026,"",75plus,"",All Delay Reasons,d,635,20
207,201607,S12000026,"",75plus,"",Health and Social Care Reasons,"",481,16
208,201607,S12000026,"",75plus,"",Patient and Family Related Reasons,"",65,2
209,201607,S12000026,"",75plus,"",Code 9 AWI,"",75,2
210,201607,S12000026,"",75plus,"",Code 9 Non-AWI,"",14,0
211,201607,S12000027,"",18plus,d,All Delay Reasons,d,196,6
212,201607,S12000027,"",18plus,d,Health and Social Care Reasons,"",196,6
213,201607,S12000027,"",18plus,d,Patient and Family Related Reasons,"",0,0
214,201607,S12000027,"",18plus,d,Code 9 AWI,"",0,0
215,201607,S12000027,"",18plus,d,Code 9 Non-AWI,"",0,0
216,201607,S12000027,"",18-74,"",All Delay Reasons,d,34,1
217,201607,S12000027,"",18-74,"",Health and Social Care Reasons,"",34,1
218,201607,S12000027,"",18-74,"",Patient and Family Related Reasons,"",0,0
219,201607,S12000027,"",18-74,"",Code 9 AWI,"",0,0
220,201607,S12000027,"",18-74,"",Code 9 Non-AWI,"",0,0
221,201607,S12000027,"",75plus,"",All Delay Reasons,d,162,5
222,201607,S12000027,"",75plus,"",Health and Social Care Reasons,"",162,5
223,201607,S12000027,"",75plus,"",Patient and Family Related Reasons,"",0,0
224,201607,S12000027,"",75plus,"",Code 9 AWI,"",0,0
225,201607,S12000027,"",75plus,"",Code 9 Non-AWI,"",0,0
226,201607,S12000028,"",18plus,d,All Delay Reasons,d,1629,53
227,201607,S12000028,"",18plus,d,Health and Social Care Reasons,"",1505,49
228,201607,S12000028,"",18plus,d,Patient and Family Related Reasons,"",0,0
229,201607,S12000028,"",18plus,d,Code 9 AWI,"",124,4
230,201607,S12000028,"",18plus,d,Code 9 Non-AWI,"",0,0
231,201607,S12000028,"",18-74,"",All Delay Reasons,d,232,7
232,201607,S12000028,"",18-74,"",Health and Social Care Reasons,"",170,5
233,201607,S12000028,"",18-74,"",Patient and Family Related Reasons,"",0,0
234,201607,S12000028,"",18-74,"",Code 9 AWI,"",62,2
235,201607,S12000028,"",18-74,"",Code 9 Non-AWI,"",0,0
236,201607,S12000028,"",75plus,"",All Delay Reasons,d,1397,45
237,201607,S12000028,"",75plus,"",Health and Social Care Reasons,"",1335,43
238,201607,S12000028,"",75plus,"",Patient and Family Related Reasons,"",0,0
239,201607,S12000028,"",75plus,"",Code 9 AWI,"",62,2
240,201607,S12000028,"",75plus,"",Code 9 Non-AWI,"",0,0
241,201607,S12000029,"",18plus,d,All Delay Reasons,d,3556,115
242,201607,S12000029,"",18plus,d,Health and Social Care Reasons,"",2811,91
243,201607,S12000029,"",18plus,d,Patient and Family Related Reasons,"",345,11
244,201607,S12000029,"",18plus,d,Code 9 AWI,"",338,11
245,201607,S12000029,"",18plus,d,Code 9 Non-AWI,"",62,2
246,201607,S12000029,"",18-74,"",All Delay Reasons,d,667,22
247,201607,S12000029,"",18-74,"",Health and Social Care Reasons,"",554,18
248,201607,S12000029,"",18-74,"",Patient and Family Related Reasons,"",0,0
249,201607,S12000029,"",18-74,"",Code 9 AWI,"",82,3
250,201607,S12000029,"",18-74,"",Code 9 Non-AWI,"",31,1
251,201607,S12000029,"",75plus,"",All Delay Reasons,d,2889,93
252,201607,S12000029,"",75plus,"",Health and Social Care Reasons,"",2257,73
253,201607,S12000029,"",75plus,"",Patient and Family Related Reasons,"",345,11
254,201607,S12000029,"",75plus,"",Code 9 AWI,"",256,8
255,201607,S12000029,"",75plus,"",Code 9 Non-AWI,"",31,1
256,201607,S12000030,"",18plus,d,All Delay Reasons,d,712,23
257,201607,S12000030,"",18plus,d,Health and Social Care Reasons,"",499,16
258,201607,S12000030,"",18plus,d,Patient and Family Related Reasons,"",0,0
259,201607,S12000030,"",18plus,d,Code 9 AWI,"",146,5
260,201607,S12000030,"",18plus,d,Code 9 Non-AWI,"",67,2
261,201607,S12000030,"",18-74,"",All Delay Reasons,d,293,9
262,201607,S12000030,"",18-74,"",Health and Social Care Reasons,"",200,6
263,201607,S12000030,"",18-74,"",Patient and Family Related Reasons,"",0,0
264,201607,S12000030,"",18-74,"",Code 9 AWI,"",31,1
265,201607,S12000030,"",18-74,"",Code 9 Non-AWI,"",62,2
266,201607,S12000030,"",75plus,"",All Delay Reasons,d,419,14
267,201607,S12000030,"",75plus,"",Health and Social Care Reasons,"",299,10
268,201607,S12000030,"",75plus,"",Patient and Family Related Reasons,"",0,0
269,201607,S12000030,"",75plus,"",Code 9 AWI,"",115,4
270,201607,S12000030,"",75plus,"",Code 9 Non-AWI,"",5,0
271,201607,S12000033,"",18plus,d,All Delay Reasons,d,2557,82
272,201607,S12000033,"",18plus,d,Health and Social Care Reasons,"",2164,70
273,201607,S12000033,"",18plus,d,Patient and Family Related Reasons,"",11,0
274,201607,S12000033,"",18plus,d,Code 9 AWI,"",248,8
275,201607,S12000033,"",18plus,d,Code 9 Non-AWI,"",134,4
276,201607,S12000033,"",18-74,"",All Delay Reasons,d,759,24
277,201607,S12000033,"",18-74,"",Health and Social Care Reasons,"",529,17
278,201607,S12000033,"",18-74,"",Patient and Family Related Reasons,"",11,0
279,201607,S12000033,"",18-74,"",Code 9 AWI,"",124,4
280,201607,S12000033,"",18-74,"",Code 9 Non-AWI,"",95,3
281,201607,S12000033,"",75plus,"",All Delay Reasons,d,1798,58
282,201607,S12000033,"",75plus,"",Health and Social Care Reasons,"",1635,53
283,201607,S12000033,"",75plus,"",Patient and Family Related Reasons,"",0,0
284,201607,S12000033,"",75plus,"",Code 9 AWI,"",124,4
285,201607,S12000033,"",75plus,"",Code 9 Non-AWI,"",39,1
286,201607,S12000034,"",18plus,d,All Delay Reasons,d,1463,47
287,201607,S12000034,"",18plus,d,Health and Social Care Reasons,"",1066,34
288,201607,S12000034,"",18plus,d,Patient and Family Related Reasons,"",72,2
289,201607,S12000034,"",18plus,d,Code 9 AWI,"",220,7
290,201607,S12000034,"",18plus,d,Code 9 Non-AWI,"",105,3
291,201607,S12000034,"",18-74,"",All Delay Reasons,d,378,12
292,201607,S12000034,"",18-74,"",Health and Social Care Reasons,"",213,7
293,201607,S12000034,"",18-74,"",Patient and Family Related Reasons,"",29,1
294,201607,S12000034,"",18-74,"",Code 9 AWI,"",62,2
295,201607,S12000034,"",18-74,"",Code 9 Non-AWI,"",74,2
296,201607,S12000034,"",75plus,"",All Delay Reasons,d,1085,35
297,201607,S12000034,"",75plus,"",Health and Social Care Reasons,"",853,28
298,201607,S12000034,"",75plus,"",Patient and Family Related Reasons,"",43,1
299,201607,S12000034,"",75plus,"",Code 9 AWI,"",158,5
300,201607,S12000034,"",75plus,"",Code 9 Non-AWI,"",31,1
301,201607,S12000035,"",18plus,d,All Delay Reasons,d,512,17
302,201607,S12000035,"",18plus,d,Health and Social Care Reasons,"",419,14
303,201607,S12000035,"",18plus,d,Patient and Family Related Reasons,"",62,2
304,201607,S12000035,"",18plus,d,Code 9 AWI,"",31,1
305,201607,S12000035,"",18plus,d,Code 9 Non-AWI,"",0,0
306,201607,S12000035,"",18-74,"",All Delay Reasons,d,127,4
307,201607,S12000035,"",18-74,"",Health and Social Care Reasons,"",122,4
308,201607,S12000035,"",18-74,"",Patient and Family Related Reasons,"",5,0
309,201607,S12000035,"",18-74,"",Code 9 AWI,"",0,0
310,201607,S12000035,"",18-74,"",Code 9 Non-AWI,"",0,0
311,201607,S12000035,"",75plus,"",All Delay Reasons,d,385,12
312,201607,S12000035,"",75plus,"",Health and Social Care Reasons,"",297,10
313,201607,S12000035,"",75plus,"",Patient and Family Related Reasons,"",57,2
314,201607,S12000035,"",75plus,"",Code 9 AWI,"",31,1
315,201607,S12000035,"",75plus,"",Code 9 Non-AWI,"",0,0
316,201607,S12000036,"",18plus,d,All Delay Reasons,d,5875,190
317,201607,S12000036,"",18plus,d,Health and Social Care Reasons,"",5081,164
318,201607,S12000036,"",18plus,d,Patient and Family Related Reasons,"",0,0
319,201607,S12000036,"",18plus,d,Code 9 AWI,"",705,23
320,201607,S12000036,"",18plus,d,Code 9 Non-AWI,"",89,3
321,201607,S12000036,"",18-74,"",All Delay Reasons,d,1862,60
322,201607,S12000036,"",18-74,"",Health and Social Care Reasons,"",1562,50
323,201607,S12000036,"",18-74,"",Patient and Family Related Reasons,"",0,0
324,201607,S12000036,"",18-74,"",Code 9 AWI,"",230,7
325,201607,S12000036,"",18-74,"",Code 9 Non-AWI,"",70,2
326,201607,S12000036,"",75plus,"",All Delay Reasons,d,4013,129
327,201607,S12000036,"",75plus,"",Health and Social Care Reasons,"",3519,114
328,201607,S12000036,"",75plus,"",Patient and Family Related Reasons,"",0,0
329,201607,S12000036,"",75plus,"",Code 9 AWI,"",475,15
330,201607,S12000036,"",75plus,"",Code 9 Non-AWI,"",19,1
331,201607,S12000038,"",18plus,d,All Delay Reasons,d,215,7
332,201607,S12000038,"",18plus,d,Health and Social Care Reasons,"",138,4
333,201607,S12000038,"",18plus,d,Patient and Family Related Reasons,"",0,0
334,201607,S12000038,"",18plus,d,Code 9 AWI,"",21,1
335,201607,S12000038,"",18plus,d,Code 9 Non-AWI,"",56,2
336,201607,S12000038,"",18-74,"",All Delay Reasons,d,97,3
337,201607,S12000038,"",18-74,"",Health and Social Care Reasons,"",30,1
338,201607,S12000038,"",18-74,"",Patient and Family Related Reasons,"",0,0
339,201607,S12000038,"",18-74,"",Code 9 AWI,"",11,0
340,201607,S12000038,"",18-74,"",Code 9 Non-AWI,"",56,2
341,201607,S12000038,"",75plus,"",All Delay Reasons,d,118,4
342,201607,S12000038,"",75plus,"",Health and Social Care Reasons,"",108,3
343,201607,S12000038,"",75plus,"",Patient and Family Related Reasons,"",0,0
344,201607,S12000038,"",75plus,"",Code 9 AWI,"",10,0
345,201607,S12000038,"",75plus,"",Code 9 Non-AWI,"",0,0
346,201607,S12000039,"",18plus,d,All Delay Reasons,d,275,9
347,201607,S12000039,"",18plus,d,Health and Social Care Reasons,"",151,5
348,201607,S12000039,"",18plus,d,Patient and Family Related Reasons,"",0,0
349,201607,S12000039,"",18plus,d,Code 9 AWI,"",62,2
350,201607,S12000039,"",18plus,d,Code 9 Non-AWI,"",62,2
351,201607,S12000039,"",18-74,"",All Delay Reasons,d,167,5
352,201607,S12000039,"",18-74,"",Health and Social Care Reasons,"",56,2
353,201607,S12000039,"",18-74,"",Patient and Family Related Reasons,"",0,0
354,201607,S12000039,"",18-74,"",Code 9 AWI,"",49,2
355,201607,S12000039,"",18-74,"",Code 9 Non-AWI,"",62,2
356,201607,S12000039,"",75plus,"",All Delay Reasons,d,108,3
357,201607,S12000039,"",75plus,"",Health and Social Care Reasons,"",95,3
358,201607,S12000039,"",75plus,"",Patient and Family Related Reasons,"",0,0
359,201607,S12000039,"",75plus,"",Code 9 AWI,"",13,0
360,201607,S12000039,"",75plus,"",Code 9 Non-AWI,"",0,0
361,201607,S12000040,"",18plus,d,All Delay Reasons,d,1237,40
362,201607,S12000040,"",18plus,d,Health and Social Care Reasons,"",1058,34
363,201607,S12000040,"",18plus,d,Patient and Family Related Reasons,"",52,2
364,201607,S12000040,"",18plus,d,Code 9 AWI,"",127,4
365,201607,S12000040,"",18plus,d,Code 9 Non-AWI,"",0,0
366,201607,S12000040,"",18-74,"",All Delay Reasons,d,348,11
367,201607,S12000040,"",18-74,"",Health and Social Care Reasons,"",334,11
368,201607,S12000040,"",18-74,"",Patient and Family Related Reasons,"",0,0
369,201607,S12000040,"",18-74,"",Code 9 AWI,"",14,0
370,201607,S12000040,"",18-74,"",Code 9 Non-AWI,"",0,0
371,201607,S12000040,"",75plus,"",All Delay Reasons,d,889,29
372,201607,S12000040,"",75plus,"",Health and Social Care Reasons,"",724,23
373,201607,S12000040,"",75plus,"",Patient and Family Related Reasons,"",52,2
374,201607,S12000040,"",75plus,"",Code 9 AWI,"",113,4
375,201607,S12000040,"",75plus,"",Code 9 Non-AWI,"",0,0
376,201607,S12000041,"",18plus,d,All Delay Reasons,d,366,12
377,201607,S12000041,"",18plus,d,Health and Social Care Reasons,"",134,4
378,201607,S12000041,"",18plus,d,Patient and Family Related Reasons,"",14,0
379,201607,S12000041,"",18plus,d,Code 9 AWI,"",125,4
380,201607,S12000041,"",18plus,d,Code 9 Non-AWI,"",93,3
381,201607,S12000041,"",18-74,"",All Delay Reasons,d,136,4
382,201607,S12000041,"",18-74,"",Health and Social Care Reasons,"",18,1
383,201607,S12000041,"",18-74,"",Patient and Family Related Reasons,"",6,0
384,201607,S12000041,"",18-74,"",Code 9 AWI,"",50,2
385,201607,S12000041,"",18-74,"",Code 9 Non-AWI,"",62,2
386,201607,S12000041,"",75plus,"",All Delay Reasons,d,230,7
387,201607,S12000041,"",75plus,"",Health and Social Care Reasons,"",116,4
388,201607,S12000041,"",75plus,"",Patient and Family Related Reasons,"",8,0
389,201607,S12000041,"",75plus,"",Code 9 AWI,"",75,2
390,201607,S12000041,"",75plus,"",Code 9 Non-AWI,"",31,1
391,201607,S12000042,"",18plus,d,All Delay Reasons,d,1019,33
392,201607,S12000042,"",18plus,d,Health and Social Care Reasons,"",471,15
393,201607,S12000042,"",18plus,d,Patient and Family Related Reasons,"",117,4
