_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
94,2012Q1,S08000022,"",S08000022,Ovarian,"",2,"",2,""
95,2012Q1,S08000022,"",S08000022,Upper GI,"",19,"",19,""
96,2012Q1,S08000022,"",S08000022,Urological,"",16,"",15,""
97,2012Q1,S08000022,"",S08000024,Breast,"",1,"",1,""
98,2012Q1,S08000022,"",S08000024,Melanoma,"",1,"",1,""
99,2012Q1,S08000022,"",S08000031,Lung,"",3,"",3,""
100,2012Q1,S08000022,"",S08000031,Upper GI,"",1,"",1,""
101,2012Q1,S08000022,"",S08000031,Urological,"",2,"",2,""
102,2012Q1,S08000024,"",S08000016,Breast,"",4,"",4,""
103,2012Q1,S08000024,"",S08000019,Breast,"",1,"",1,""
104,2012Q1,S08000024,"",S08000024,Breast,"",161,"",161,""
105,2012Q1,S08000024,"",S08000024,Cervical,"",2,"",2,""
106,2012Q1,S08000024,"",S08000024,Colorectal,"",97,"",94,""
107,2012Q1,S08000024,"",S08000024,Head & Neck,"",16,"",14,""
108,2012Q1,S08000024,"",S08000024,Lung,"",101,"",95,""
109,2012Q1,S08000024,"",S08000024,Lymphoma,"",14,"",14,""
110,2012Q1,S08000024,"",S08000024,Melanoma,"",23,"",22,""
111,2012Q1,S08000024,"",S08000024,Ovarian,"",13,"",12,""
112,2012Q1,S08000024,"",S08000024,Upper GI,"",32,"",32,""
113,2012Q1,S08000024,"",S08000024,Urological,"",95,"",85,""
114,2012Q1,S08000024,"",S08000029,Breast,"",3,"",3,""
115,2012Q1,S08000025,"",S08000020,Breast,"",1,"",1,""
116,2012Q1,S08000025,"",S08000020,Colorectal,"",2,"",1,""
117,2012Q1,S08000025,"",S08000020,Upper GI,"",1,"",0,""
118,2012Q1,S08000025,"",S08000025,Colorectal,"",2,"",2,""
119,2012Q1,S08000025,"",S08000025,Urological,"",1,"",1,""
120,2012Q1,S08000026,"",S08000020,Colorectal,"",2,"",1,""
121,2012Q1,S08000026,"",S08000020,Lung,"",2,"",2,""
122,2012Q1,S08000026,"",S08000020,Lymphoma,"",1,"",1,""
123,2012Q1,S08000026,"",S08000020,Urological,"",1,"",1,""
124,2012Q1,S08000026,"",S08000026,Breast,"",1,"",1,""
125,2012Q1,S08000026,"",S08000026,Colorectal,"",4,"",4,""
126,2012Q1,S08000026,"",S08000026,Lung,"",3,"",3,""
127,2012Q1,S08000026,"",S08000026,Melanoma,"",1,"",1,""
128,2012Q1,S08000026,"",S08000026,Upper GI,"",1,"",1,""
129,2012Q1,S08000028,"",S08000022,Colorectal,"",1,"",1,""
130,2012Q1,S08000028,"",S08000028,Colorectal,"",2,"",2,""
131,2012Q1,S08000028,"",S08000028,Lung,"",5,"",5,""
132,2012Q1,S08000028,"",S08000028,Upper GI,"",2,"",2,""
133,2012Q1,S08000028,"",S08000028,Urological,"",1,"",1,""
134,2012Q1,S08000028,"",SB0801,Lung,"",1,"",1,""
135,2012Q1,S08000028,"",SB0801,Upper GI,"",1,"",1,""
136,2012Q1,S08000029,"",S08000024,Breast,"",1,"",1,""
137,2012Q1,S08000029,"",S08000024,Cervical,"",2,"",1,""
138,2012Q1,S08000029,"",S08000024,Colorectal,"",3,"",2,""
139,2012Q1,S08000029,"",S08000024,Head & Neck,"",3,"",3,""
140,2012Q1,S08000029,"",S08000024,Lung,"",14,"",11,""
141,2012Q1,S08000029,"",S08000024,Lymphoma,"",1,"",1,""
142,2012Q1,S08000029,"",S08000024,Ovarian,"",1,"",1,""
143,2012Q1,S08000029,"",S08000024,Urological,"",3,"",2,""
144,2012Q1,S08000029,"",S08000029,Breast,"",23,"",23,""
145,2012Q1,S08000029,"",S08000029,Cervical,"",1,"",1,""
146,2012Q1,S08000029,"",S08000029,Colorectal,"",32,"",27,""
147,2012Q1,S08000029,"",S08000029,Head & Neck,"",2,"",2,""
148,2012Q1,S08000029,"",S08000029,Lung,"",41,"",41,""
149,2012Q1,S08000029,"",S08000029,Lymphoma,"",6,"",5,""
150,2012Q1,S08000029,"",S08000029,Melanoma,"",5,"",5,""
151,2012Q1,S08000029,"",S08000029,Ovarian,"",4,"",2,""
152,2012Q1,S08000029,"",S08000029,Upper GI,"",17,"",17,""
153,2012Q1,S08000029,"",S08000029,Urological,"",29,"",27,""
154,2012Q1,S08000029,"",S08000030,Lung,"",3,"",3,""
155,2012Q1,S08000030,"",S08000020,Lung,"",1,"",1,""
156,2012Q1,S08000030,"",S08000024,Lung,"",4,"",3,""
157,2012Q1,S08000030,"",S08000030,Breast,"",67,"",67,""
158,2012Q1,S08000030,"",S08000030,Cervical,"",2,"",2,""
159,2012Q1,S08000030,"",S08000030,Colorectal,"",42,"",37,""
160,2012Q1,S08000030,"",S08000030,Head & Neck,"",8,"",7,""
161,2012Q1,S08000030,"",S08000030,Lung,"",35,"",34,""
162,2012Q1,S08000030,"",S08000030,Lymphoma,"",5,"",5,""
163,2012Q1,S08000030,"",S08000030,Melanoma,"",10,"",10,""
164,2012Q1,S08000030,"",S08000030,Ovarian,"",4,"",4,""
165,2012Q1,S08000030,"",S08000030,Upper GI,"",13,"",13,""
166,2012Q1,S08000030,"",S08000030,Urological,"",32,"",30,""
167,2012Q1,S08000031,"",S08000022,Colorectal,"",2,"",1,""
168,2012Q1,S08000031,"",S08000024,Urological,"",1,"",1,""
169,2012Q1,S08000031,"",S08000031,Breast,"",203,"",203,""
170,2012Q1,S08000031,"",S08000031,Cervical,"",6,"",6,""
171,2012Q1,S08000031,"",S08000031,Colorectal,"",100,"",93,""
172,2012Q1,S08000031,"",S08000031,Head & Neck,"",33,"",32,""
173,2012Q1,S08000031,"",S08000031,Lung,"",104,"",89,""
174,2012Q1,S08000031,"",S08000031,Lymphoma,"",18,"",18,""
175,2012Q1,S08000031,"",S08000031,Melanoma,"",25,"",25,""
176,2012Q1,S08000031,"",S08000031,Ovarian,"",6,"",6,""
177,2012Q1,S08000031,"",S08000031,Upper GI,"",98,"",92,""
178,2012Q1,S08000031,"",S08000031,Urological,"",87,"",85,""
179,2012Q1,S08000031,"",S08000032,Breast,"",4,"",4,""
180,2012Q1,S08000031,"",SB0801,Lung,"",9,"",7,""
181,2012Q1,S08000032,"",S08000031,Breast,"",1,"",1,""
182,2012Q1,S08000032,"",S08000031,Cervical,"",5,"",5,""
183,2012Q1,S08000032,"",S08000031,Colorectal,"",6,"",4,""
184,2012Q1,S08000032,"",S08000031,Head & Neck,"",1,"",1,""
185,2012Q1,S08000032,"",S08000031,Lung,"",22,"",21,""
186,2012Q1,S08000032,"",S08000031,Melanoma,"",3,"",3,""
187,2012Q1,S08000032,"",S08000031,Ovarian,"",4,"",4,""
188,2012Q1,S08000032,"",S08000031,Upper GI,"",5,"",5,""
189,2012Q1,S08000032,"",S08000031,Urological,"",2,"",2,""
190,2012Q1,S08000032,"",S08000032,Breast,"",52,"",52,""
191,2012Q1,S08000032,"",S08000032,Cervical,"",3,"",2,""
192,2012Q1,S08000032,"",S08000032,Colorectal,"",44,"",43,""
193,2012Q1,S08000032,"",S08000032,Head & Neck,"",4,"",4,""
194,2012Q1,S08000032,"",S08000032,Lung,"",32,"",32,""
195,2012Q1,S08000032,"",S08000032,Lymphoma,"",4,"",4,""
196,2012Q1,S08000032,"",S08000032,Melanoma,"",13,"",13,""
197,2012Q1,S08000032,"",S08000032,Ovarian,"",2,"",2,""
198,2012Q1,S08000032,"",S08000032,Upper GI,"",23,"",22,""
199,2012Q1,S08000032,"",S08000032,Urological,"",41,"",38,""
200,2012Q1,S08000032,"",SB0801,Lung,"",9,"",9,""
201,2012Q2,S08000015,"",S08000015,Breast,"",70,"",70,""
202,2012Q2,S08000015,"",S08000015,Cervical,"",3,"",3,""
203,2012Q2,S08000015,"",S08000015,Colorectal,"",32,"",30,""
204,2012Q2,S08000015,"",S08000015,Head & Neck,"",4,"",4,""
205,2012Q2,S08000015,"",S08000015,Lung,"",41,"",40,""
206,2012Q2,S08000015,"",S08000015,Lymphoma,"",5,"",5,""
207,2012Q2,S08000015,"",S08000015,Ovarian,"",7,"",7,""
208,2012Q2,S08000015,"",S08000015,Upper GI,"",22,"",21,""
209,2012Q2,S08000015,"",S08000015,Urological,"",19,"",17,""
210,2012Q2,S08000015,"",S08000031,Cervical,"",1,"",1,""
211,2012Q2,S08000015,"",S08000031,Colorectal,"",3,"",2,""
212,2012Q2,S08000015,"",S08000031,Head & Neck,"",1,"",0,""
213,2012Q2,S08000015,"",S08000031,Lung,"",9,"",9,""
214,2012Q2,S08000015,"",S08000031,Upper GI,"",8,"",6,""
215,2012Q2,S08000015,"",SB0801,Lung,"",2,"",2,""
216,2012Q2,S08000016,"",S08000016,Breast,"",10,"",10,""
217,2012Q2,S08000016,"",S08000016,Cervical,"",1,"",1,""
218,2012Q2,S08000016,"",S08000016,Colorectal,"",12,"",12,""
219,2012Q2,S08000016,"",S08000016,Head & Neck,"",1,"",1,""
220,2012Q2,S08000016,"",S08000016,Lung,"",8,"",8,""
221,2012Q2,S08000016,"",S08000016,Lymphoma,"",3,"",3,""
222,2012Q2,S08000016,"",S08000016,Melanoma,"",6,"",6,""
223,2012Q2,S08000016,"",S08000016,Ovarian,"",3,"",3,""
224,2012Q2,S08000016,"",S08000016,Upper GI,"",7,"",7,""
225,2012Q2,S08000016,"",S08000016,Urological,"",15,"",15,""
226,2012Q2,S08000016,"",S08000024,Head & Neck,"",2,"",1,""
227,2012Q2,S08000016,"",S08000024,Ovarian,"",1,"",1,""
228,2012Q2,S08000016,"",S08000024,Upper GI,"",2,"",2,""
229,2012Q2,S08000016,"",S08000024,Urological,"",3,"",3,""
230,2012Q2,S08000017,"",S08000017,Breast,"",11,"",11,""
231,2012Q2,S08000017,"",S08000017,Colorectal,"",18,"",18,""
232,2012Q2,S08000017,"",S08000017,Head & Neck,"",1,"",1,""
233,2012Q2,S08000017,"",S08000017,Lung,"",19,"",19,""
234,2012Q2,S08000017,"",S08000017,Lymphoma,"",3,"",3,""
235,2012Q2,S08000017,"",S08000017,Melanoma,"",3,"",3,""
236,2012Q2,S08000017,"",S08000017,Ovarian,"",1,"",1,""
237,2012Q2,S08000017,"",S08000017,Upper GI,"",6,"",6,""
238,2012Q2,S08000017,"",S08000017,Urological,"",10,"",9,""
239,2012Q2,S08000017,"",S08000024,Cervical,"",1,"",0,""
240,2012Q2,S08000017,"",S08000024,Colorectal,"",1,"",1,""
241,2012Q2,S08000017,"",S08000024,Head & Neck,"",2,"",2,""
242,2012Q2,S08000017,"",S08000024,Lung,"",6,"",6,""
243,2012Q2,S08000017,"",S08000024,Urological,"",4,"",2,""
244,2012Q2,S08000017,"",S08000031,Head & Neck,"",1,"",1,""
245,2012Q2,S08000017,"",SB0801,Lung,"",1,"",1,""
246,2012Q2,S08000019,"",S08000019,Breast,"",46,"",43,""
247,2012Q2,S08000019,"",S08000019,Cervical,"",1,"",1,""
248,2012Q2,S08000019,"",S08000019,Colorectal,"",35,"",32,""
249,2012Q2,S08000019,"",S08000019,Head & Neck,"",4,"",4,""
250,2012Q2,S08000019,"",S08000019,Lung,"",20,"",20,""
251,2012Q2,S08000019,"",S08000019,Lymphoma,"",5,"",5,""
252,2012Q2,S08000019,"",S08000019,Melanoma,"",6,"",5,""
253,2012Q2,S08000019,"",S08000019,Ovarian,"",1,"",1,""
254,2012Q2,S08000019,"",S08000019,Upper GI,"",17,"",17,""
255,2012Q2,S08000019,"",S08000019,Urological,"",32,"",29,""
256,2012Q2,S08000019,"",S08000031,Breast,"",1,"",1,""
257,2012Q2,S08000019,"",S08000031,Colorectal,"",3,"",2,""
258,2012Q2,S08000019,"",S08000031,Head & Neck,"",7,"",6,""
259,2012Q2,S08000019,"",S08000031,Lung,"",9,"",8,""
260,2012Q2,S08000019,"",S08000031,Ovarian,"",3,"",3,""
261,2012Q2,S08000019,"",S08000031,Upper GI,"",4,"",2,""
262,2012Q2,S08000019,"",S08000031,Urological,"",3,"",2,""
263,2012Q2,S08000019,"",SB0801,Lung,"",6,"",6,""
264,2012Q2,S08000020,"",S08000020,Breast,"",79,"",79,""
265,2012Q2,S08000020,"",S08000020,Cervical,"",7,"",7,""
266,2012Q2,S08000020,"",S08000020,Colorectal,"",71,"",62,""
267,2012Q2,S08000020,"",S08000020,Head & Neck,"",7,"",6,""
268,2012Q2,S08000020,"",S08000020,Lung,"",54,"",54,""
269,2012Q2,S08000020,"",S08000020,Lymphoma,"",18,"",14,""
270,2012Q2,S08000020,"",S08000020,Melanoma,"",9,"",9,""
271,2012Q2,S08000020,"",S08000020,Ovarian,"",7,"",6,""
272,2012Q2,S08000020,"",S08000020,Upper GI,"",30,"",30,""
273,2012Q2,S08000020,"",S08000020,Urological,"",39,"",39,""
274,2012Q2,S08000020,"",S08000024,Urological,"",1,"",0,""
275,2012Q2,S08000020,"",S08000025,Breast,"",1,"",1,""
276,2012Q2,S08000022,"",S08000020,Lung,"",2,"",2,""
277,2012Q2,S08000022,"",S08000022,Breast,"",41,"",41,""
278,2012Q2,S08000022,"",S08000022,Cervical,"",2,"",2,""
279,2012Q2,S08000022,"",S08000022,Colorectal,"",27,"",25,""
280,2012Q2,S08000022,"",S08000022,Head & Neck,"",4,"",4,""
281,2012Q2,S08000022,"",S08000022,Lung,"",33,"",33,""
282,2012Q2,S08000022,"",S08000022,Lymphoma,"",8,"",8,""
283,2012Q2,S08000022,"",S08000022,Melanoma,"",3,"",3,""
284,2012Q2,S08000022,"",S08000022,Ovarian,"",4,"",4,""
285,2012Q2,S08000022,"",S08000022,Upper GI,"",14,"",14,""
286,2012Q2,S08000022,"",S08000022,Urological,"",17,"",15,""
287,2012Q2,S08000022,"",S08000024,Lung,"",1,"",1,""
288,2012Q2,S08000022,"",S08000031,Colorectal,"",1,"",1,""
289,2012Q2,S08000022,"",S08000031,Head & Neck,"",1,"",1,""
290,2012Q2,S08000022,"",S08000031,Lung,"",1,"",1,""
291,2012Q2,S08000022,"",S08000031,Ovarian,"",1,"",1,""
292,2012Q2,S08000022,"",SB0801,Lung,"",1,"",0,""
293,2012Q2,S08000024,"",S08000016,Breast,"",1,"",1,""
294,2012Q2,S08000024,"",S08000019,Breast,"",4,"",4,""
295,2012Q2,S08000024,"",S08000024,Breast,"",160,"",160,""
296,2012Q2,S08000024,"",S08000024,Cervical,"",2,"",1,""
297,2012Q2,S08000024,"",S08000024,Colorectal,"",102,"",88,""
298,2012Q2,S08000024,"",S08000024,Head & Neck,"",22,"",20,""
299,2012Q2,S08000024,"",S08000024,Lung,"",88,"",80,""
300,2012Q2,S08000024,"",S08000024,Lymphoma,"",19,"",19,""
301,2012Q2,S08000024,"",S08000024,Melanoma,"",25,"",25,""
302,2012Q2,S08000024,"",S08000024,Ovarian,"",19,"",19,""
303,2012Q2,S08000024,"",S08000024,Upper GI,"",56,"",55,""
304,2012Q2,S08000024,"",S08000024,Urological,"",66,"",56,""
305,2012Q2,S08000024,"",S08000029,Breast,"",1,"",1,""
306,2012Q2,S08000025,"",S08000020,Breast,"",1,"",1,""
307,2012Q2,S08000025,"",S08000020,Colorectal,"",1,"",0,""
308,2012Q2,S08000025,"",S08000020,Lymphoma,"",2,"",2,""
309,2012Q2,S08000025,"",S08000025,Upper GI,"",2,"",2,""
310,2012Q2,S08000026,"",S08000020,Ovarian,"",1,"",1,""
311,2012Q2,S08000026,"",S08000020,Urological,"",1,"",1,""
312,2012Q2,S08000026,"",S08000026,Breast,"",1,"",1,""
313,2012Q2,S08000026,"",S08000026,Lymphoma,"",1,"",1,""
314,2012Q2,S08000026,"",S08000026,Melanoma,"",1,"",1,""
315,2012Q2,S08000026,"",S08000026,Urological,"",3,"",3,""
316,2012Q2,S08000028,"",S08000022,Colorectal,"",2,"",2,""
317,2012Q2,S08000028,"",S08000022,Lung,"",1,"",1,""
318,2012Q2,S08000028,"",S08000022,Upper GI,"",3,"",3,""
319,2012Q2,S08000028,"",S08000022,Urological,"",3,"",3,""
320,2012Q2,S08000028,"",S08000028,Colorectal,"",4,"",4,""
321,2012Q2,S08000028,"",S08000028,Head & Neck,"",1,"",1,""
322,2012Q2,S08000028,"",S08000028,Lung,"",1,"",1,""
323,2012Q2,S08000028,"",S08000028,Ovarian,"",1,"",1,""
324,2012Q2,S08000028,"",S08000031,Colorectal,"",1,"",1,""
325,2012Q2,S08000028,"",S08000031,Lung,"",1,"",1,""
326,2012Q2,S08000029,"",S08000019,Urological,"",1,"",1,""
327,2012Q2,S08000029,"",S08000024,Cervical,"",1,"",1,""
328,2012Q2,S08000029,"",S08000024,Colorectal,"",1,"",1,""
329,2012Q2,S08000029,"",S08000024,Head & Neck,"",7,"",6,""
330,2012Q2,S08000029,"",S08000024,Lung,"",15,"",11,""
331,2012Q2,S08000029,"",S08000024,Ovarian,"",2,"",2,""
332,2012Q2,S08000029,"",S08000024,Upper GI,"",8,"",8,""
333,2012Q2,S08000029,"",S08000024,Urological,"",3,"",2,""
334,2012Q2,S08000029,"",S08000029,Breast,"",22,"",22,""
335,2012Q2,S08000029,"",S08000029,Colorectal,"",25,"",20,""
336,2012Q2,S08000029,"",S08000029,Head & Neck,"",1,"",1,""
337,2012Q2,S08000029,"",S08000029,Lung,"",29,"",28,""
338,2012Q2,S08000029,"",S08000029,Lymphoma,"",3,"",3,""
339,2012Q2,S08000029,"",S08000029,Melanoma,"",3,"",3,""
340,2012Q2,S08000029,"",S08000029,Ovarian,"",2,"",2,""
341,2012Q2,S08000029,"",S08000029,Upper GI,"",15,"",15,""
342,2012Q2,S08000029,"",S08000029,Urological,"",25,"",23,""
343,2012Q2,S08000029,"",S08000030,Lung,"",1,"",1,""
344,2012Q2,S08000030,"",S08000024,Lung,"",4,"",2,""
345,2012Q2,S08000030,"",S08000030,Breast,"",69,"",69,""
346,2012Q2,S08000030,"",S08000030,Cervical,"",2,"",2,""
347,2012Q2,S08000030,"",S08000030,Colorectal,"",29,"",25,""
348,2012Q2,S08000030,"",S08000030,Head & Neck,"",7,"",7,""
349,2012Q2,S08000030,"",S08000030,Lung,"",44,"",44,""
350,2012Q2,S08000030,"",S08000030,Lymphoma,"",1,"",1,""
351,2012Q2,S08000030,"",S08000030,Melanoma,"",7,"",7,""
352,2012Q2,S08000030,"",S08000030,Ovarian,"",4,"",4,""
353,2012Q2,S08000030,"",S08000030,Upper GI,"",28,"",28,""
354,2012Q2,S08000030,"",S08000030,Urological,"",29,"",26,""
355,2012Q2,S08000031,"",S08000022,Colorectal,"",2,"",2,""
356,2012Q2,S08000031,"",S08000024,Upper GI,"",3,"",2,""
357,2012Q2,S08000031,"",S08000031,Breast,"",227,"",226,""
358,2012Q2,S08000031,"",S08000031,Cervical,"",1,"",1,""
359,2012Q2,S08000031,"",S08000031,Colorectal,"",101,"",91,""
360,2012Q2,S08000031,"",S08000031,Head & Neck,"",36,"",36,""
361,2012Q2,S08000031,"",S08000031,Lung,"",145,"",142,""
362,2012Q2,S08000031,"",S08000031,Lymphoma,"",16,"",16,""
363,2012Q2,S08000031,"",S08000031,Melanoma,"",41,"",40,""
364,2012Q2,S08000031,"",S08000031,Ovarian,"",5,"",5,""
365,2012Q2,S08000031,"",S08000031,Upper GI,"",67,"",65,""
366,2012Q2,S08000031,"",S08000031,Urological,"",105,"",99,""
367,2012Q2,S08000031,"",S08000032,Breast,"",8,"",8,""
368,2012Q2,S08000031,"",SB0801,Lung,"",19,"",15,""
369,2012Q2,S08000031,"",SB0801,Urological,"",1,"",1,""
370,2012Q2,S08000032,"",S08000031,Cervical,"",3,"",3,""
371,2012Q2,S08000032,"",S08000031,Colorectal,"",5,"",4,""
372,2012Q2,S08000032,"",S08000031,Head & Neck,"",4,"",4,""
373,2012Q2,S08000032,"",S08000031,Lung,"",16,"",16,""
374,2012Q2,S08000032,"",S08000031,Melanoma,"",5,"",4,""
375,2012Q2,S08000032,"",S08000031,Ovarian,"",3,"",3,""
376,2012Q2,S08000032,"",S08000031,Upper GI,"",6,"",6,""
377,2012Q2,S08000032,"",S08000031,Urological,"",1,"",1,""
378,2012Q2,S08000032,"",S08000032,Breast,"",58,"",58,""
379,2012Q2,S08000032,"",S08000032,Cervical,"",1,"",1,""
380,2012Q2,S08000032,"",S08000032,Colorectal,"",48,"",44,""
381,2012Q2,S08000032,"",S08000032,Head & Neck,"",10,"",10,""
382,2012Q2,S08000032,"",S08000032,Lung,"",50,"",50,""
383,2012Q2,S08000032,"",S08000032,Lymphoma,"",8,"",8,""
384,2012Q2,S08000032,"",S08000032,Melanoma,"",10,"",10,""
385,2012Q2,S08000032,"",S08000032,Ovarian,"",1,"",1,""
386,2012Q2,S08000032,"",S08000032,Upper GI,"",24,"",24,""
387,2012Q2,S08000032,"",S08000032,Urological,"",31,"",29,""
388,2012Q2,S08000032,"",SB0801,Lung,"",8,"",8,""
389,2012Q3,S08000015,"",S08000015,Breast,"",79,"",79,""
