_id,MonthOfDelay,HBT,HBTQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
169,201607,S08000030,"",18plus,d,Code 9 AWI,"",556,18
170,201607,S08000030,"",18plus,d,Code 9 Non-AWI,"",420,14
171,201607,S08000030,"",18-74,"",All Delay Reasons,d,813,26
172,201607,S08000030,"",18-74,"",Health and Social Care Reasons,"",318,10
173,201607,S08000030,"",18-74,"",Patient and Family Related Reasons,"",32,1
174,201607,S08000030,"",18-74,"",Code 9 AWI,"",77,2
175,201607,S08000030,"",18-74,"",Code 9 Non-AWI,"",386,12
176,201607,S08000030,"",75plus,"",All Delay Reasons,d,1886,61
177,201607,S08000030,"",75plus,"",Health and Social Care Reasons,"",1274,41
178,201607,S08000030,"",75plus,"",Patient and Family Related Reasons,"",99,3
179,201607,S08000030,"",75plus,"",Code 9 AWI,"",479,15
180,201607,S08000030,"",75plus,"",Code 9 Non-AWI,"",34,1
181,201607,S08000031,"",18plus,d,All Delay Reasons,d,4421,143
182,201607,S08000031,"",18plus,d,Health and Social Care Reasons,"",2937,95
183,201607,S08000031,"",18plus,d,Patient and Family Related Reasons,"",128,4
184,201607,S08000031,"",18plus,d,Code 9 AWI,"",746,24
185,201607,S08000031,"",18plus,d,Code 9 Non-AWI,"",610,20
186,201607,S08000031,"",18-74,"",All Delay Reasons,d,2152,69
187,201607,S08000031,"",18-74,"",Health and Social Care Reasons,"",1070,35
188,201607,S08000031,"",18-74,"",Patient and Family Related Reasons,"",38,1
189,201607,S08000031,"",18-74,"",Code 9 AWI,"",465,15
190,201607,S08000031,"",18-74,"",Code 9 Non-AWI,"",579,19
191,201607,S08000031,"",75plus,"",All Delay Reasons,d,2269,73
192,201607,S08000031,"",75plus,"",Health and Social Care Reasons,"",1867,60
193,201607,S08000031,"",75plus,"",Patient and Family Related Reasons,"",90,3
194,201607,S08000031,"",75plus,"",Code 9 AWI,"",281,9
195,201607,S08000031,"",75plus,"",Code 9 Non-AWI,"",31,1
196,201607,S08000032,"",18plus,d,All Delay Reasons,d,6389,206
197,201607,S08000032,"",18plus,d,Health and Social Care Reasons,"",5100,165
198,201607,S08000032,"",18plus,d,Patient and Family Related Reasons,"",608,20
199,201607,S08000032,"",18plus,d,Code 9 AWI,"",544,18
200,201607,S08000032,"",18plus,d,Code 9 Non-AWI,"",137,4
201,201607,S08000032,"",18-74,"",All Delay Reasons,d,1635,53
202,201607,S08000032,"",18-74,"",Health and Social Care Reasons,"",1317,42
203,201607,S08000032,"",18-74,"",Patient and Family Related Reasons,"",0,0
204,201607,S08000032,"",18-74,"",Code 9 AWI,"",237,8
205,201607,S08000032,"",18-74,"",Code 9 Non-AWI,"",81,3
206,201607,S08000032,"",75plus,"",All Delay Reasons,d,4754,153
207,201607,S08000032,"",75plus,"",Health and Social Care Reasons,"",3783,122
208,201607,S08000032,"",75plus,"",Patient and Family Related Reasons,"",608,20
209,201607,S08000032,"",75plus,"",Code 9 AWI,"",307,10
210,201607,S08000032,"",75plus,"",Code 9 Non-AWI,"",56,2
211,201607,S92000003,d,18plus,d,All Delay Reasons,d,43919,1417
212,201607,S92000003,d,18plus,d,Health and Social Care Reasons,"",32713,1055
213,201607,S92000003,d,18plus,d,Patient and Family Related Reasons,"",1877,61
214,201607,S92000003,d,18plus,d,Code 9 AWI,"",5990,193
215,201607,S92000003,d,18plus,d,Code 9 Non-AWI,"",3339,108
216,201607,S92000003,d,18-74,"",All Delay Reasons,d,13145,424
217,201607,S92000003,d,18-74,"",Health and Social Care Reasons,"",9114,294
218,201607,S92000003,d,18-74,"",Patient and Family Related Reasons,"",214,7
219,201607,S92000003,d,18-74,"",Code 9 AWI,"",1761,57
220,201607,S92000003,d,18-74,"",Code 9 Non-AWI,"",2056,66
221,201607,S92000003,d,75plus,"",All Delay Reasons,d,30774,993
222,201607,S92000003,d,75plus,"",Health and Social Care Reasons,"",23599,761
223,201607,S92000003,d,75plus,"",Patient and Family Related Reasons,"",1663,54
224,201607,S92000003,d,75plus,"",Code 9 AWI,"",4229,136
225,201607,S92000003,d,75plus,"",Code 9 Non-AWI,"",1283,41
226,201608,S08000015,"",18plus,d,All Delay Reasons,d,2904,94
227,201608,S08000015,"",18plus,d,Health and Social Care Reasons,"",2186,71
228,201608,S08000015,"",18plus,d,Patient and Family Related Reasons,"",44,1
229,201608,S08000015,"",18plus,d,Code 9 AWI,"",450,15
230,201608,S08000015,"",18plus,d,Code 9 Non-AWI,"",224,7
231,201608,S08000015,"",18-74,"",All Delay Reasons,d,409,13
232,201608,S08000015,"",18-74,"",Health and Social Care Reasons,"",262,8
233,201608,S08000015,"",18-74,"",Patient and Family Related Reasons,"",0,0
234,201608,S08000015,"",18-74,"",Code 9 AWI,"",93,3
235,201608,S08000015,"",18-74,"",Code 9 Non-AWI,"",54,2
236,201608,S08000015,"",75plus,"",All Delay Reasons,d,2495,80
237,201608,S08000015,"",75plus,"",Health and Social Care Reasons,"",1924,62
238,201608,S08000015,"",75plus,"",Patient and Family Related Reasons,"",44,1
239,201608,S08000015,"",75plus,"",Code 9 AWI,"",357,12
240,201608,S08000015,"",75plus,"",Code 9 Non-AWI,"",170,5
241,201608,S08000016,"",18plus,d,All Delay Reasons,d,936,30
242,201608,S08000016,"",18plus,d,Health and Social Care Reasons,"",683,22
243,201608,S08000016,"",18plus,d,Patient and Family Related Reasons,"",75,2
244,201608,S08000016,"",18plus,d,Code 9 AWI,"",90,3
245,201608,S08000016,"",18plus,d,Code 9 Non-AWI,"",88,3
246,201608,S08000016,"",18-74,"",All Delay Reasons,d,280,9
247,201608,S08000016,"",18-74,"",Health and Social Care Reasons,"",171,6
248,201608,S08000016,"",18-74,"",Patient and Family Related Reasons,"",42,1
249,201608,S08000016,"",18-74,"",Code 9 AWI,"",0,0
250,201608,S08000016,"",18-74,"",Code 9 Non-AWI,"",67,2
251,201608,S08000016,"",75plus,"",All Delay Reasons,d,656,21
252,201608,S08000016,"",75plus,"",Health and Social Care Reasons,"",512,17
253,201608,S08000016,"",75plus,"",Patient and Family Related Reasons,"",33,1
254,201608,S08000016,"",75plus,"",Code 9 AWI,"",90,3
255,201608,S08000016,"",75plus,"",Code 9 Non-AWI,"",21,1
256,201608,S08000017,"",18plus,d,All Delay Reasons,d,929,30
257,201608,S08000017,"",18plus,d,Health and Social Care Reasons,"",665,21
258,201608,S08000017,"",18plus,d,Patient and Family Related Reasons,"",13,0
259,201608,S08000017,"",18plus,d,Code 9 AWI,"",251,8
260,201608,S08000017,"",18plus,d,Code 9 Non-AWI,"",0,0
261,201608,S08000017,"",18-74,"",All Delay Reasons,d,204,7
262,201608,S08000017,"",18-74,"",Health and Social Care Reasons,"",154,5
263,201608,S08000017,"",18-74,"",Patient and Family Related Reasons,"",13,0
264,201608,S08000017,"",18-74,"",Code 9 AWI,"",37,1
265,201608,S08000017,"",18-74,"",Code 9 Non-AWI,"",0,0
266,201608,S08000017,"",75plus,"",All Delay Reasons,d,725,23
267,201608,S08000017,"",75plus,"",Health and Social Care Reasons,"",511,16
268,201608,S08000017,"",75plus,"",Patient and Family Related Reasons,"",0,0
269,201608,S08000017,"",75plus,"",Code 9 AWI,"",214,7
270,201608,S08000017,"",75plus,"",Code 9 Non-AWI,"",0,0
271,201608,S08000019,"",18plus,d,All Delay Reasons,d,2985,96
272,201608,S08000019,"",18plus,d,Health and Social Care Reasons,"",2186,71
273,201608,S08000019,"",18plus,d,Patient and Family Related Reasons,"",125,4
274,201608,S08000019,"",18plus,d,Code 9 AWI,"",377,12
275,201608,S08000019,"",18plus,d,Code 9 Non-AWI,"",297,10
276,201608,S08000019,"",18-74,"",All Delay Reasons,d,1030,33
277,201608,S08000019,"",18-74,"",Health and Social Care Reasons,"",664,21
278,201608,S08000019,"",18-74,"",Patient and Family Related Reasons,"",31,1
279,201608,S08000019,"",18-74,"",Code 9 AWI,"",50,2
280,201608,S08000019,"",18-74,"",Code 9 Non-AWI,"",285,9
281,201608,S08000019,"",75plus,"",All Delay Reasons,d,1955,63
282,201608,S08000019,"",75plus,"",Health and Social Care Reasons,"",1522,49
283,201608,S08000019,"",75plus,"",Patient and Family Related Reasons,"",94,3
284,201608,S08000019,"",75plus,"",Code 9 AWI,"",327,11
285,201608,S08000019,"",75plus,"",Code 9 Non-AWI,"",12,0
286,201608,S08000020,"",18plus,d,All Delay Reasons,d,4965,160
287,201608,S08000020,"",18plus,d,Health and Social Care Reasons,"",3815,123
288,201608,S08000020,"",18plus,d,Patient and Family Related Reasons,"",227,7
289,201608,S08000020,"",18plus,d,Code 9 AWI,"",675,22
290,201608,S08000020,"",18plus,d,Code 9 Non-AWI,"",248,8
291,201608,S08000020,"",18-74,"",All Delay Reasons,d,1554,50
292,201608,S08000020,"",18-74,"",Health and Social Care Reasons,"",1142,37
293,201608,S08000020,"",18-74,"",Patient and Family Related Reasons,"",53,2
294,201608,S08000020,"",18-74,"",Code 9 AWI,"",173,6
295,201608,S08000020,"",18-74,"",Code 9 Non-AWI,"",186,6
296,201608,S08000020,"",75plus,"",All Delay Reasons,d,3411,110
297,201608,S08000020,"",75plus,"",Health and Social Care Reasons,"",2673,86
298,201608,S08000020,"",75plus,"",Patient and Family Related Reasons,"",174,6
299,201608,S08000020,"",75plus,"",Code 9 AWI,"",502,16
300,201608,S08000020,"",75plus,"",Code 9 Non-AWI,"",62,2
301,201608,S08000022,"",18plus,d,All Delay Reasons,d,4277,138
302,201608,S08000022,"",18plus,d,Health and Social Care Reasons,"",2365,76
303,201608,S08000022,"",18plus,d,Patient and Family Related Reasons,"",485,16
304,201608,S08000022,"",18plus,d,Code 9 AWI,"",588,19
305,201608,S08000022,"",18plus,d,Code 9 Non-AWI,"",839,27
306,201608,S08000022,"",18-74,"",All Delay Reasons,d,861,28
307,201608,S08000022,"",18-74,"",Health and Social Care Reasons,"",344,11
308,201608,S08000022,"",18-74,"",Patient and Family Related Reasons,"",88,3
309,201608,S08000022,"",18-74,"",Code 9 AWI,"",84,3
310,201608,S08000022,"",18-74,"",Code 9 Non-AWI,"",345,11
311,201608,S08000022,"",75plus,"",All Delay Reasons,d,3416,110
312,201608,S08000022,"",75plus,"",Health and Social Care Reasons,"",2021,65
313,201608,S08000022,"",75plus,"",Patient and Family Related Reasons,"",397,13
314,201608,S08000022,"",75plus,"",Code 9 AWI,"",504,16
315,201608,S08000022,"",75plus,"",Code 9 Non-AWI,"",494,16
316,201608,S08000024,"",18plus,d,All Delay Reasons,d,9608,310
317,201608,S08000024,"",18plus,d,Health and Social Care Reasons,"",8311,268
318,201608,S08000024,"",18plus,d,Patient and Family Related Reasons,"",152,5
319,201608,S08000024,"",18plus,d,Code 9 AWI,"",927,30
320,201608,S08000024,"",18plus,d,Code 9 Non-AWI,"",218,7
321,201608,S08000024,"",18-74,"",All Delay Reasons,d,2992,97
322,201608,S08000024,"",18-74,"",Health and Social Care Reasons,"",2584,83
323,201608,S08000024,"",18-74,"",Patient and Family Related Reasons,"",27,1
324,201608,S08000024,"",18-74,"",Code 9 AWI,"",257,8
325,201608,S08000024,"",18-74,"",Code 9 Non-AWI,"",124,4
326,201608,S08000024,"",75plus,"",All Delay Reasons,d,6616,213
327,201608,S08000024,"",75plus,"",Health and Social Care Reasons,"",5727,185
328,201608,S08000024,"",75plus,"",Patient and Family Related Reasons,"",125,4
329,201608,S08000024,"",75plus,"",Code 9 AWI,"",670,22
330,201608,S08000024,"",75plus,"",Code 9 Non-AWI,"",94,3
331,201608,S08000025,"",18plus,d,All Delay Reasons,d,143,5
332,201608,S08000025,"",18plus,d,Health and Social Care Reasons,"",58,2
333,201608,S08000025,"",18plus,d,Patient and Family Related Reasons,"",0,0
334,201608,S08000025,"",18plus,d,Code 9 AWI,"",85,3
335,201608,S08000025,"",18plus,d,Code 9 Non-AWI,"",0,0
336,201608,S08000025,"",18-74,"",All Delay Reasons,d,39,1
337,201608,S08000025,"",18-74,"",Health and Social Care Reasons,"",22,1
338,201608,S08000025,"",18-74,"",Patient and Family Related Reasons,"",0,0
339,201608,S08000025,"",18-74,"",Code 9 AWI,"",17,1
340,201608,S08000025,"",18-74,"",Code 9 Non-AWI,"",0,0
341,201608,S08000025,"",75plus,"",All Delay Reasons,d,104,3
342,201608,S08000025,"",75plus,"",Health and Social Care Reasons,"",36,1
343,201608,S08000025,"",75plus,"",Patient and Family Related Reasons,"",0,0
344,201608,S08000025,"",75plus,"",Code 9 AWI,"",68,2
345,201608,S08000025,"",75plus,"",Code 9 Non-AWI,"",0,0
346,201608,S08000026,"",18plus,d,All Delay Reasons,d,253,8
347,201608,S08000026,"",18plus,d,Health and Social Care Reasons,"",253,8
348,201608,S08000026,"",18plus,d,Patient and Family Related Reasons,"",0,0
349,201608,S08000026,"",18plus,d,Code 9 AWI,"",0,0
350,201608,S08000026,"",18plus,d,Code 9 Non-AWI,"",0,0
351,201608,S08000026,"",18-74,"",All Delay Reasons,d,46,1
352,201608,S08000026,"",18-74,"",Health and Social Care Reasons,"",46,1
353,201608,S08000026,"",18-74,"",Patient and Family Related Reasons,"",0,0
354,201608,S08000026,"",18-74,"",Code 9 AWI,"",0,0
355,201608,S08000026,"",18-74,"",Code 9 Non-AWI,"",0,0
356,201608,S08000026,"",75plus,"",All Delay Reasons,d,207,7
357,201608,S08000026,"",75plus,"",Health and Social Care Reasons,"",207,7
358,201608,S08000026,"",75plus,"",Patient and Family Related Reasons,"",0,0
359,201608,S08000026,"",75plus,"",Code 9 AWI,"",0,0
360,201608,S08000026,"",75plus,"",Code 9 Non-AWI,"",0,0
361,201608,S08000028,"",18plus,d,All Delay Reasons,d,891,29
362,201608,S08000028,"",18plus,d,Health and Social Care Reasons,"",270,9
363,201608,S08000028,"",18plus,d,Patient and Family Related Reasons,"",0,0
364,201608,S08000028,"",18plus,d,Code 9 AWI,"",120,4
365,201608,S08000028,"",18plus,d,Code 9 Non-AWI,"",501,16
366,201608,S08000028,"",18-74,"",All Delay Reasons,d,179,6
367,201608,S08000028,"",18-74,"",Health and Social Care Reasons,"",121,4
368,201608,S08000028,"",18-74,"",Patient and Family Related Reasons,"",0,0
369,201608,S08000028,"",18-74,"",Code 9 AWI,"",58,2
370,201608,S08000028,"",18-74,"",Code 9 Non-AWI,"",0,0
371,201608,S08000028,"",75plus,"",All Delay Reasons,d,712,23
372,201608,S08000028,"",75plus,"",Health and Social Care Reasons,"",149,5
373,201608,S08000028,"",75plus,"",Patient and Family Related Reasons,"",0,0
374,201608,S08000028,"",75plus,"",Code 9 AWI,"",62,2
375,201608,S08000028,"",75plus,"",Code 9 Non-AWI,"",501,16
376,201608,S08000029,"",18plus,d,All Delay Reasons,d,3823,123
377,201608,S08000029,"",18plus,d,Health and Social Care Reasons,"",2906,94
378,201608,S08000029,"",18plus,d,Patient and Family Related Reasons,"",62,2
379,201608,S08000029,"",18plus,d,Code 9 AWI,"",675,22
380,201608,S08000029,"",18plus,d,Code 9 Non-AWI,"",180,6
381,201608,S08000029,"",18-74,"",All Delay Reasons,d,1236,40
382,201608,S08000029,"",18-74,"",Health and Social Care Reasons,"",958,31
383,201608,S08000029,"",18-74,"",Patient and Family Related Reasons,"",31,1
384,201608,S08000029,"",18-74,"",Code 9 AWI,"",98,3
385,201608,S08000029,"",18-74,"",Code 9 Non-AWI,"",149,5
386,201608,S08000029,"",75plus,"",All Delay Reasons,d,2587,83
387,201608,S08000029,"",75plus,"",Health and Social Care Reasons,"",1948,63
388,201608,S08000029,"",75plus,"",Patient and Family Related Reasons,"",31,1
389,201608,S08000029,"",75plus,"",Code 9 AWI,"",577,19
390,201608,S08000029,"",75plus,"",Code 9 Non-AWI,"",31,1
391,201608,S08000030,"",18plus,d,All Delay Reasons,d,3145,101
392,201608,S08000030,"",18plus,d,Health and Social Care Reasons,"",2110,68
