id,mdate,year,month,iswinter,hb,hb_name,age_group,reason_for_delay,number_of_delayed_bed_days,avg_20182019,percent_var
16,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,All (18plus),All Delay Reasons,790,1008.9583333333334,-21.701424736733433
17,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,All (18plus),Health and Social Care Reasons,548,749.7916666666666,-26.913031397610446
18,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,All (18plus),Patient and Family Related Reasons,90,63.29166666666667,42.19881500987491
19,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,All (18plus),Code 9 AWI,75,163.125,-54.02298850574713
20,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,All (18plus),Code 9 Non-AWI,77,32.75,135.1145038167939
21,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,18-74,All Delay Reasons,165,298.7916666666667,-44.777576349184216
22,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,18-74,Health and Social Care Reasons,77,174.33333333333331,-55.831739961759084
23,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,18-74,Patient and Family Related Reasons,25,32.708333333333336,-23.566878980891726
24,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,18-74,Code 9 AWI,0,67.29166666666666,-100
25,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,18-74,Code 9 Non-AWI,63,24.458333333333336,157.58091993185687
26,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,75plus,All Delay Reasons,625,710.1666666666666,-11.992490025815531
27,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,75plus,Health and Social Care Reasons,471,575.4583333333334,-18.15219752371299
28,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,75plus,Patient and Family Related Reasons,65,30.583333333333336,112.53405994550407
29,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,75plus,Code 9 AWI,75,95.83333333333334,-21.739130434782616
30,2016-07-01,2016,7,FALSE,S08000016,NHS Borders,75plus,Code 9 Non-AWI,14,8.291666666666666,68.84422110552765
31,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,All (18plus),All Delay Reasons,1065,1421.7916666666665,-25.09451103361368
32,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,All (18plus),Health and Social Care Reasons,794,1153.625,-31.173474916025572
33,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,All (18plus),Patient and Family Related Reasons,0,38.91666666666667,-100
34,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,All (18plus),Code 9 AWI,271,175.58333333333334,54.342667299477924
35,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,All (18plus),Code 9 Non-AWI,0,53.66666666666667,-100
36,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,18-74,All Delay Reasons,273,441.20833333333337,-38.124468788365284
37,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,18-74,Health and Social Care Reasons,216,321.08333333333337,-32.727744614586044
38,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,18-74,Patient and Family Related Reasons,0,11.5,-100
39,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,18-74,Code 9 AWI,57,65.41666666666666,-12.866242038216548
40,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,18-74,Code 9 Non-AWI,0,43.20833333333333,-100
41,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,75plus,All Delay Reasons,792,980.5833333333333,-19.231749808787278
42,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,75plus,Health and Social Care Reasons,578,832.5416666666667,-30.57404534307593
43,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,75plus,Patient and Family Related Reasons,0,27.416666666666668,-100
44,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,75plus,Code 9 AWI,214,110.16666666666666,94.25113464447807
45,2016-07-01,2016,7,FALSE,S08000017,NHS Dumfries and Galloway,75plus,Code 9 Non-AWI,0,10.458333333333334,-100.00000000000001
46,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,All (18plus),All Delay Reasons,2472,2663.9166666666665,-7.204304438952664
47,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,All (18plus),Health and Social Care Reasons,1662,1752.625,-5.170815205762785
48,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,All (18plus),Patient and Family Related Reasons,179,169,5.9171597633136095
49,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,All (18plus),Code 9 AWI,415,514.2083333333334,-19.293412203225028
50,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,All (18plus),Code 9 Non-AWI,216,228.08333333333331,-5.297771282426006
51,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,18-74,All Delay Reasons,942,774,21.705426356589147
52,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,18-74,Health and Social Care Reasons,638,405.79166666666663,57.2235342437622
53,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,18-74,Patient and Family Related Reasons,31,19.791666666666664,56.63157894736844
54,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,18-74,Code 9 AWI,93,147.79166666666666,-37.0735833098393
55,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,18-74,Code 9 Non-AWI,180,200.625,-10.280373831775702
56,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,75plus,All Delay Reasons,1530,1889.9166666666667,-19.044049561268135
57,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,75plus,Health and Social Care Reasons,1024,1346.8333333333333,-23.969805717114212
58,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,75plus,Patient and Family Related Reasons,148,149.20833333333334,-0.8098296565205313
59,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,75plus,Code 9 AWI,322,366.4166666666667,-12.121901296338418
60,2016-07-01,2016,7,FALSE,S08000019,NHS Forth Valley,75plus,Code 9 Non-AWI,36,27.458333333333332,31.107738998482553
61,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,All (18plus),All Delay Reasons,5088,3568.2083333333335,42.59257096815628
62,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,All (18plus),Health and Social Care Reasons,4050,2892.7916666666665,40.00316879600156
63,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,All (18plus),Patient and Family Related Reasons,94,101.04166666666666,-6.969072164948445
64,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,All (18plus),Code 9 AWI,730,414.3333333333333,76.1866452131939
65,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,All (18plus),Code 9 Non-AWI,214,160.04166666666666,33.71517833897423
66,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,18-74,All Delay Reasons,1429,947.4166666666666,50.831207669979776
67,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,18-74,Health and Social Care Reasons,1045,647.5416666666666,61.37957660382216
68,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,18-74,Patient and Family Related Reasons,40,20.708333333333336,93.15895372233399
69,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,18-74,Code 9 AWI,200,153.5,30.293159609120522
70,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,18-74,Code 9 Non-AWI,144,125.66666666666667,14.588859416445619
71,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,75plus,All Delay Reasons,3659,2620.7916666666665,39.61430229415413
72,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,75plus,Health and Social Care Reasons,3005,2245.25,33.838102661173586
73,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,75plus,Patient and Family Related Reasons,54,80.33333333333333,-32.780082987551864
74,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,75plus,Code 9 AWI,530,260.8333333333333,103.19488817891374
75,2016-07-01,2016,7,FALSE,S08000020,NHS Grampian,75plus,Code 9 Non-AWI,70,34.375,103.63636363636364
76,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,All (18plus),All Delay Reasons,4299,3831.0416666666665,12.21491108815053
77,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,All (18plus),Health and Social Care Reasons,2562,2818.3333333333335,-9.09520993494974
78,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,All (18plus),Patient and Family Related Reasons,536,99.83333333333334,436.89482470784634
79,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,All (18plus),Code 9 AWI,475,600.6666666666667,-20.921198668146516
80,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,All (18plus),Code 9 Non-AWI,726,312.20833333333337,132.53703456559452
81,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,18-74,All Delay Reasons,996,1040.875,-4.311276570193347
82,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,18-74,Health and Social Care Reasons,629,665.1666666666666,-5.437233775995986
83,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,18-74,Patient and Family Related Reasons,17,18.333333333333336,-7.272727272727285
84,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,18-74,Code 9 AWI,31,173.29166666666669,-82.11108439528732
85,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,18-74,Code 9 Non-AWI,319,184.08333333333334,73.29108193752829
86,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,75plus,All Delay Reasons,3303,2790.1666666666665,18.38002508810705
87,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,75plus,Health and Social Care Reasons,1933,2153.1666666666665,-10.225249632324477
88,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,75plus,Patient and Family Related Reasons,519,81.5,536.8098159509202
89,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,75plus,Code 9 AWI,444,427.375,3.8900263234863997
90,2016-07-01,2016,7,FALSE,S08000022,NHS Highland,75plus,Code 9 Non-AWI,407,128.125,217.65853658536585
91,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,All (18plus),All Delay Reasons,9569,9461.625,1.13484734387592
92,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,All (18plus),Health and Social Care Reasons,8305,8265.083333333332,0.4829554047650403
93,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,All (18plus),Patient and Family Related Reasons,52,235.375,-77.90759426447158
94,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,All (18plus),Code 9 AWI,999,833.5416666666667,19.850037490627333
95,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,All (18plus),Code 9 Non-AWI,213,127.625,66.89520078354555
96,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,18-74,All Delay Reasons,2975,2761.1666666666665,7.744310979658364
97,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,18-74,Health and Social Care Reasons,2500,2309.75,8.23682216690118
98,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,18-74,Patient and Family Related Reasons,0,84.58333333333334,-100
99,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,18-74,Code 9 AWI,343,259.95833333333337,31.944221830421522
100,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,18-74,Code 9 Non-AWI,132,106.875,23.50877192982456
101,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,75plus,All Delay Reasons,6594,6700.458333333334,-1.5888216602098204
102,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,75plus,Health and Social Care Reasons,5805,5955.333333333334,-2.5243479234299886
103,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,75plus,Patient and Family Related Reasons,52,150.79166666666669,-65.51533572810169
104,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,75plus,Code 9 AWI,656,573.5833333333334,14.368734563417107
105,2016-07-01,2016,7,FALSE,S08000024,NHS Lothian,75plus,Code 9 Non-AWI,81,20.75,290.3614457831325
106,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,All (18plus),All Delay Reasons,192,24.5,683.6734693877551
107,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,All (18plus),Health and Social Care Reasons,96,15.166666666666666,532.967032967033
108,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,All (18plus),Patient and Family Related Reasons,0,0.33333333333333337,-100
109,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,All (18plus),Code 9 AWI,96,7.708333333333333,1145.4054054054056
110,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,All (18plus),Code 9 Non-AWI,0,1.2916666666666663,-100
111,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,18-74,All Delay Reasons,65,7.25,796.551724137931
112,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,18-74,Health and Social Care Reasons,34,2.25,1411.111111111111
113,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,18-74,Patient and Family Related Reasons,0,0,NA
114,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,18-74,Code 9 AWI,31,3.7083333333333335,735.9550561797753
115,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,18-74,Code 9 Non-AWI,0,1.2916666666666663,-100
116,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,75plus,All Delay Reasons,127,17.25,636.231884057971
117,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,75plus,Health and Social Care Reasons,62,12.916666666666666,380.00000000000006
118,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,75plus,Patient and Family Related Reasons,0,0.33333333333333337,-100
119,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,75plus,Code 9 AWI,65,4,1525
120,2016-07-01,2016,7,FALSE,S08000025,NHS Orkney,75plus,Code 9 Non-AWI,0,0,NA
121,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,All (18plus),All Delay Reasons,164,119.75,36.95198329853862
122,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,All (18plus),Health and Social Care Reasons,164,108.375,51.32641291810842
123,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,All (18plus),Patient and Family Related Reasons,0,7.666666666666666,-100
124,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,All (18plus),Code 9 AWI,0,0,NA
125,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,All (18plus),Code 9 Non-AWI,0,3.7083333333333326,-100
126,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,18-74,All Delay Reasons,34,30.541666666666664,11.323328785811743
127,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,18-74,Health and Social Care Reasons,34,26.083333333333336,30.3514376996805
128,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,18-74,Patient and Family Related Reasons,0,2.6666666666666665,-99.99999999999999
129,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,18-74,Code 9 AWI,0,0,NA
130,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,18-74,Code 9 Non-AWI,0,1.7916666666666665,-100
131,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,75plus,All Delay Reasons,130,89.20833333333333,45.726296123306874
132,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,75plus,Health and Social Care Reasons,130,82.29166666666667,57.974683544303794
133,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,75plus,Patient and Family Related Reasons,0,5,-100
134,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,75plus,Code 9 AWI,0,0,NA
135,2016-07-01,2016,7,FALSE,S08000026,NHS Shetland,75plus,Code 9 Non-AWI,0,1.9166666666666665,-100
136,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,All (18plus),All Delay Reasons,721,585.4583333333334,23.15137712618318
137,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,All (18plus),Health and Social Care Reasons,167,271.75,-38.546458141674336
138,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,All (18plus),Patient and Family Related Reasons,24,4.75,405.2631578947368
139,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,All (18plus),Code 9 AWI,62,26.875,130.69767441860466
140,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,All (18plus),Code 9 Non-AWI,468,282.0833333333333,65.90841949778435
141,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,18-74,All Delay Reasons,93,129.95833333333334,-28.438602116062846
142,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,18-74,Health and Social Care Reasons,62,64.95833333333333,-4.554201411160994
143,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,18-74,Patient and Family Related Reasons,0,1.0416666666666667,-100
144,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,18-74,Code 9 AWI,0,13.625,-100
145,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,18-74,Code 9 Non-AWI,31,50.33333333333333,-38.41059602649006
146,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,75plus,All Delay Reasons,628,455.5,37.87047200878156
147,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,75plus,Health and Social Care Reasons,105,206.79166666666666,-49.22425952045134
148,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,75plus,Patient and Family Related Reasons,24,3.7083333333333335,547.1910112359551
149,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,75plus,Code 9 AWI,62,13.25,367.92452830188677
150,2016-07-01,2016,7,FALSE,S08000028,NHS Western Isles,75plus,Code 9 Non-AWI,437,231.75,88.56526429341963
151,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,All (18plus),All Delay Reasons,3476,2818.541666666667,23.326188188336154
152,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,All (18plus),Health and Social Care Reasons,2760,1936.4583333333335,42.52824098977944
153,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,All (18plus),Patient and Family Related Reasons,35,20.916666666666664,67.33067729083668
154,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,All (18plus),Code 9 AWI,549,659.375,-16.739336492890995
155,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,All (18plus),Code 9 Non-AWI,132,201.79166666666669,-34.586000412967174
156,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,18-74,All Delay Reasons,1218,1174.75,3.6816343902958075
157,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,18-74,Health and Social Care Reasons,952,733.4166666666667,29.803431428246775
158,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,18-74,Patient and Family Related Reasons,31,10.833333333333332,186.1538461538462
159,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,18-74,Code 9 AWI,103,247.375,-58.36280949974735
160,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,18-74,Code 9 Non-AWI,132,183.125,-27.918088737201366
161,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,75plus,All Delay Reasons,2258,1643.7916666666665,37.36533928164053
162,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,75plus,Health and Social Care Reasons,1808,1203.0416666666665,50.285734076819196
163,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,75plus,Patient and Family Related Reasons,4,10.083333333333332,-60.33057851239669
164,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,75plus,Code 9 AWI,446,412,8.25242718446602
165,2016-07-01,2016,7,FALSE,S08000029,NHS Fife,75plus,Code 9 Non-AWI,0,18.666666666666668,-100
166,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,All (18plus),All Delay Reasons,2699,2495.6666666666665,8.147455589688802
167,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,All (18plus),Health and Social Care Reasons,1592,1718.125,-7.340851218624954
168,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,All (18plus),Patient and Family Related Reasons,131,91.79166666666666,42.71448025419883
169,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,All (18plus),Code 9 AWI,556,219.08333333333331,153.78470901483456
170,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,All (18plus),Code 9 Non-AWI,420,466.66666666666663,-9.999999999999991
171,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,18-74,All Delay Reasons,813,1015.3333333333334,-19.92777413000657
172,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,18-74,Health and Social Care Reasons,318,485.875,-34.55106766143555
173,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,18-74,Patient and Family Related Reasons,32,21.208333333333332,50.88408644400786
174,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,18-74,Code 9 AWI,77,72.70833333333334,5.902578796561591
175,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,18-74,Code 9 Non-AWI,386,435.54166666666663,-11.374724959341806
176,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,75plus,All Delay Reasons,1886,1480.3333333333333,27.40373789687008
177,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,75plus,Health and Social Care Reasons,1274,1232.25,3.3881111787380807
178,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,75plus,Patient and Family Related Reasons,99,70.58333333333333,40.25974025974027
179,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,75plus,Code 9 AWI,479,146.375,227.2416737830914
180,2016-07-01,2016,7,FALSE,S08000030,NHS Tayside,75plus,Code 9 Non-AWI,34,31.125,9.236947791164658
181,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,All (18plus),All Delay Reasons,4421,5816.375,-23.990457974253722
182,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,All (18plus),Health and Social Care Reasons,2937,3957.583333333333,-25.788044050451656
183,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,All (18plus),Patient and Family Related Reasons,128,269.375,-52.48259860788863
184,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,All (18plus),Code 9 AWI,746,1091.4166666666667,-31.648469115064522
185,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,All (18plus),Code 9 Non-AWI,610,498,22.48995983935743
186,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,18-74,All Delay Reasons,2152,2608.75,-17.508385241974125
187,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,18-74,Health and Social Care Reasons,1070,1537.0416666666667,-30.38575185014503
188,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,18-74,Patient and Family Related Reasons,38,100.70833333333334,-62.267273479520064
189,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,18-74,Code 9 AWI,465,483.625,-3.851124321530111
190,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,18-74,Code 9 Non-AWI,579,487.375,18.79969222877661
191,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,75plus,All Delay Reasons,2269,3207.625,-29.262304664666225
192,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,75plus,Health and Social Care Reasons,1867,2420.5416666666665,-22.868503950562026
193,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,75plus,Patient and Family Related Reasons,90,168.66666666666666,-46.640316205533594
194,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,75plus,Code 9 AWI,281,607.7916666666666,-53.7670528552821
195,2016-07-01,2016,7,FALSE,S08000031,NHS Greater Glasgow and Clyde,75plus,Code 9 Non-AWI,31,10.625,191.76470588235293
196,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,All (18plus),All Delay Reasons,6389,5911.916666666667,8.069858900807684
197,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,All (18plus),Health and Social Care Reasons,5100,5006.458333333333,1.8684199575548313
198,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,All (18plus),Patient and Family Related Reasons,608,90.16666666666666,574.3068391866914
199,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,All (18plus),Code 9 AWI,544,621.4583333333333,-12.463962453905454
200,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,All (18plus),Code 9 Non-AWI,137,193.83333333333331,-29.320722269991393
201,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,18-74,All Delay Reasons,1635,1864.1666666666665,-12.293249888243174
202,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,18-74,Health and Social Care Reasons,1317,1461.4166666666665,-9.881963847864506
203,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,18-74,Patient and Family Related Reasons,0,17.708333333333336,-100
204,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,18-74,Code 9 AWI,237,225.83333333333334,4.94464944649446
205,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,18-74,Code 9 Non-AWI,81,159.20833333333331,-49.12326616069091
206,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,75plus,All Delay Reasons,4754,4047.75,17.447964918782038
207,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,75plus,Health and Social Care Reasons,3783,3545.0416666666665,6.712426981347192
208,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,75plus,Patient and Family Related Reasons,608,72.45833333333334,739.1029327199539
209,2016-07-01,2016,7,FALSE,S08000032,NHS Lanarkshire,75plus,Code 9 AWI,307,395.625,-22.40126382306477
