date,hbt,hb_name,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,percent_meeting_target
2018-01-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,34,34,100
2018-01-01,S08000022,NHS Highland,H202H,Emergency Department,2763,2491,90.15562794064422
2018-01-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,332,332,100
2018-01-01,S08000022,NHS Highland,H210H,Minor Injury Unit or Other,42,42,100
2018-01-01,S08000022,NHS Highland,H212H,Emergency Department,663,633,95.47511312217195
2018-01-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,362,362,100
2018-01-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,187,185,98.93048128342245
2018-01-01,S08000022,NHS Highland,H217H,Minor Injury Unit or Other,51,51,100
2018-01-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,123,123,100
2018-01-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,334,320,95.80838323353294
2018-01-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,145,145,100
2018-01-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,69,69,100
2018-01-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5421,5032,92.82420217672016
2018-01-01,S08000032,NHS Lanarkshire,L206H,Minor Injury Unit or Other,56,56,100
2018-01-01,S08000032,NHS Lanarkshire,L207H,Minor Injury Unit or Other,55,55,100
2018-01-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,4992,3998,80.08814102564102
2018-01-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5622,4938,87.83351120597652
2018-01-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,118,118,100
2018-01-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,4029,2997,74.38570364854803
2018-01-01,S08000024,NHS Lothian,S308H,Emergency Department,4374,3665,83.79058070416096
2018-01-01,S08000024,NHS Lothian,S314H,Emergency Department,9587,6883,71.79513925106914
2018-01-01,S08000024,NHS Lothian,S319H,Emergency Department,3812,3715,97.45540398740819
2018-01-01,S08000025,NHS Orkney,R103H,Emergency Department,454,445,98.01762114537445
2018-01-01,S08000026,NHS Shetland,Z102H,Emergency Department,605,583,96.36363636363636
2018-01-01,S08000030,NHS Tayside,T101H,Emergency Department,3860,3663,94.89637305699482
2018-01-01,S08000030,NHS Tayside,T202H,Emergency Department,1835,1774,96.67574931880108
2018-01-01,S08000030,NHS Tayside,T205H,Minor Injury Unit or Other,29,29,100
2018-01-01,S08000030,NHS Tayside,T209H,Minor Injury Unit or Other,258,258,100
2018-01-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,1140,1139,99.91228070175438
2018-01-01,S08000030,NHS Tayside,T305H,Minor Injury Unit or Other,142,142,100
2018-01-01,S08000030,NHS Tayside,T316H,Minor Injury Unit or Other,76,76,100
2018-01-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,432,432,100
2018-01-01,S08000030,NHS Tayside,T320H,Minor Injury Unit or Other,130,130,100
2018-01-01,S08000030,NHS Tayside,T357C,Minor Injury Unit or Other,305,305,100
2018-01-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,40,40,100
2018-01-01,S08000028,NHS Western Isles,W107H,Emergency Department,540,532,98.51851851851852
2018-01-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,117,117,100
2018-02-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,179,179,100
2018-02-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,36,35,97.22222222222221
2018-02-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,5185,4802,92.61330761812921
2018-02-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,2649,2527,95.39448848622122
2018-02-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,61,61,100
2018-02-01,S08000016,NHS Borders,B103H,Minor Injury Unit or Other,8,8,100
2018-02-01,S08000016,NHS Borders,B105H,Minor Injury Unit or Other,52,52,100
2018-02-01,S08000016,NHS Borders,B114H,Minor Injury Unit or Other,9,9,100
2018-02-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,45,45,100
2018-02-01,S08000016,NHS Borders,B120H,Emergency Department,2143,1959,91.41390573961736
2018-02-01,S08000017,NHS Dumfries and Galloway,Y101H,Minor Injury Unit or Other,15,15,100
2018-02-01,S08000017,NHS Dumfries and Galloway,Y106H,Minor Injury Unit or Other,28,28,100
2018-02-01,S08000017,NHS Dumfries and Galloway,Y110H,Minor Injury Unit or Other,20,20,100
2018-02-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,991,907,91.52371342078708
2018-02-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2316,2041,88.12607944732297
2018-02-01,S08000029,NHS Fife,F704H,Emergency Department,4766,4616,96.85270667226186
2018-02-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,123,123,100
2018-02-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,256,256,100
2018-02-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1446,1429,98.8243430152144
2018-02-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1326,1325,99.92458521870287
2018-02-01,S08000019,NHS Forth Valley,V217H,Emergency Department,4611,3931,85.25265669052267
2018-02-01,S08000020,NHS Grampian,N101H,Emergency Department,4381,3821,87.21753024423647
2018-02-01,S08000020,NHS Grampian,N121H,Emergency Department,1149,1136,98.86858137510879
2018-02-01,S08000020,NHS Grampian,N151H,Minor Injury Unit or Other,65,65,100
2018-02-01,S08000020,NHS Grampian,N331H,Minor Injury Unit or Other,7,7,100
2018-02-01,S08000020,NHS Grampian,N332H,Minor Injury Unit or Other,28,28,100
2018-02-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,1196,1194,99.83277591973244
2018-02-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,561,557,99.28698752228165
2018-02-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,197,194,98.47715736040608
2018-02-01,S08000020,NHS Grampian,N336H,Minor Injury Unit or Other,118,118,100
2018-02-01,S08000020,NHS Grampian,N337H,Minor Injury Unit or Other,250,245,98
2018-02-01,S08000020,NHS Grampian,N411H,Emergency Department,1765,1705,96.60056657223795
2018-02-01,S08000020,NHS Grampian,N431H,Minor Injury Unit or Other,51,51,100
2018-02-01,S08000020,NHS Grampian,N432H,Minor Injury Unit or Other,12,12,100
2018-02-01,S08000020,NHS Grampian,N433H,Minor Injury Unit or Other,80,80,100
2018-02-01,S08000020,NHS Grampian,N451H,Minor Injury Unit or Other,8,8,100
2018-02-01,S08000020,NHS Grampian,N494H,Minor Injury Unit or Other,54,54,100
2018-02-01,S08000020,NHS Grampian,N683C,Minor Injury Unit or Other,39,39,100
2018-02-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1278,1227,96.0093896713615
2018-02-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2401,2162,90.04581424406497
2018-02-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,4950,4100,82.82828282828282
2018-02-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,6884,5869,85.25566531086578
2018-02-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1450,1449,99.93103448275862
2018-02-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2514,2514,100
2018-02-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,7312,5975,81.71498905908096
2018-02-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,5137,4831,94.04321588475764
2018-02-01,S08000031,NHS Greater Glasgow and Clyde,G516H,Minor Injury Unit or Other,520,520,100
2018-02-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,643,640,99.53343701399689
2018-02-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,94,94,100
2018-02-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,259,256,98.84169884169884
2018-02-01,S08000022,NHS Highland,C121H,Emergency Department,532,518,97.36842105263158
2018-02-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,416,413,99.27884615384616
2018-02-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,151,151,100
2018-02-01,S08000022,NHS Highland,H103H,Emergency Department,530,513,96.79245283018868
2018-02-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,46,46,100
2018-02-01,S08000022,NHS Highland,H202H,Emergency Department,2615,2300,87.95411089866157
2018-02-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,319,319,100
2018-02-01,S08000022,NHS Highland,H210H,Minor Injury Unit or Other,55,55,100
2018-02-01,S08000022,NHS Highland,H212H,Emergency Department,685,634,92.55474452554745
2018-02-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,321,321,100
2018-02-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,157,157,100
2018-02-01,S08000022,NHS Highland,H217H,Minor Injury Unit or Other,69,69,100
2018-02-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,152,152,100
2018-02-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,297,283,95.28619528619528
2018-02-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,140,140,100
2018-02-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,46,44,95.65217391304348
2018-02-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5037,4810,95.49334921580306
2018-02-01,S08000032,NHS Lanarkshire,L206H,Minor Injury Unit or Other,58,58,100
2018-02-01,S08000032,NHS Lanarkshire,L207H,Minor Injury Unit or Other,43,43,100
2018-02-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,4767,4295,90.09859450388085
2018-02-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5458,5026,92.0850128252107
2018-02-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,93,93,100
2018-02-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,3784,3129,82.69027484143763
2018-02-01,S08000024,NHS Lothian,S308H,Emergency Department,4127,3585,86.86697358856313
2018-02-01,S08000024,NHS Lothian,S314H,Emergency Department,8725,6448,73.9025787965616
2018-02-01,S08000024,NHS Lothian,S319H,Emergency Department,3834,3677,95.90505998956704
2018-02-01,S08000025,NHS Orkney,R103H,Emergency Department,476,459,96.42857142857143
2018-02-01,S08000026,NHS Shetland,Z102H,Emergency Department,593,581,97.97639123102867
2018-02-01,S08000030,NHS Tayside,T101H,Emergency Department,3649,3506,96.08111811455193
2018-02-01,S08000030,NHS Tayside,T202H,Emergency Department,1828,1792,98.03063457330416
2018-02-01,S08000030,NHS Tayside,T205H,Minor Injury Unit or Other,34,34,100
2018-02-01,S08000030,NHS Tayside,T209H,Minor Injury Unit or Other,266,266,100
2018-02-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,939,939,100
2018-02-01,S08000030,NHS Tayside,T305H,Minor Injury Unit or Other,153,153,100
2018-02-01,S08000030,NHS Tayside,T316H,Minor Injury Unit or Other,47,47,100
2018-02-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,466,466,100
2018-02-01,S08000030,NHS Tayside,T320H,Minor Injury Unit or Other,129,128,99.2248062015504
2018-02-01,S08000030,NHS Tayside,T357C,Minor Injury Unit or Other,287,287,100
2018-02-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,50,50,100
2018-02-01,S08000028,NHS Western Isles,W107H,Emergency Department,512,503,98.2421875
2018-02-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,112,112,100
2018-03-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,216,216,100
2018-03-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,62,60,96.7741935483871
2018-03-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,6041,5459,90.36583347127959
2018-03-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,3286,2982,90.74863055386488
2018-03-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,62,62,100
2018-03-01,S08000016,NHS Borders,B103H,Minor Injury Unit or Other,8,8,100
2018-03-01,S08000016,NHS Borders,B105H,Minor Injury Unit or Other,66,66,100
2018-03-01,S08000016,NHS Borders,B114H,Minor Injury Unit or Other,8,8,100
2018-03-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,48,48,100
2018-03-01,S08000016,NHS Borders,B120H,Emergency Department,2454,2183,88.95680521597392
2018-03-01,S08000017,NHS Dumfries and Galloway,Y101H,Minor Injury Unit or Other,23,23,100
2018-03-01,S08000017,NHS Dumfries and Galloway,Y106H,Minor Injury Unit or Other,32,32,100
2018-03-01,S08000017,NHS Dumfries and Galloway,Y110H,Minor Injury Unit or Other,7,7,100
2018-03-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,1080,972,90
2018-03-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2722,2454,90.15429831006612
2018-03-01,S08000029,NHS Fife,F704H,Emergency Department,5367,4989,92.95695919508104
2018-03-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,133,132,99.24812030075188
2018-03-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,234,233,99.57264957264957
2018-03-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1534,1522,99.21773142112124
2018-03-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1463,1461,99.86329460013671
2018-03-01,S08000019,NHS Forth Valley,V217H,Emergency Department,5334,4211,78.94638170228721
2018-03-01,S08000020,NHS Grampian,N101H,Emergency Department,4917,4373,88.9363432987594
2018-03-01,S08000020,NHS Grampian,N121H,Emergency Department,1402,1385,98.78744650499287
2018-03-01,S08000020,NHS Grampian,N151H,Minor Injury Unit or Other,81,81,100
2018-03-01,S08000020,NHS Grampian,N331H,Minor Injury Unit or Other,10,10,100
2018-03-01,S08000020,NHS Grampian,N332H,Minor Injury Unit or Other,28,28,100
2018-03-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,1322,1319,99.77307110438728
2018-03-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,644,638,99.06832298136646
2018-03-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,212,207,97.64150943396226
2018-03-01,S08000020,NHS Grampian,N336H,Minor Injury Unit or Other,126,126,100
2018-03-01,S08000020,NHS Grampian,N337H,Minor Injury Unit or Other,295,293,99.32203389830508
2018-03-01,S08000020,NHS Grampian,N411H,Emergency Department,2110,2010,95.260663507109
2018-03-01,S08000020,NHS Grampian,N431H,Minor Injury Unit or Other,48,48,100
2018-03-01,S08000020,NHS Grampian,N432H,Minor Injury Unit or Other,16,16,100
2018-03-01,S08000020,NHS Grampian,N433H,Minor Injury Unit or Other,84,84,100
2018-03-01,S08000020,NHS Grampian,N451H,Minor Injury Unit or Other,21,21,100
2018-03-01,S08000020,NHS Grampian,N494H,Minor Injury Unit or Other,75,75,100
2018-03-01,S08000020,NHS Grampian,N683C,Minor Injury Unit or Other,68,68,100
2018-03-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1422,1367,96.13220815752462
2018-03-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2645,2365,89.413988657845
2018-03-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,5661,4632,81.82299947005829
2018-03-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,7878,6398,81.21350596598121
2018-03-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1677,1677,100
2018-03-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2757,2755,99.92745738121145
2018-03-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,8250,6567,79.60000000000001
2018-03-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,5768,5425,94.05339805825243
2018-03-01,S08000031,NHS Greater Glasgow and Clyde,G516H,Minor Injury Unit or Other,580,577,99.48275862068967
2018-03-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,621,617,99.35587761674718
2018-03-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,124,123,99.19354838709677
2018-03-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,313,311,99.36102236421725
2018-03-01,S08000022,NHS Highland,C121H,Emergency Department,690,660,95.65217391304348
2018-03-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,474,473,99.78902953586498
2018-03-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,121,121,100
2018-03-01,S08000022,NHS Highland,H103H,Emergency Department,642,623,97.0404984423676
2018-03-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,47,47,100
2018-03-01,S08000022,NHS Highland,H202H,Emergency Department,2978,2728,91.6051040967092
2018-03-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,361,361,100
2018-03-01,S08000022,NHS Highland,H210H,Minor Injury Unit or Other,71,71,100
2018-03-01,S08000022,NHS Highland,H212H,Emergency Department,738,714,96.7479674796748
2018-03-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,392,392,100
2018-03-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,171,171,100
2018-03-01,S08000022,NHS Highland,H217H,Minor Injury Unit or Other,51,51,100
2018-03-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,127,127,100
2018-03-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,382,374,97.90575916230367
2018-03-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,131,131,100
2018-03-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,82,82,100
2018-03-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5746,5387,93.75217542638356
2018-03-01,S08000032,NHS Lanarkshire,L206H,Minor Injury Unit or Other,57,57,100
2018-03-01,S08000032,NHS Lanarkshire,L207H,Minor Injury Unit or Other,50,50,100
2018-03-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,5570,4860,87.25314183123878
2018-03-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,6229,5534,88.84251083641034
2018-03-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,101,101,100
2018-03-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,4324,3320,76.78075855689177
2018-03-01,S08000024,NHS Lothian,S308H,Emergency Department,4624,3916,84.6885813148789
2018-03-01,S08000024,NHS Lothian,S314H,Emergency Department,9940,6196,62.334004024144875
2018-03-01,S08000024,NHS Lothian,S319H,Emergency Department,4035,3833,94.99380421313506
2018-03-01,S08000025,NHS Orkney,R103H,Emergency Department,513,492,95.90643274853801
2018-03-01,S08000026,NHS Shetland,Z102H,Emergency Department,642,606,94.39252336448598
2018-03-01,S08000030,NHS Tayside,T101H,Emergency Department,4042,3908,96.68480950024741
2018-03-01,S08000030,NHS Tayside,T202H,Emergency Department,1897,1866,98.36584080126516
2018-03-01,S08000030,NHS Tayside,T205H,Minor Injury Unit or Other,27,27,100
2018-03-01,S08000030,NHS Tayside,T209H,Minor Injury Unit or Other,257,256,99.61089494163424
2018-03-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,1093,1092,99.90850869167429
2018-03-01,S08000030,NHS Tayside,T305H,Minor Injury Unit or Other,165,165,100
2018-03-01,S08000030,NHS Tayside,T316H,Minor Injury Unit or Other,66,65,98.48484848484848
2018-03-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,452,452,100
2018-03-01,S08000030,NHS Tayside,T320H,Minor Injury Unit or Other,129,129,100
2018-03-01,S08000030,NHS Tayside,T357C,Minor Injury Unit or Other,285,285,100
2018-03-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,53,53,100
2018-03-01,S08000028,NHS Western Isles,W107H,Emergency Department,580,562,96.89655172413794
2018-03-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,135,135,100
2018-04-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,228,221,96.9298245614035
2018-04-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,69,66,95.65217391304348
2018-04-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,5863,5374,91.65955995224287
2018-04-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,3234,2976,92.02226345083488
2018-04-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,63,63,100
2018-04-01,S08000016,NHS Borders,B103H,Minor Injury Unit or Other,4,4,100
2018-04-01,S08000016,NHS Borders,B105H,Minor Injury Unit or Other,73,73,100
2018-04-01,S08000016,NHS Borders,B114H,Minor Injury Unit or Other,11,11,100
2018-04-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,35,35,100
2018-04-01,S08000016,NHS Borders,B120H,Emergency Department,2545,2195,86.2475442043222
2018-04-01,S08000017,NHS Dumfries and Galloway,Y101H,Minor Injury Unit or Other,22,22,100
2018-04-01,S08000017,NHS Dumfries and Galloway,Y106H,Minor Injury Unit or Other,31,31,100
2018-04-01,S08000017,NHS Dumfries and Galloway,Y109H,Minor Injury Unit or Other,2,2,100
2018-04-01,S08000017,NHS Dumfries and Galloway,Y110H,Minor Injury Unit or Other,7,7,100
2018-04-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,1018,920,90.37328094302553
2018-04-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2746,2506,91.26001456664238
2018-04-01,S08000029,NHS Fife,F704H,Emergency Department,5651,5383,95.25747655282251
2018-04-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,147,147,100
2018-04-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,263,262,99.61977186311786
2018-04-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1732,1731,99.94226327944573
2018-04-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1621,1621,100
2018-04-01,S08000019,NHS Forth Valley,V217H,Emergency Department,5299,4319,81.50594451783356
2018-04-01,S08000020,NHS Grampian,N101H,Emergency Department,4883,4356,89.20745443374975
2018-04-01,S08000020,NHS Grampian,N121H,Emergency Department,1379,1346,97.60696156635244
2018-04-01,S08000020,NHS Grampian,N151H,Minor Injury Unit or Other,83,83,100
2018-04-01,S08000020,NHS Grampian,N331H,Minor Injury Unit or Other,12,12,100
