month_ending,hb,hb_name,patient_type,number_waiting,number_waiting_over12weeks
2018-05-31,S08000016,NHS Borders,New Outpatient,4810,593
2019-05-31,S08000016,NHS Borders,New Outpatient,5808,586
2020-05-31,S08000016,NHS Borders,New Outpatient,3465,1848
2021-05-31,S08000016,NHS Borders,New Outpatient,7768,3742
2022-05-31,S08000016,NHS Borders,New Outpatient,10058,5679
2018-07-31,S08000016,NHS Borders,New Outpatient,4786,701
2019-07-31,S08000016,NHS Borders,New Outpatient,6359,1014
2020-07-31,S08000016,NHS Borders,New Outpatient,4147,2073
2021-07-31,S08000016,NHS Borders,New Outpatient,8968,4735
2022-07-31,S08000016,NHS Borders,New Outpatient,10911,6617
2018-08-31,S08000016,NHS Borders,New Outpatient,5094,781
2019-08-31,S08000016,NHS Borders,New Outpatient,6057,1137
2020-08-31,S08000016,NHS Borders,New Outpatient,4765,1987
2021-08-31,S08000016,NHS Borders,New Outpatient,9246,5184
2022-08-31,S08000016,NHS Borders,New Outpatient,10830,6732
2018-10-31,S08000016,NHS Borders,New Outpatient,5271,654
2019-10-31,S08000016,NHS Borders,New Outpatient,4661,381
2020-10-31,S08000016,NHS Borders,New Outpatient,5484,2352
2021-10-31,S08000016,NHS Borders,New Outpatient,9857,5851
2018-12-31,S08000016,NHS Borders,New Outpatient,5444,794
2019-12-31,S08000016,NHS Borders,New Outpatient,4042,184
2020-12-31,S08000016,NHS Borders,New Outpatient,6016,3008
2021-12-31,S08000016,NHS Borders,New Outpatient,10057,6241
2018-02-28,S08000017,NHS Dumfries and Galloway,New Outpatient,6005,941
2019-02-28,S08000017,NHS Dumfries and Galloway,New Outpatient,5626,493
2021-02-28,S08000017,NHS Dumfries and Galloway,New Outpatient,8343,4214
2022-02-28,S08000017,NHS Dumfries and Galloway,New Outpatient,9588,4241
2020-02-29,S08000017,NHS Dumfries and Galloway,New Outpatient,6075,295
2018-04-30,S08000017,NHS Dumfries and Galloway,New Outpatient,5907,355
2019-04-30,S08000017,NHS Dumfries and Galloway,New Outpatient,5976,209
2020-04-30,S08000017,NHS Dumfries and Galloway,New Outpatient,5310,1570
2021-04-30,S08000017,NHS Dumfries and Galloway,New Outpatient,9013,3761
2022-04-30,S08000017,NHS Dumfries and Galloway,New Outpatient,10355,4279
2018-06-30,S08000017,NHS Dumfries and Galloway,New Outpatient,6158,261
2019-06-30,S08000017,NHS Dumfries and Galloway,New Outpatient,6359,428
2020-06-30,S08000017,NHS Dumfries and Galloway,New Outpatient,5660,3884
2021-06-30,S08000017,NHS Dumfries and Galloway,New Outpatient,9463,2830
2022-06-30,S08000017,NHS Dumfries and Galloway,New Outpatient,10188,4227
2018-09-30,S08000017,NHS Dumfries and Galloway,New Outpatient,6081,418
2019-09-30,S08000017,NHS Dumfries and Galloway,New Outpatient,6403,616
2020-09-30,S08000017,NHS Dumfries and Galloway,New Outpatient,7318,2911
2021-09-30,S08000017,NHS Dumfries and Galloway,New Outpatient,8970,3190
2022-09-30,S08000017,NHS Dumfries and Galloway,New Outpatient,10982,4736
2018-11-30,S08000017,NHS Dumfries and Galloway,New Outpatient,5720,327
2019-11-30,S08000017,NHS Dumfries and Galloway,New Outpatient,6501,414
2020-11-30,S08000017,NHS Dumfries and Galloway,New Outpatient,7399,2850
2021-11-30,S08000017,NHS Dumfries and Galloway,New Outpatient,9253,3406
2018-01-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6129,1173
2019-01-31,S08000017,NHS Dumfries and Galloway,New Outpatient,5574,539
2020-01-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6167,348
2021-01-31,S08000017,NHS Dumfries and Galloway,New Outpatient,8056,3628
2022-01-31,S08000017,NHS Dumfries and Galloway,New Outpatient,9823,4415
2018-03-31,S08000017,NHS Dumfries and Galloway,New Outpatient,5994,576
2019-03-31,S08000017,NHS Dumfries and Galloway,New Outpatient,5655,179
2020-03-31,S08000017,NHS Dumfries and Galloway,New Outpatient,5564,299
2021-03-31,S08000017,NHS Dumfries and Galloway,New Outpatient,8621,3999
2022-03-31,S08000017,NHS Dumfries and Galloway,New Outpatient,9998,3935
2018-05-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6071,288
2019-05-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6294,291
2020-05-31,S08000017,NHS Dumfries and Galloway,New Outpatient,5363,3244
2021-05-31,S08000017,NHS Dumfries and Galloway,New Outpatient,9455,3284
2022-05-31,S08000017,NHS Dumfries and Galloway,New Outpatient,10546,4381
2018-07-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6320,358
2019-07-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6507,484
2020-07-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6440,3656
2021-07-31,S08000017,NHS Dumfries and Galloway,New Outpatient,9593,3139
2022-07-31,S08000017,NHS Dumfries and Galloway,New Outpatient,10310,4322
2018-08-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6209,486
2019-08-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6675,613
2020-08-31,S08000017,NHS Dumfries and Galloway,New Outpatient,7003,3266
2021-08-31,S08000017,NHS Dumfries and Galloway,New Outpatient,9440,3376
2022-08-31,S08000017,NHS Dumfries and Galloway,New Outpatient,10545,4506
2018-10-31,S08000017,NHS Dumfries and Galloway,New Outpatient,5748,357
2019-10-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6488,553
2020-10-31,S08000017,NHS Dumfries and Galloway,New Outpatient,7317,2843
2021-10-31,S08000017,NHS Dumfries and Galloway,New Outpatient,9030,3330
2018-12-31,S08000017,NHS Dumfries and Galloway,New Outpatient,5816,441
2019-12-31,S08000017,NHS Dumfries and Galloway,New Outpatient,6414,394
2020-12-31,S08000017,NHS Dumfries and Galloway,New Outpatient,7697,3042
2021-12-31,S08000017,NHS Dumfries and Galloway,New Outpatient,9720,4003
2018-02-28,S08000019,NHS Forth Valley,New Outpatient,12863,2240
2019-02-28,S08000019,NHS Forth Valley,New Outpatient,11754,2116
2021-02-28,S08000019,NHS Forth Valley,New Outpatient,15808,8910
2022-02-28,S08000019,NHS Forth Valley,New Outpatient,16029,7430
2020-02-29,S08000019,NHS Forth Valley,New Outpatient,12405,2574
2018-04-30,S08000019,NHS Forth Valley,New Outpatient,13126,2009
2019-04-30,S08000019,NHS Forth Valley,New Outpatient,12338,1415
2020-04-30,S08000019,NHS Forth Valley,New Outpatient,11161,3990
2021-04-30,S08000019,NHS Forth Valley,New Outpatient,16124,7723
2022-04-30,S08000019,NHS Forth Valley,New Outpatient,16252,6433
2018-06-30,S08000019,NHS Forth Valley,New Outpatient,13332,2204
2019-06-30,S08000019,NHS Forth Valley,New Outpatient,13837,1663
2020-06-30,S08000019,NHS Forth Valley,New Outpatient,11482,7851
2021-06-30,S08000019,NHS Forth Valley,New Outpatient,17172,7327
2022-06-30,S08000019,NHS Forth Valley,New Outpatient,16584,5771
2018-09-30,S08000019,NHS Forth Valley,New Outpatient,14795,3513
2019-09-30,S08000019,NHS Forth Valley,New Outpatient,15088,2607
2020-09-30,S08000019,NHS Forth Valley,New Outpatient,14490,7066
2021-09-30,S08000019,NHS Forth Valley,New Outpatient,18357,8209
2022-09-30,S08000019,NHS Forth Valley,New Outpatient,18243,7325
2018-11-30,S08000019,NHS Forth Valley,New Outpatient,14368,3392
2019-11-30,S08000019,NHS Forth Valley,New Outpatient,13912,2820
2020-11-30,S08000019,NHS Forth Valley,New Outpatient,15075,7217
2021-11-30,S08000019,NHS Forth Valley,New Outpatient,17862,8092
2018-01-31,S08000019,NHS Forth Valley,New Outpatient,12464,2385
2019-01-31,S08000019,NHS Forth Valley,New Outpatient,12574,2664
2020-01-31,S08000019,NHS Forth Valley,New Outpatient,12769,2817
2021-01-31,S08000019,NHS Forth Valley,New Outpatient,15535,8525
2022-01-31,S08000019,NHS Forth Valley,New Outpatient,16386,7707
2018-03-31,S08000019,NHS Forth Valley,New Outpatient,12747,1927
2019-03-31,S08000019,NHS Forth Valley,New Outpatient,11592,1359
2020-03-31,S08000019,NHS Forth Valley,New Outpatient,11520,2109
2021-03-31,S08000019,NHS Forth Valley,New Outpatient,15090,7878
2022-03-31,S08000019,NHS Forth Valley,New Outpatient,16417,6736
2018-05-31,S08000019,NHS Forth Valley,New Outpatient,13357,2069
2019-05-31,S08000019,NHS Forth Valley,New Outpatient,13931,1685
2020-05-31,S08000019,NHS Forth Valley,New Outpatient,11431,7066
2021-05-31,S08000019,NHS Forth Valley,New Outpatient,16686,7402
2022-05-31,S08000019,NHS Forth Valley,New Outpatient,16022,5841
2018-07-31,S08000019,NHS Forth Valley,New Outpatient,14054,2776
2019-07-31,S08000019,NHS Forth Valley,New Outpatient,14608,2016
2020-07-31,S08000019,NHS Forth Valley,New Outpatient,12802,7512
2021-07-31,S08000019,NHS Forth Valley,New Outpatient,18122,7822
2022-07-31,S08000019,NHS Forth Valley,New Outpatient,17349,6264
2018-08-31,S08000019,NHS Forth Valley,New Outpatient,14734,3397
2019-08-31,S08000019,NHS Forth Valley,New Outpatient,15118,2750
2020-08-31,S08000019,NHS Forth Valley,New Outpatient,13879,7377
2021-08-31,S08000019,NHS Forth Valley,New Outpatient,18313,8186
2022-08-31,S08000019,NHS Forth Valley,New Outpatient,18058,6755
2018-10-31,S08000019,NHS Forth Valley,New Outpatient,14670,3601
2019-10-31,S08000019,NHS Forth Valley,New Outpatient,14691,2688
2020-10-31,S08000019,NHS Forth Valley,New Outpatient,15039,7374
2021-10-31,S08000019,NHS Forth Valley,New Outpatient,18674,8489
2018-12-31,S08000019,NHS Forth Valley,New Outpatient,13486,3217
2019-12-31,S08000019,NHS Forth Valley,New Outpatient,13110,2796
2020-12-31,S08000019,NHS Forth Valley,New Outpatient,15495,7919
2021-12-31,S08000019,NHS Forth Valley,New Outpatient,17456,8208
2018-02-28,S08000020,NHS Grampian,New Outpatient,34401,14278
2019-02-28,S08000020,NHS Grampian,New Outpatient,35113,14150
2021-02-28,S08000020,NHS Grampian,New Outpatient,30626,16268
2022-02-28,S08000020,NHS Grampian,New Outpatient,37620,19169
2020-02-29,S08000020,NHS Grampian,New Outpatient,25496,7254
2018-04-30,S08000020,NHS Grampian,New Outpatient,35644,12675
2019-04-30,S08000020,NHS Grampian,New Outpatient,35041,12453
2020-04-30,S08000020,NHS Grampian,New Outpatient,24712,10391
2021-04-30,S08000020,NHS Grampian,New Outpatient,33661,16353
2022-04-30,S08000020,NHS Grampian,New Outpatient,39112,18863
2018-06-30,S08000020,NHS Grampian,New Outpatient,36640,12751
2019-06-30,S08000020,NHS Grampian,New Outpatient,35102,12827
2020-06-30,S08000020,NHS Grampian,New Outpatient,24306,16440
2021-06-30,S08000020,NHS Grampian,New Outpatient,34942,15563
2022-06-30,S08000020,NHS Grampian,New Outpatient,39748,18180
2018-09-30,S08000020,NHS Grampian,New Outpatient,37413,15784
2019-09-30,S08000020,NHS Grampian,New Outpatient,32128,11505
2020-09-30,S08000020,NHS Grampian,New Outpatient,27758,14349
2021-09-30,S08000020,NHS Grampian,New Outpatient,36795,18111
2022-09-30,S08000020,NHS Grampian,New Outpatient,42706,20583
2018-11-30,S08000020,NHS Grampian,New Outpatient,37106,14773
2019-11-30,S08000020,NHS Grampian,New Outpatient,30262,9291
2020-11-30,S08000020,NHS Grampian,New Outpatient,29873,14021
2021-11-30,S08000020,NHS Grampian,New Outpatient,37233,18279
2018-01-31,S08000020,NHS Grampian,New Outpatient,34666,14497
2019-01-31,S08000020,NHS Grampian,New Outpatient,35608,14855
2020-01-31,S08000020,NHS Grampian,New Outpatient,26943,8146
2021-01-31,S08000020,NHS Grampian,New Outpatient,29765,15279
2022-01-31,S08000020,NHS Grampian,New Outpatient,36965,19179
2018-03-31,S08000020,NHS Grampian,New Outpatient,34890,13011
2019-03-31,S08000020,NHS Grampian,New Outpatient,35331,12515
2020-03-31,S08000020,NHS Grampian,New Outpatient,25205,7254
2021-03-31,S08000020,NHS Grampian,New Outpatient,32474,16529
2022-03-31,S08000020,NHS Grampian,New Outpatient,38574,18539
2018-05-31,S08000020,NHS Grampian,New Outpatient,36220,12573
2019-05-31,S08000020,NHS Grampian,New Outpatient,35628,12436
2020-05-31,S08000020,NHS Grampian,New Outpatient,24272,14887
2021-05-31,S08000020,NHS Grampian,New Outpatient,34018,15823
2022-05-31,S08000020,NHS Grampian,New Outpatient,39204,17936
2018-07-31,S08000020,NHS Grampian,New Outpatient,38037,14196
2019-07-31,S08000020,NHS Grampian,New Outpatient,36198,13460
2020-07-31,S08000020,NHS Grampian,New Outpatient,25457,15547
2021-07-31,S08000020,NHS Grampian,New Outpatient,36331,16861
2022-07-31,S08000020,NHS Grampian,New Outpatient,41546,18959
2018-08-31,S08000020,NHS Grampian,New Outpatient,38179,15325
2019-08-31,S08000020,NHS Grampian,New Outpatient,34897,13425
2020-08-31,S08000020,NHS Grampian,New Outpatient,26982,15015
2021-08-31,S08000020,NHS Grampian,New Outpatient,36547,17592
2022-08-31,S08000020,NHS Grampian,New Outpatient,41976,19615
2018-10-31,S08000020,NHS Grampian,New Outpatient,37369,15391
2019-10-31,S08000020,NHS Grampian,New Outpatient,31986,10878
2020-10-31,S08000020,NHS Grampian,New Outpatient,29394,14487
2021-10-31,S08000020,NHS Grampian,New Outpatient,37683,18532
2018-12-31,S08000020,NHS Grampian,New Outpatient,36290,14928
2019-12-31,S08000020,NHS Grampian,New Outpatient,29062,8865
2020-12-31,S08000020,NHS Grampian,New Outpatient,30557,14610
2021-12-31,S08000020,NHS Grampian,New Outpatient,37339,18798
2018-02-28,S08000022,NHS Highland,New Outpatient,11736,2805
2019-02-28,S08000022,NHS Highland,New Outpatient,12246,2437
2021-02-28,S08000022,NHS Highland,New Outpatient,13030,6672
2022-02-28,S08000022,NHS Highland,New Outpatient,17153,9658
2020-02-29,S08000022,NHS Highland,New Outpatient,10512,2043
2018-04-30,S08000022,NHS Highland,New Outpatient,12097,2135
2019-04-30,S08000022,NHS Highland,New Outpatient,12098,1701
2020-04-30,S08000022,NHS Highland,New Outpatient,9948,3506
2021-04-30,S08000022,NHS Highland,New Outpatient,14347,6723
2022-04-30,S08000022,NHS Highland,New Outpatient,18253,9650
2018-06-30,S08000022,NHS Highland,New Outpatient,12138,1788
2019-06-30,S08000022,NHS Highland,New Outpatient,13300,2205
2020-06-30,S08000022,NHS Highland,New Outpatient,9695,6269
2021-06-30,S08000022,NHS Highland,New Outpatient,15634,6727
2022-06-30,S08000022,NHS Highland,New Outpatient,20255,10531
2018-09-30,S08000022,NHS Highland,New Outpatient,12612,2403
2019-09-30,S08000022,NHS Highland,New Outpatient,13069,2727
2020-09-30,S08000022,NHS Highland,New Outpatient,11850,4765
2021-09-30,S08000022,NHS Highland,New Outpatient,17648,9287
2022-09-30,S08000022,NHS Highland,New Outpatient,21188,11075
2018-11-30,S08000022,NHS Highland,New Outpatient,12300,2045
2019-11-30,S08000022,NHS Highland,New Outpatient,11768,2334
2020-11-30,S08000022,NHS Highland,New Outpatient,12669,5129
2021-11-30,S08000022,NHS Highland,New Outpatient,17654,9497
2018-01-31,S08000022,NHS Highland,New Outpatient,11878,3047
2019-01-31,S08000022,NHS Highland,New Outpatient,12440,2491
2020-01-31,S08000022,NHS Highland,New Outpatient,10972,2226
2021-01-31,S08000022,NHS Highland,New Outpatient,12998,6180
2022-01-31,S08000022,NHS Highland,New Outpatient,17370,9864
2018-03-31,S08000022,NHS Highland,New Outpatient,11822,2220
2019-03-31,S08000022,NHS Highland,New Outpatient,11328,1606
2020-03-31,S08000022,NHS Highland,New Outpatient,10305,1957
2021-03-31,S08000022,NHS Highland,New Outpatient,13771,6767
2022-03-31,S08000022,NHS Highland,New Outpatient,17533,9168
2018-05-31,S08000022,NHS Highland,New Outpatient,12428,1854
2019-05-31,S08000022,NHS Highland,New Outpatient,12899,1978
2020-05-31,S08000022,NHS Highland,New Outpatient,9595,5785
2021-05-31,S08000022,NHS Highland,New Outpatient,14935,6649
2022-05-31,S08000022,NHS Highland,New Outpatient,19439,10144
2018-07-31,S08000022,NHS Highland,New Outpatient,12473,2118
2019-07-31,S08000022,NHS Highland,New Outpatient,13963,2697
2020-07-31,S08000022,NHS Highland,New Outpatient,10509,5511
2021-07-31,S08000022,NHS Highland,New Outpatient,16264,7411
2022-07-31,S08000022,NHS Highland,New Outpatient,21200,11079
2018-08-31,S08000022,NHS Highland,New Outpatient,12762,2700
2019-08-31,S08000022,NHS Highland,New Outpatient,14279,3276
2020-08-31,S08000022,NHS Highland,New Outpatient,11171,5100
2021-08-31,S08000022,NHS Highland,New Outpatient,16978,8433
2022-08-31,S08000022,NHS Highland,New Outpatient,21305,11305
2018-10-31,S08000022,NHS Highland,New Outpatient,12729,2286
2019-10-31,S08000022,NHS Highland,New Outpatient,12710,2658
2020-10-31,S08000022,NHS Highland,New Outpatient,12545,4961
2021-10-31,S08000022,NHS Highland,New Outpatient,18196,9931
2018-12-31,S08000022,NHS Highland,New Outpatient,12222,2192
2019-12-31,S08000022,NHS Highland,New Outpatient,11485,2322
2020-12-31,S08000022,NHS Highland,New Outpatient,12979,5528
2021-12-31,S08000022,NHS Highland,New Outpatient,17596,9789
2018-02-28,S08000024,NHS Lothian,New Outpatient,60367,22344
2019-02-28,S08000024,NHS Lothian,New Outpatient,67193,27001
2021-02-28,S08000024,NHS Lothian,New Outpatient,65046,38732
2022-02-28,S08000024,NHS Lothian,New Outpatient,70712,37124
2020-02-29,S08000024,NHS Lothian,New Outpatient,53722,19575
2018-04-30,S08000024,NHS Lothian,New Outpatient,64687,22943
2019-04-30,S08000024,NHS Lothian,New Outpatient,67085,23782
2020-04-30,S08000024,NHS Lothian,New Outpatient,54109,29083
2021-04-30,S08000024,NHS Lothian,New Outpatient,70966,36879
2022-04-30,S08000024,NHS Lothian,New Outpatient,72208,36181
2018-06-30,S08000024,NHS Lothian,New Outpatient,67096,24118
2019-06-30,S08000024,NHS Lothian,New Outpatient,65895,23695
2020-06-30,S08000024,NHS Lothian,New Outpatient,54553,41349
2021-06-30,S08000024,NHS Lothian,New Outpatient,74151,37379
2022-06-30,S08000024,NHS Lothian,New Outpatient,74304,36952
2018-09-30,S08000024,NHS Lothian,New Outpatient,67808,26398
2019-09-30,S08000024,NHS Lothian,New Outpatient,66805,25332
2020-09-30,S08000024,NHS Lothian,New Outpatient,61931,36136
2021-09-30,S08000024,NHS Lothian,New Outpatient,76458,41327
2022-09-30,S08000024,NHS Lothian,New Outpatient,79715,41694
2018-11-30,S08000024,NHS Lothian,New Outpatient,67908,25639
2019-11-30,S08000024,NHS Lothian,New Outpatient,59113,22960
2020-11-30,S08000024,NHS Lothian,New Outpatient,65009,35894
2021-11-30,S08000024,NHS Lothian,New Outpatient,73433,38540
2018-01-31,S08000024,NHS Lothian,New Outpatient,60481,22797
2019-01-31,S08000024,NHS Lothian,New Outpatient,66477,26677
2020-01-31,S08000024,NHS Lothian,New Outpatient,55103,21270
2021-01-31,S08000024,NHS Lothian,New Outpatient,64730,38614
2022-01-31,S08000024,NHS Lothian,New Outpatient,70725,37689
2018-03-31,S08000024,NHS Lothian,New Outpatient,62435,21660
2019-03-31,S08000024,NHS Lothian,New Outpatient,66758,23813
2020-03-31,S08000024,NHS Lothian,New Outpatient,49865,18242
2021-03-31,S08000024,NHS Lothian,New Outpatient,67619,36769
2022-03-31,S08000024,NHS Lothian,New Outpatient,71244,34820
2018-05-31,S08000024,NHS Lothian,New Outpatient,66709,23668
2019-05-31,S08000024,NHS Lothian,New Outpatient,67130,24001
2020-05-31,S08000024,NHS Lothian,New Outpatient,53994,38460
2021-05-31,S08000024,NHS Lothian,New Outpatient,72716,37042
2022-05-31,S08000024,NHS Lothian,New Outpatient,73295,36140
2018-07-31,S08000024,NHS Lothian,New Outpatient,67311,24650
2019-07-31,S08000024,NHS Lothian,New Outpatient,66632,23412
2020-07-31,S08000024,NHS Lothian,New Outpatient,57740,40102
2021-07-31,S08000024,NHS Lothian,New Outpatient,76277,40022
2022-07-31,S08000024,NHS Lothian,New Outpatient,76705,38543
2018-08-31,S08000024,NHS Lothian,New Outpatient,67384,25797
2019-08-31,S08000024,NHS Lothian,New Outpatient,67715,24900
2020-08-31,S08000024,NHS Lothian,New Outpatient,59712,37955
2021-08-31,S08000024,NHS Lothian,New Outpatient,75911,40757
2022-08-31,S08000024,NHS Lothian,New Outpatient,77707,40039
2018-10-31,S08000024,NHS Lothian,New Outpatient,68303,26116
2019-10-31,S08000024,NHS Lothian,New Outpatient,62131,24184
2020-10-31,S08000024,NHS Lothian,New Outpatient,64608,36035
2021-10-31,S08000024,NHS Lothian,New Outpatient,75529,40884
2018-12-31,S08000024,NHS Lothian,New Outpatient,66961,26151
2019-12-31,S08000024,NHS Lothian,New Outpatient,56791,22645
2020-12-31,S08000024,NHS Lothian,New Outpatient,65739,37070
2021-12-31,S08000024,NHS Lothian,New Outpatient,71840,38123
2018-02-28,S08000025,NHS Orkney,New Outpatient,886,311
2019-02-28,S08000025,NHS Orkney,New Outpatient,884,247
2021-02-28,S08000025,NHS Orkney,New Outpatient,872,394
2022-02-28,S08000025,NHS Orkney,New Outpatient,1046,453
